,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,test_set,val_set,Model
0,Base Tree,350.5,1503.6272380898279,1207.2380952380952,0.8576020921164216,0.9061904761904762,0.1770175438596491,0.0,0.15192944584883683,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.15192944584883683,0.04858838407405461,kNN,0.0,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1248.262040498199,1423.1994987468672,0.8551676055507321,0.9061904761904762,0.1770175438596491,0.0,0.15192944584883683,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.15192944584883683,0.05102287063974415,kNN,0.0,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,1972.7793868102528,1481.6616541353383,0.7806919038015978,0.861203007518797,0.27884711779448623,0.09739348370927318,0.27839250717186914,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.1783925071718692,0.0805111037171991,kNN,0.1,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1426.6714344558131,1455.2436090225563,0.7790591287538429,0.861203007518797,0.27884711779448623,0.09739348370927318,0.27839250717186914,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.1783925071718692,0.08214387876495409,kNN,0.1,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,2193.580225793842,1801.6441102756892,0.7444950449518292,0.8087468671679198,0.3199248120300752,0.21145363408521303,0.337910832126187,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.13791083212618696,0.0642518222160907,kNN,0.2,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1510.6376786174058,1525.5388471177944,0.7432395858265644,0.8087468671679198,0.3199248120300752,0.21145363408521303,0.337910832126187,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.13791083212618696,0.06550728134135535,kNN,0.2,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,2526.344574874856,2189.659147869674,0.6899435123155975,0.7451378446115289,0.3943609022556391,0.3176691729323308,0.42760966095757463,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.12760966095757462,0.059174287580797666,kNN,0.30000000000000004,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1637.1814576711001,1585.468671679198,0.6892566981643437,0.7451378446115289,0.3943609022556391,0.3176691729323308,0.42760966095757463,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.12760966095757462,0.059669943352375736,kNN,0.30000000000000004,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,3020.6672152588703,2600.4536340852133,0.6089070138919884,0.6777944862155388,0.48531328320802003,0.42794486215538846,0.560857594607133,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.16085759460713298,0.0692507983396159,kNN,0.4,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1825.1626977250482,1603.1724310776945,0.6090649238999495,0.6777944862155388,0.48531328320802003,0.42794486215538846,0.560857594607133,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.16085759460713298,0.06909538565137593,kNN,0.4,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,3239.8662398035026,2924.563909774436,0.5729727475731963,0.6246616541353384,0.5299749373433584,0.4995739348370928,0.619944139896422,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.1199441398964221,0.05170185853192073,kNN,0.5,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1908.5198031582634,1862.521804511278,0.5735052362400781,0.6246616541353384,0.5299749373433584,0.4995739348370928,0.619944139896422,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.1199441398964221,0.05117258180382675,kNN,0.5,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,3323.9793231053886,3270.689223057644,0.5591837175237068,0.5679197994987468,0.5497994987468672,0.5720551378446115,0.6426173772261198,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.050637156842456864,0.05508985361406754,kNN,0.6000000000000001,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1940.506364994813,2132.083709273183,0.5598599429887169,0.5679197994987468,0.5497994987468672,0.5720551378446115,0.6426173772261198,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.050637156842456864,0.05469213552628749,kNN,0.6000000000000001,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,3764.4401846494275,3613.7568922305763,0.48697701890992995,0.5116791979949875,0.6195989974937344,0.6823308270676691,0.7613465125306521,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.0635707861126101,0.037549134574158004,kNN,0.7000000000000001,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,2108.0050231261835,2108.692731829574,0.4884059267336639,0.5116791979949875,0.6195989974937344,0.6823308270676691,0.7613465125306521,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.0635707861126101,0.03698831648378833,kNN,0.7000000000000001,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,4112.344937897902,3799.6616541353383,0.42994345280362267,0.48120300751879697,0.7075689223057644,0.788546365914787,0.8551265373363252,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.05512653733632506,0.06364477572777057,kNN,0.8,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,2240.306402010034,2085.91328320802,0.4319668783090601,0.48120300751879697,0.7075689223057644,0.788546365914787,0.8551265373363252,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.05512653733632506,0.06233096915992624,kNN,0.8,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,4373.27485710217,4242.561403508772,0.3871680562127589,0.4085964912280702,0.7608521303258144,0.9026065162907267,0.9254619209924433,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.029347647180552543,0.03416256812775466,kNN,0.9,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,2339.5329511745445,2338.8110275689223,0.38963737229371725,0.4085964912280702,0.7608521303258144,0.9026065162907267,0.9254619209924433,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.029347647180552543,0.03337802122860612,kNN,0.9,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,4307.808966165592,4568.047619047619,0.39790016948105034,0.35523809523809524,0.8118546365914787,1.0,0.9078151575647159,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.0921848424352841,0.05606433405396372,kNN,1.0,EtisLaribDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,2314.637552189917,2460.963909774436,0.40025761405307736,0.35523809523809524,0.8118546365914787,1.0,0.9078151575647159,0.9499999999999998,0.34183673469387754,0.34183673469387754,0.8163265306122449,0.9400000000000001,0.0921848424352841,0.05724226329577415,kNN,1.0,EtisLaribDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,1503.6272380898279,1207.2380952380952,0.8576020921164216,0.9061904761904762,0.1770175438596491,0.0,0.15192944584883683,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.8163265306122449,0.9400000000000001,0.15192944584883683,0.04858838407405461,kNN,0.0,CVC-ClinicDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1248.262040498199,1423.1994987468672,0.8551676055507321,0.9061904761904762,0.1770175438596491,0.0,0.15192944584883683,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.8163265306122449,0.9400000000000001,0.15192944584883683,0.05102287063974415,kNN,0.0,CVC-ClinicDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,1826.826185674656,1266.5563909774437,0.804618658086122,0.8964661654135339,0.23551378446115287,0.09739348370927318,0.23904985750939675,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.8163265306122449,0.9400000000000001,0.13904985750939675,0.09184750732741191,kNN,0.1,CVC-ClinicDB,EtisLaribDB,deeplabv3plus
1,Detector Tree,350.5,1371.1682842905718,1399.4721804511278,0.8027364706403869,0.8964661654135339,0.23551378446115287,0.09739348370927318,0.23904985750939675,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.8163265306122449,0.9400000000000001,0.13904985750939675,0.0937296947731469,kNN,0.1,CVC-ClinicDB,EtisLaribDB,deeplabv3plus
0,Base Tree,350.5,1892.9541997194824,1248.6691729323309,0.7937780000459864,0.8993984962406015,0.2580451127819549,0.21145363408521303,0.25687510059552543,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.8163265306122449,0.9400000000000001,0.06739070422954307,0.105620496194615,kNN,0.2,CVC-ClinicDB,EtisLaribDB,deeplabv3plus
