Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,EtisLaribDB,ind_val,EtisLaribDB,Organic,0.9583333333333334,1.0,0.9791666666666667
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,CVC-ClinicDB,ind_val,CVC-ClinicDB,Organic,0.8421052631578947,1.0,0.9210526315789473
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,EndoCV2020,ind_val,EndoCV2020,Organic,0.2,1.0,0.6
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.025,ind_val,fog,0.025,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.05,ind_val,fog,0.05,0.25,1.0,0.625
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.07500000000000001,ind_val,fog,0.07500000000000001,0.25,1.0,0.625
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.1,ind_val,fog,0.1,0.08333333333333333,1.0,0.5416666666666666
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.125,ind_val,fog,0.125,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.15000000000000002,ind_val,fog,0.15000000000000002,0.3333333333333333,1.0,0.6666666666666666
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.17500000000000002,ind_val,fog,0.17500000000000002,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.2,ind_val,fog,0.2,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.225,ind_val,fog,0.225,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.25,ind_val,fog,0.25,0.4166666666666667,1.0,0.7083333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.275,ind_val,fog,0.275,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.30000000000000004,ind_val,fog,0.30000000000000004,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.325,ind_val,fog,0.325,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.35000000000000003,ind_val,fog,0.35000000000000003,0.25,1.0,0.625
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.375,ind_val,fog,0.375,0.25,1.0,0.625
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.4,ind_val,fog,0.4,0.3333333333333333,1.0,0.6666666666666666
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.42500000000000004,ind_val,fog,0.42500000000000004,0.25,1.0,0.625
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.45,ind_val,fog,0.45,0.3333333333333333,1.0,0.6666666666666666
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.47500000000000003,ind_val,fog,0.47500000000000003,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,fog_0.5,ind_val,fog,0.5,0.25,1.0,0.625
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.025,ind_val,multnoise,0.025,0.08333333333333333,1.0,0.5416666666666666
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.05,ind_val,multnoise,0.05,0.3333333333333333,1.0,0.6666666666666666
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.07500000000000001,ind_val,multnoise,0.07500000000000001,0.16666666666666666,1.0,0.5833333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.1,ind_val,multnoise,0.1,0.4166666666666667,1.0,0.7083333333333334
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.125,ind_val,multnoise,0.125,0.6666666666666666,1.0,0.8333333333333333
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.15000000000000002,ind_val,multnoise,0.15000000000000002,0.9166666666666666,1.0,0.9583333333333333
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.17500000000000002,ind_val,multnoise,0.17500000000000002,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.2,ind_val,multnoise,0.2,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.225,ind_val,multnoise,0.225,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.25,ind_val,multnoise,0.25,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.275,ind_val,multnoise,0.275,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.30000000000000004,ind_val,multnoise,0.30000000000000004,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.325,ind_val,multnoise,0.325,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.35000000000000003,ind_val,multnoise,0.35000000000000003,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.375,ind_val,multnoise,0.375,1.0,1.0,1.0
Polyp,Entropy,val_optimal,EtisLaribDB,ind_val,multnoise_0.4,ind_val,multnoise,0.4,1.0,1.0,1.0
