Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.025,ind_val,noise,0.025,0.422275641025641,0.8461538461538461,0.6342147435897436
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.05,ind_val,noise,0.05,0.5240384615384616,0.8461538461538461,0.6850961538461539
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.07500000000000001,ind_val,noise,0.07500000000000001,0.36378205128205127,0.8461538461538461,0.6049679487179487
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.1,ind_val,noise,0.1,0.15224358974358973,0.8461538461538461,0.49919871794871795
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.125,ind_val,noise,0.125,0.03445512820512821,0.8461538461538461,0.44030448717948717
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.15000000000000002,ind_val,noise,0.15000000000000002,0.004006410256410256,0.8461538461538461,0.4250801282051282
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.17500000000000002,ind_val,noise,0.17500000000000002,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.2,ind_val,noise,0.2,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.225,ind_val,noise,0.225,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.25,ind_val,noise,0.25,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.275,ind_val,noise,0.275,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.30000000000000004,ind_val,noise,0.30000000000000004,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.325,ind_val,noise,0.325,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.35000000000000003,ind_val,noise,0.35000000000000003,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.375,ind_val,noise,0.375,0.0,0.8461538461538461,0.4230769230769231
NICO,Entropy,val_optimal,outdoor,ind_val,noise_0.4,ind_val,noise,0.4,0.0,0.8461538461538461,0.4230769230769231
