Dataset,feature_name,Threshold Method,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.025,ind_val,contrast,0.025,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.05,ind_val,contrast,0.05,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.07500000000000001,ind_val,contrast,0.07500000000000001,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.1,ind_val,contrast,0.1,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.125,ind_val,contrast,0.125,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.15000000000000002,ind_val,contrast,0.15000000000000002,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.17500000000000002,ind_val,contrast,0.17500000000000002,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.2,ind_val,contrast,0.2,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.225,ind_val,contrast,0.225,0.010416666666666666,0.86,0.4352083333333333
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.25,ind_val,contrast,0.25,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.275,ind_val,contrast,0.275,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.30000000000000004,ind_val,contrast,0.30000000000000004,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.325,ind_val,contrast,0.325,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.35000000000000003,ind_val,contrast,0.35000000000000003,0.0,0.86,0.43
Polyp,GradNorm,val_optimal,EtisLaribDB,ind_val,contrast_0.375,ind_val,contrast,0.375,0.0,0.86,0.43
