,feature,monotonic_pred_loss,monotonic_pred_loss_lower,monotonic_pred_loss_upper,Dataset,train_shift,feature_name,sample_size
0,7047.13427734375,1.985078599842434,-31.477537113473634,35.4476943131585,CCT,noise,typicality,1
1,7116.5400390625,2.0015512709454275,-31.437121380327014,35.44022392221787,CCT,noise,typicality,1
2,7185.94580078125,2.0222569525938736,-31.393727358776264,35.43824126396401,CCT,noise,typicality,1
3,7255.3515625,2.04656989001885,-31.35203427646875,35.44517405650645,CCT,noise,typicality,1
4,7324.75732421875,2.073864328451434,-31.31435024591312,35.46207890281599,CCT,noise,typicality,1
5,7394.1630859375,2.1035145131227053,-31.280575298553984,35.48760432479939,CCT,noise,typicality,1
6,7463.56884765625,2.1348941161257127,-31.248776377928444,35.51856461017987,CCT,noise,typicality,1
7,7532.974609375,2.167209283431129,-31.216770290794855,35.55118885765711,CCT,noise,typicality,1
8,7602.38037109375,2.199266768714573,-31.18436040883185,35.582893946260995,CCT,noise,typicality,1
9,7671.7861328125,2.2298150778463133,-31.152816992006326,35.61244714769895,CCT,noise,typicality,1
10,7741.19189453125,2.2576027166966193,-31.123939153062825,35.63914458645606,CCT,noise,typicality,1
11,7810.59765625,2.2813781911357602,-31.09946351895879,35.66221990123031,CCT,noise,typicality,1
12,7880.00341796875,2.2999068193003565,-31.080749868752125,35.680563507352836,CCT,noise,typicality,1
13,7949.4091796875,2.3128336834314203,-31.06793356980311,35.69360093666595,CCT,noise,typicality,1
14,8018.81494140625,2.3210980989406167,-31.059844591088336,35.70204078896957,CCT,noise,typicality,1
15,8088.220703125,2.325742979047534,-31.05533417795695,35.706820136052016,CCT,noise,typicality,1
16,8157.62646484375,2.3278112369717605,-31.053334102198384,35.70895657614191,CCT,noise,typicality,1
17,8227.0322265625,2.328345785932881,-31.052818011130213,35.70950958299598,CCT,noise,typicality,1
18,8296.43798828125,2.328363747609632,-31.052800680770094,35.709528175989355,CCT,noise,typicality,1
19,8365.84375,2.32836358251623,-31.052800845872657,35.70952801090512,CCT,noise,typicality,1
20,8435.24951171875,2.328363405830564,-31.05280102256733,35.70952783422846,CCT,noise,typicality,1
21,8504.6552734375,2.3283632185070404,-31.052801209899716,35.7095276469138,CCT,noise,typicality,1
22,8574.06103515625,2.328363021500067,-31.052801406915414,35.70952744991555,CCT,noise,typicality,1
23,8643.466796875,2.3283628157640504,-31.052801612660033,35.70952724418814,CCT,noise,typicality,1
24,8712.87255859375,2.3283626021912456,-31.05280182624136,35.70952703062385,CCT,noise,typicality,1
25,8782.2783203125,2.328362381045295,-31.052802047395716,35.709526809486306,CCT,noise,typicality,1
26,8851.68408203125,2.3283621522248397,-31.05280227622447,35.70952658067415,CCT,noise,typicality,1
27,8921.08984375,2.3283619156240247,-31.052802512833455,35.7095263440815,CCT,noise,typicality,1
28,8990.49560546875,2.328361671136994,-31.05280275732855,35.70952609960254,CCT,noise,typicality,1
29,9059.9013671875,2.328361418657892,-31.052803009815584,35.70952584713137,CCT,noise,typicality,1
30,9129.30712890625,2.3283611582683763,-31.052803270212888,35.70952558674964,CCT,noise,typicality,1
31,9198.712890625,2.328360891120621,-31.052803537368273,35.70952531960951,CCT,noise,typicality,1
32,9268.11865234375,2.328360618746104,-31.05280380975025,35.70952504724246,CCT,noise,typicality,1
33,9337.5244140625,2.328360342676747,-31.05280408582687,35.70952477118036,CCT,noise,typicality,1
34,9406.93017578125,2.3283600644444733,-31.05280436406619,35.70952449295514,CCT,noise,typicality,1
35,9476.3359375,2.3283597855811693,-31.052804642936294,35.709524214098636,CCT,noise,typicality,1
36,9545.74169921875,2.328359507415206,-31.05280492110881,35.709523935939224,CCT,noise,typicality,1
