Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k
CCT,rabanser,OoD Val,OoD Val,0.8766089658233467,0.6826923076923077,0.7796506367578272,Unbiased,0
CCT,rabanser,OoD Val,OoD Val,0.8766089658233467,0.0,0.43830448291167334,Synthetic,0
CCT,rabanser,OoD Val,OoD Val,0.8766089658233467,0.7884615384615384,0.8325352521424425,Temporal,0
CCT,rabanser,OoD Val,OoD Test,0.8903683976919663,0.6826923076923077,0.786530352692137,Unbiased,0
CCT,rabanser,OoD Val,OoD Test,0.8903683976919663,0.0,0.44518419884598315,Synthetic,0
CCT,rabanser,OoD Val,OoD Test,0.8903683976919663,0.7884615384615384,0.8394149680767524,Temporal,0
CCT,rabanser,OoD Test,OoD Val,0.742121615623613,0.8846153846153846,0.8133685001194988,Unbiased,0
CCT,rabanser,OoD Test,OoD Val,0.742121615623613,0.0,0.3710608078118065,Synthetic,0
CCT,rabanser,OoD Test,OoD Val,0.742121615623613,0.9038461538461539,0.8229838847348834,Temporal,0
CCT,rabanser,OoD Test,OoD Test,0.7718597425654683,0.8846153846153846,0.8282375635904264,Unbiased,0
CCT,rabanser,OoD Test,OoD Test,0.7718597425654683,0.0,0.38592987128273415,Synthetic,0
CCT,rabanser,OoD Test,OoD Test,0.7718597425654683,0.9038461538461539,0.837852948205811,Temporal,0
OfficeHome,rabanser,Art,Art,0.16666666666666666,0.8148148148148149,0.49074074074074076,Unbiased,0
OfficeHome,rabanser,Art,Art,0.16666666666666666,1.0,0.5833333333333334,Temporal,0
OfficeHome,rabanser,Art,Clipart,0.05555555555555555,0.8148148148148149,0.43518518518518523,Unbiased,0
OfficeHome,rabanser,Art,Clipart,0.05555555555555555,1.0,0.5277777777777778,Temporal,0
OfficeHome,rabanser,Art,Product,0.09259259259259259,0.8148148148148149,0.4537037037037037,Unbiased,0
OfficeHome,rabanser,Art,Product,0.09259259259259259,1.0,0.5462962962962963,Temporal,0
OfficeHome,rabanser,Clipart,Art,0.6333333333333333,0.8888888888888888,0.7611111111111111,Unbiased,0
OfficeHome,rabanser,Clipart,Art,0.6333333333333333,0.0,0.31666666666666665,Temporal,0
OfficeHome,rabanser,Clipart,Clipart,0.7777777777777778,0.8888888888888888,0.8333333333333333,Unbiased,0
OfficeHome,rabanser,Clipart,Clipart,0.7777777777777778,0.0,0.3888888888888889,Temporal,0
OfficeHome,rabanser,Clipart,Product,0.5925925925925926,0.8888888888888888,0.7407407407407407,Unbiased,0
OfficeHome,rabanser,Clipart,Product,0.5925925925925926,0.0,0.2962962962962963,Temporal,0
OfficeHome,rabanser,Product,Art,0.6666666666666666,0.6666666666666667,0.6666666666666667,Unbiased,0
OfficeHome,rabanser,Product,Art,0.6666666666666666,0.0,0.3333333333333333,Temporal,0
OfficeHome,rabanser,Product,Clipart,0.7777777777777778,0.6666666666666667,0.7222222222222223,Unbiased,0
OfficeHome,rabanser,Product,Clipart,0.7777777777777778,0.0,0.3888888888888889,Temporal,0
OfficeHome,rabanser,Product,Product,0.7222222222222222,0.6666666666666667,0.6944444444444444,Unbiased,0
OfficeHome,rabanser,Product,Product,0.7222222222222222,0.0,0.3611111111111111,Temporal,0
OfficeHome,rabanser,Art,Art,0.8,0.7037037037037037,0.7518518518518519,Unbiased,5
OfficeHome,rabanser,Art,Art,0.8,0.40740740740740744,0.6037037037037037,Class,5
OfficeHome,rabanser,Art,Art,0.8,0.11111111111111116,0.4555555555555556,Synthetic,5
OfficeHome,rabanser,Art,Art,0.8,0.5925925925925926,0.6962962962962963,Temporal,5
OfficeHome,rabanser,Art,Clipart,0.9907407407407407,0.7037037037037037,0.8472222222222222,Unbiased,5
OfficeHome,rabanser,Art,Clipart,0.9907407407407407,0.40740740740740744,0.6990740740740741,Class,5
OfficeHome,rabanser,Art,Clipart,0.9907407407407407,0.11111111111111116,0.5509259259259259,Synthetic,5
OfficeHome,rabanser,Art,Clipart,0.9907407407407407,0.5925925925925926,0.7916666666666666,Temporal,5
OfficeHome,rabanser,Art,Product,0.7129629629629629,0.7037037037037037,0.7083333333333333,Unbiased,5
OfficeHome,rabanser,Art,Product,0.7129629629629629,0.40740740740740744,0.5601851851851851,Class,5
OfficeHome,rabanser,Art,Product,0.7129629629629629,0.11111111111111116,0.41203703703703703,Synthetic,5
OfficeHome,rabanser,Art,Product,0.7129629629629629,0.5925925925925926,0.6527777777777777,Temporal,5
OfficeHome,rabanser,Clipart,Art,0.16666666666666666,1.0,0.5833333333333334,Unbiased,5
OfficeHome,rabanser,Clipart,Art,0.16666666666666666,0.962962962962963,0.5648148148148149,Class,5
OfficeHome,rabanser,Clipart,Art,0.16666666666666666,0.5185185185185186,0.3425925925925926,Synthetic,5
OfficeHome,rabanser,Clipart,Art,0.16666666666666666,1.0,0.5833333333333334,Temporal,5
OfficeHome,rabanser,Clipart,Clipart,0.9166666666666666,1.0,0.9583333333333333,Unbiased,5
OfficeHome,rabanser,Clipart,Clipart,0.9166666666666666,0.962962962962963,0.9398148148148149,Class,5
