level_0,index,Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Shift,TPR,InD Shift,TNR,balanced_accuracy
0,0,CCT,Energy,ind_span,False,False,OoD Test,0.986,ind_test,0.977,0.9815
1,1,CCT,Energy,ind_span,False,False,OoD Test,0.986,ind_val,0.98,0.983
2,2,CCT,Energy,ind_span,False,False,OoD Val,0.977,ind_test,0.977,0.977
3,3,CCT,Energy,ind_span,False,False,OoD Val,0.977,ind_val,0.98,0.9784999999999999
4,4,CCT,Energy,ind_span,False,False,brightness,0.627,ind_test,0.977,0.802
5,5,CCT,Energy,ind_span,False,False,brightness,0.627,ind_val,0.98,0.8035
6,6,CCT,Energy,ind_span,False,False,contrast,0.041,ind_test,0.977,0.509
7,7,CCT,Energy,ind_span,False,False,contrast,0.041,ind_val,0.98,0.5105
8,8,CCT,Energy,ind_span,False,False,hue,0.185,ind_test,0.977,0.581
9,9,CCT,Energy,ind_span,False,False,hue,0.185,ind_val,0.98,0.5825
10,10,CCT,Energy,ind_span,False,False,multnoise,0.709,ind_test,0.977,0.843
11,11,CCT,Energy,ind_span,False,False,multnoise,0.709,ind_val,0.98,0.8445
12,12,CCT,Energy,ind_span,False,False,noise,0.949,ind_test,0.977,0.963
13,13,CCT,Energy,ind_span,False,False,noise,0.949,ind_val,0.98,0.9644999999999999
14,14,CCT,Energy,ind_span,False,False,saltpepper,0.715,ind_test,0.977,0.846
15,15,CCT,Energy,ind_span,False,False,saltpepper,0.715,ind_val,0.98,0.8474999999999999
16,16,CCT,Energy,ind_span,False,False,smear,0.224,ind_test,0.977,0.6005
17,17,CCT,Energy,ind_span,False,False,smear,0.224,ind_val,0.98,0.602
18,18,CCT,Energy,ind_span,True,False,OoD Test,0.483,ind_test,0.977,0.73
19,19,CCT,Energy,ind_span,True,False,OoD Test,0.483,ind_val,0.93,0.7065
20,20,CCT,Energy,ind_span,True,False,OoD Val,0.418,ind_test,0.977,0.6975
21,21,CCT,Energy,ind_span,True,False,OoD Val,0.418,ind_val,0.93,0.674
22,22,CCT,Energy,ind_span,True,False,brightness,0.373,ind_test,0.977,0.675
23,23,CCT,Energy,ind_span,True,False,brightness,0.373,ind_val,0.93,0.6515
24,24,CCT,Energy,ind_span,True,False,contrast,0.959,ind_test,0.977,0.968
25,25,CCT,Energy,ind_span,True,False,contrast,0.959,ind_val,0.93,0.9445
26,26,CCT,Energy,ind_span,True,False,hue,0.249,ind_test,0.977,0.613
27,27,CCT,Energy,ind_span,True,False,hue,0.249,ind_val,0.93,0.5895
28,28,CCT,Energy,ind_span,True,False,multnoise,0.707,ind_test,0.977,0.842
29,29,CCT,Energy,ind_span,True,False,multnoise,0.707,ind_val,0.93,0.8185
30,30,CCT,Energy,ind_span,True,False,noise,0.949,ind_test,0.977,0.963
31,31,CCT,Energy,ind_span,True,False,noise,0.949,ind_val,0.93,0.9395
32,32,CCT,Energy,ind_span,True,False,saltpepper,0.715,ind_test,0.977,0.846
33,33,CCT,Energy,ind_span,True,False,saltpepper,0.715,ind_val,0.93,0.8225
34,34,CCT,Energy,ind_span,True,False,smear,0.776,ind_test,0.977,0.8765000000000001
35,35,CCT,Energy,ind_span,True,False,smear,0.776,ind_val,0.93,0.853
36,36,CCT,Energy,ind_span,True,True,OoD Test,0.490625,ind_test,0.9771111111111112,0.7338680555555556
37,37,CCT,Energy,ind_span,True,True,OoD Test,0.490625,ind_val,0.9331111111111111,0.7118680555555555
38,38,CCT,Energy,ind_span,True,True,OoD Val,0.454875,ind_test,0.9771111111111112,0.7159930555555556
39,39,CCT,Energy,ind_span,True,True,OoD Val,0.454875,ind_val,0.9331111111111111,0.6939930555555556
40,40,CCT,Energy,ind_span,True,True,brightness,0.58675,ind_test,0.9771111111111112,0.7819305555555556
41,41,CCT,Energy,ind_span,True,True,brightness,0.58675,ind_val,0.9331111111111111,0.7599305555555556
42,42,CCT,Energy,ind_span,True,True,contrast,0.9585,ind_test,0.9771111111111112,0.9678055555555556
43,43,CCT,Energy,ind_span,True,True,contrast,0.9585,ind_val,0.9331111111111111,0.9458055555555556
44,44,CCT,Energy,ind_span,True,True,hue,0.216375,ind_test,0.9771111111111112,0.5967430555555556
45,45,CCT,Energy,ind_span,True,True,hue,0.216375,ind_val,0.9331111111111111,0.5747430555555556
46,46,CCT,Energy,ind_span,True,True,multnoise,0.703875,ind_test,0.9771111111111112,0.8404930555555556
47,47,CCT,Energy,ind_span,True,True,multnoise,0.703875,ind_val,0.9331111111111111,0.8184930555555556
48,48,CCT,Energy,ind_span,True,True,noise,0.948,ind_test,0.9771111111111112,0.9625555555555556
49,49,CCT,Energy,ind_span,True,True,noise,0.948,ind_val,0.9331111111111111,0.9405555555555556
50,50,CCT,Energy,ind_span,True,True,saltpepper,0.690625,ind_test,0.9771111111111112,0.8338680555555555
51,51,CCT,Energy,ind_span,True,True,saltpepper,0.690625,ind_val,0.9331111111111111,0.8118680555555555
52,52,CCT,Energy,ind_span,True,True,smear,0.86625,ind_test,0.9771111111111112,0.9216805555555556
53,53,CCT,Energy,ind_span,True,True,smear,0.86625,ind_val,0.9331111111111111,0.8996805555555556
54,54,CCT,Energy,val_optimal,False,False,OoD Test,0.497625,ind_test,0.8973333333333333,0.6974791666666667
55,55,CCT,Energy,val_optimal,False,False,OoD Test,0.497625,ind_val,0.8976666666666666,0.6976458333333333
56,56,CCT,Energy,val_optimal,False,False,OoD Val,0.49575,ind_test,0.8973333333333333,0.6965416666666666
57,57,CCT,Energy,val_optimal,False,False,OoD Val,0.49575,ind_val,0.8976666666666666,0.6967083333333333
58,58,CCT,Energy,val_optimal,False,False,brightness,0.378875,ind_test,0.8973333333333333,0.6381041666666667
59,59,CCT,Energy,val_optimal,False,False,brightness,0.378875,ind_val,0.8976666666666666,0.6382708333333333
60,60,CCT,Energy,val_optimal,False,False,contrast,0.06675,ind_test,0.8973333333333333,0.48204166666666665
61,61,CCT,Energy,val_optimal,False,False,contrast,0.06675,ind_val,0.8976666666666666,0.4822083333333333
62,62,CCT,Energy,val_optimal,False,False,hue,0.204125,ind_test,0.8973333333333333,0.5507291666666667
63,63,CCT,Energy,val_optimal,False,False,hue,0.204125,ind_val,0.8976666666666666,0.5508958333333334
64,64,CCT,Energy,val_optimal,False,False,multnoise,0.315,ind_test,0.8973333333333333,0.6061666666666666
65,65,CCT,Energy,val_optimal,False,False,multnoise,0.315,ind_val,0.8976666666666666,0.6063333333333333
66,66,CCT,Energy,val_optimal,False,False,noise,0.370375,ind_test,0.8973333333333333,0.6338541666666666
67,67,CCT,Energy,val_optimal,False,False,noise,0.370375,ind_val,0.8976666666666666,0.6340208333333333
