Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,InD Shift,TNR
CCT,Energy,ind_span,False,False,ind_test,0.977
CCT,Energy,ind_span,False,False,ind_val,0.98
CCT,Energy,ind_span,True,False,ind_test,0.977
CCT,Energy,ind_span,True,False,ind_val,0.93
CCT,Energy,ind_span,True,True,ind_test,0.9771111111111112
CCT,Energy,ind_span,True,True,ind_val,0.9331111111111111
CCT,Energy,val_optimal,False,False,ind_test,0.8973333333333333
CCT,Energy,val_optimal,False,False,ind_val,0.8976666666666666
CCT,Energy,val_optimal,True,False,ind_test,0.8973333333333333
CCT,Energy,val_optimal,True,False,ind_val,0.8576666666666667
CCT,Energy,val_optimal,True,True,ind_test,0.6792222222222222
CCT,Energy,val_optimal,True,True,ind_val,0.6664444444444444
CCT,Entropy,ind_span,False,False,ind_test,0.983
CCT,Entropy,ind_span,False,False,ind_val,0.98
CCT,Entropy,ind_span,True,False,ind_test,0.983
CCT,Entropy,ind_span,True,False,ind_val,0.936
CCT,Entropy,ind_span,True,True,ind_test,0.9897777777777778
CCT,Entropy,ind_span,True,True,ind_val,0.933
CCT,Entropy,val_optimal,False,False,ind_test,0.7583333333333333
CCT,Entropy,val_optimal,False,False,ind_val,0.7634444444444445
CCT,Entropy,val_optimal,True,False,ind_test,0.7583333333333333
CCT,Entropy,val_optimal,True,False,ind_val,0.7363333333333333
CCT,Entropy,val_optimal,True,True,ind_test,0.7776666666666666
CCT,Entropy,val_optimal,True,True,ind_val,0.7355555555555555
CCT,GradNorm,ind_span,False,False,ind_test,0.97
CCT,GradNorm,ind_span,False,False,ind_val,0.98
CCT,GradNorm,ind_span,True,False,ind_test,0.97
CCT,GradNorm,ind_span,True,False,ind_val,0.93
CCT,GradNorm,ind_span,True,True,ind_test,0.9714444444444444
CCT,GradNorm,ind_span,True,True,ind_val,0.9308888888888889
CCT,GradNorm,val_optimal,False,False,ind_test,0.722
CCT,GradNorm,val_optimal,False,False,ind_val,0.741
CCT,GradNorm,val_optimal,True,False,ind_test,0.722
CCT,GradNorm,val_optimal,True,False,ind_val,0.7152222222222222
CCT,GradNorm,val_optimal,True,True,ind_test,0.7245555555555555
CCT,GradNorm,val_optimal,True,True,ind_val,0.7058888888888889
CCT,Softmax,ind_span,False,False,ind_test,0.975
CCT,Softmax,ind_span,False,False,ind_val,0.98
CCT,Softmax,ind_span,True,False,ind_test,0.975
CCT,Softmax,ind_span,True,False,ind_val,0.932
CCT,Softmax,ind_span,True,True,ind_test,0.9736666666666667
CCT,Softmax,ind_span,True,True,ind_val,0.9318888888888889
CCT,Softmax,val_optimal,False,False,ind_test,0.7777777777777778
CCT,Softmax,val_optimal,False,False,ind_val,0.755
CCT,Softmax,val_optimal,True,False,ind_test,0.7777777777777778
