Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k
CCT,kNN,OoD Val,OoD Val,0.9285397248113626,1.0,0.9642698624056814,RandomSampler,-1
CCT,kNN,OoD Val,OoD Val,0.9916666666666667,0.12376003778932454,0.5577133522279956,ClusterSampler,-1
CCT,kNN,OoD Val,OoD Val,0.9834710743801653,0.12340425531914889,0.5534376648496571,SequentialSampler,-1
CCT,kNN,OoD Val,OoD Test,1.0,0.11983082706766912,0.5599154135338346,RandomSampler,-1
CCT,kNN,OoD Val,OoD Test,1.0,0.11936090225563911,0.5596804511278195,ClusterSampler,-1
CCT,kNN,OoD Val,OoD Test,0.9913419913419913,0.11900282220131708,0.5551724067716541,SequentialSampler,-1
CCT,kNN,OoD Test,OoD Val,0.929427430093209,1.0,0.9647137150466045,RandomSampler,-1
CCT,kNN,OoD Test,OoD Val,0.9958333333333333,0.12328767123287676,0.559560502283105,ClusterSampler,-1
CCT,kNN,OoD Test,OoD Val,0.987603305785124,0.1229314420803782,0.5552673739327512,SequentialSampler,-1
CCT,kNN,OoD Test,OoD Test,1.0,0.11701127819548873,0.5585056390977443,RandomSampler,-1
CCT,kNN,OoD Test,OoD Test,1.0,0.11654135338345861,0.5582706766917294,ClusterSampler,-1
CCT,kNN,OoD Test,OoD Test,0.9913419913419913,0.11618062088428971,0.5537613061131406,SequentialSampler,-1
CCT,GradNorm,OoD Val,OoD Val,0.7569906790945407,0.4423076923076923,0.5996491857011165,RandomSampler,-1
CCT,GradNorm,OoD Val,OoD Val,0.7604456824512534,0.2496307237813885,0.505038203116321,ClassOrderSampler,-1
CCT,GradNorm,OoD Val,OoD Val,0.7621268656716418,0.2529469548133595,0.5075369102425007,ClusterSampler,-1
CCT,GradNorm,OoD Val,OoD Val,0.7616387337057728,0.255653883972468,0.5086463088391204,SequentialSampler,-1
CCT,GradNorm,OoD Val,OoD Test,0.7540056550424128,0.24670249145090373,0.5003540732466583,RandomSampler,-1
CCT,GradNorm,OoD Val,OoD Test,0.7530631479736098,0.2408402540302882,0.496951701001949,ClassOrderSampler,-1
CCT,GradNorm,OoD Val,OoD Test,0.7547348484848485,0.24415204678362568,0.4994434476342371,ClusterSampler,-1
CCT,GradNorm,OoD Val,OoD Test,0.7542533081285444,0.24682926829268292,0.5005412882106137,SequentialSampler,-1
CCT,GradNorm,OoD Test,OoD Val,0.7486684420772304,0.46153846153846156,0.605103451807846,RandomSampler,-1
CCT,GradNorm,OoD Test,OoD Val,0.7530176415970288,0.258493353028065,0.5057554973125469,ClassOrderSampler,-1
CCT,GradNorm,OoD Test,OoD Val,0.7546641791044776,0.2612966601178782,0.5079804196111779,ClusterSampler,-1
CCT,GradNorm,OoD Test,OoD Val,0.7541899441340782,0.26499508357915436,0.5095925138566163,SequentialSampler,-1
CCT,GradNorm,OoD Test,OoD Test,0.7492931196983977,0.252076209086468,0.5006846643924329,RandomSampler,-1
CCT,GradNorm,OoD Test,OoD Test,0.7483506126295947,0.2457254518808012,0.49703803225519794,ClassOrderSampler,-1
CCT,GradNorm,OoD Test,OoD Test,0.75,0.2485380116959064,0.4992690058479532,ClusterSampler,-1
CCT,GradNorm,OoD Test,OoD Test,0.7495274102079396,0.2521951219512195,0.5008612660795795,SequentialSampler,-1
CCT,GradNorm,OoD Val,OoD Val,0.1478029294274301,0.5673076923076923,0.3575553108675612,RandomSampler,0
CCT,GradNorm,OoD Val,OoD Val,0.0350109409190372,0.8331578947368421,0.43408441782793966,ClassOrderSampler,0
CCT,GradNorm,OoD Val,OoD Val,0.035398230088495575,0.8335958005249344,0.43449701530671503,ClusterSampler,0
CCT,GradNorm,OoD Val,OoD Test,0.022222222222222223,0.8080755112742528,0.41514886674823753,RandomSampler,0
CCT,GradNorm,OoD Val,OoD Test,0.02197802197802198,0.8312302839116719,0.42660415294484694,ClassOrderSampler,0
CCT,GradNorm,OoD Val,OoD Test,0.022222222222222223,0.8316727844782381,0.4269475033502302,ClusterSampler,0
CCT,GradNorm,OoD Test,OoD Val,0.1478029294274301,0.5673076923076923,0.3575553108675612,RandomSampler,0
CCT,GradNorm,OoD Test,OoD Val,0.0350109409190372,0.8331578947368421,0.43408441782793966,ClassOrderSampler,0
CCT,GradNorm,OoD Test,OoD Val,0.035398230088495575,0.8335958005249344,0.43449701530671503,ClusterSampler,0
CCT,GradNorm,OoD Test,OoD Test,0.022222222222222223,0.8080755112742528,0.41514886674823753,RandomSampler,0
CCT,GradNorm,OoD Test,OoD Test,0.02197802197802198,0.8312302839116719,0.42660415294484694,ClassOrderSampler,0
CCT,GradNorm,OoD Test,OoD Test,0.022222222222222223,0.8316727844782381,0.4269475033502302,ClusterSampler,0
CCT,GradNorm,OoD Val,OoD Val,0.87982689747004,0.15384615384615385,0.5168365256580969,RandomSampler,5
CCT,GradNorm,OoD Val,OoD Val,0.8293153326904532,0.11588604538870106,0.47260068903957714,ClassOrderSampler,5
CCT,GradNorm,OoD Val,OoD Val,0.8323643410852714,0.11368015414258192,0.47302224761392664,ClusterSampler,5
CCT,GradNorm,OoD Val,OoD Val,0.8326885880077369,0.09064609450337513,0.46166734125555603,SequentialSampler,5
CCT,GradNorm,OoD Val,OoD Test,0.8228744939271255,0.08820754716981127,0.4555410205484684,RandomSampler,5
CCT,GradNorm,OoD Val,OoD Test,0.8196555217831814,0.10561056105610556,0.46263304141964345,ClassOrderSampler,5
CCT,GradNorm,OoD Val,OoD Test,0.8228105906313645,0.10348071495766697,0.46314565279451575,ClusterSampler,5
CCT,GradNorm,OoD Val,OoD Test,0.823170731707317,0.08097928436911483,0.45207500803821593,SequentialSampler,5
CCT,GradNorm,OoD Test,OoD Val,0.87982689747004,0.15384615384615385,0.5168365256580969,RandomSampler,5
CCT,GradNorm,OoD Test,OoD Val,0.8293153326904532,0.11588604538870106,0.47260068903957714,ClassOrderSampler,5
CCT,GradNorm,OoD Test,OoD Val,0.8323643410852714,0.11368015414258192,0.47302224761392664,ClusterSampler,5
CCT,GradNorm,OoD Test,OoD Val,0.8326885880077369,0.09064609450337513,0.46166734125555603,SequentialSampler,5
CCT,GradNorm,OoD Test,OoD Test,0.8228744939271255,0.08820754716981127,0.4555410205484684,RandomSampler,5
CCT,GradNorm,OoD Test,OoD Test,0.8196555217831814,0.10561056105610556,0.46263304141964345,ClassOrderSampler,5
CCT,GradNorm,OoD Test,OoD Test,0.8228105906313645,0.10348071495766697,0.46314565279451575,ClusterSampler,5
CCT,GradNorm,OoD Test,OoD Test,0.823170731707317,0.08097928436911483,0.45207500803821593,SequentialSampler,5
CCT,Entropy,OoD Val,OoD Val,0.6581225033288948,0.9038461538461539,0.7809843285875243,RandomSampler,-1
CCT,Entropy,OoD Val,OoD Val,0.6620241411327762,0.36139832594780896,0.5117112335402926,ClassOrderSampler,-1
