Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
OfficeHome,kNN,ind_span,False,False,Art,ind_val,Art,ind_test,Art,Organic,0.12,0.98,0.55
OfficeHome,kNN,ind_span,False,False,Art,ind_val,Clipart,ind_test,Clipart,Organic,0.35,0.98,0.665
OfficeHome,kNN,ind_span,False,False,Art,ind_val,Product,ind_test,Product,Organic,0.0,0.98,0.49
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.025,ind_test,brightness,0.025,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.05,ind_test,brightness,0.05,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.07500000000000001,ind_test,brightness,0.07500000000000001,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.1,ind_test,brightness,0.1,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.125,ind_test,brightness,0.125,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.15000000000000002,ind_test,brightness,0.15000000000000002,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.17500000000000002,ind_test,brightness,0.17500000000000002,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.2,ind_test,brightness,0.2,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.225,ind_test,brightness,0.225,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,brightness_0.25,ind_test,brightness,0.25,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.025,ind_test,contrast,0.025,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.05,ind_test,contrast,0.05,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.07500000000000001,ind_test,contrast,0.07500000000000001,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.1,ind_test,contrast,0.1,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.125,ind_test,contrast,0.125,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.15000000000000002,ind_test,contrast,0.15000000000000002,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.17500000000000002,ind_test,contrast,0.17500000000000002,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.2,ind_test,contrast,0.2,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.225,ind_test,contrast,0.225,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,contrast_0.25,ind_test,contrast,0.25,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.025,ind_test,hue,0.025,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.05,ind_test,hue,0.05,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.07500000000000001,ind_test,hue,0.07500000000000001,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.1,ind_test,hue,0.1,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.125,ind_test,hue,0.125,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.15000000000000002,ind_test,hue,0.15000000000000002,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.17500000000000002,ind_test,hue,0.17500000000000002,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.2,ind_test,hue,0.2,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.225,ind_test,hue,0.225,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,hue_0.25,ind_test,hue,0.25,1.0,0.98,0.99
OfficeHome,kNN,ind_span,False,False,Art,ind_val,multnoise_0.05,ind_test,multnoise,0.05,0.02,0.98,0.5
