Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.025,ind_test,multnoise,0.025,0.003676470588235294,0.9963235294117647,0.5
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.05,ind_test,multnoise,0.05,0.003676470588235294,0.9963235294117647,0.5
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.07500000000000001,ind_test,multnoise,0.07500000000000001,0.0,0.9963235294117647,0.49816176470588236
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.1,ind_test,multnoise,0.1,0.0,0.9963235294117647,0.49816176470588236
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.125,ind_test,multnoise,0.125,0.003676470588235294,0.9963235294117647,0.5
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.15000000000000002,ind_test,multnoise,0.15000000000000002,0.003676470588235294,0.9963235294117647,0.5
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.17500000000000002,ind_test,multnoise,0.17500000000000002,0.003676470588235294,0.9963235294117647,0.5
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.2,ind_test,multnoise,0.2,0.07720588235294118,0.9963235294117647,0.5367647058823529
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.225,ind_test,multnoise,0.225,0.15441176470588236,0.9963235294117647,0.5753676470588236
Office31,kNN,ind_span,False,False,webcam,ind_val,multnoise_0.25,ind_test,multnoise,0.25,0.2647058823529412,0.9963235294117647,0.6305147058823529
Office31,kNN,ind_span,False,False,webcam,ind_val,webcam,ind_test,webcam,Organic,0.00701530612244898,0.9963235294117647,0.5016694177671068
Office31,kNN,ind_span,False,False,webcam,ind_val,dslr,ind_test,dslr,Organic,0.046370967741935484,0.9963235294117647,0.5213472485768501
Office31,kNN,ind_span,False,False,webcam,ind_val,hue_0.025,ind_test,hue,0.025,0.0,0.9963235294117647,0.49816176470588236
Office31,kNN,ind_span,False,False,webcam,ind_val,hue_0.05,ind_test,hue,0.05,0.0,0.9963235294117647,0.49816176470588236
