Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k,batch_size
CCT,rabanser,OoD Val,OoD Val,0.9223197658951849,0.6826923076923077,0.8025060367937463,Unbiased,0,1
CCT,rabanser,OoD Val,OoD Val,0.9223197658951849,0.028846153846153855,0.4755829598706694,Class,0,1
CCT,rabanser,OoD Val,OoD Val,0.9223197658951849,0.0,0.46115988294759247,Synthetic,0,1
CCT,rabanser,OoD Val,OoD Val,0.9223197658951849,0.7592592592592593,0.8407895125772221,Temporal,0,1
CCT,rabanser,OoD Val,OoD Test,0.9305666400638468,0.6826923076923077,0.8066294738780773,Unbiased,0,1
CCT,rabanser,OoD Val,OoD Test,0.9305666400638468,0.028846153846153855,0.47970639695500034,Class,0,1
CCT,rabanser,OoD Val,OoD Test,0.9305666400638468,0.0,0.4652833200319234,Synthetic,0,1
CCT,rabanser,OoD Val,OoD Test,0.9305666400638468,0.7592592592592593,0.8449129496615531,Temporal,0,1
CCT,rabanser,OoD Test,OoD Val,0.833998403830806,0.8846153846153846,0.8593068942230953,Unbiased,0,1
CCT,rabanser,OoD Test,OoD Val,0.833998403830806,0.08653846153846156,0.4602684326846338,Class,0,1
CCT,rabanser,OoD Test,OoD Val,0.833998403830806,0.0,0.416999201915403,Synthetic,0,1
CCT,rabanser,OoD Test,OoD Val,0.833998403830806,0.8703703703703703,0.8521843871005882,Temporal,0,1
CCT,rabanser,OoD Test,OoD Test,0.8507581803671189,0.8846153846153846,0.8676867824912518,Unbiased,0,1
CCT,rabanser,OoD Test,OoD Test,0.8507581803671189,0.08653846153846156,0.46864832095279024,Class,0,1
CCT,rabanser,OoD Test,OoD Test,0.8507581803671189,0.0,0.42537909018355946,Synthetic,0,1
CCT,rabanser,OoD Test,OoD Test,0.8507581803671189,0.8703703703703703,0.8605642753687446,Temporal,0,1
OfficeHome,rabanser,Art,Art,0.7714285714285715,0.5185185185185186,0.644973544973545,Unbiased,0,1
OfficeHome,rabanser,Art,Art,0.7714285714285715,0.4444444444444444,0.607936507936508,Class,0,1
OfficeHome,rabanser,Art,Art,0.7714285714285715,0.20370370370370372,0.4875661375661376,Synthetic,0,1
OfficeHome,rabanser,Art,Art,0.7714285714285715,0.20370370370370372,0.4875661375661376,Temporal,0,1
OfficeHome,rabanser,Art,Clipart,0.8835978835978836,0.5185185185185186,0.7010582010582012,Unbiased,0,1
OfficeHome,rabanser,Art,Clipart,0.8835978835978836,0.4444444444444444,0.664021164021164,Class,0,1
OfficeHome,rabanser,Art,Clipart,0.8835978835978836,0.20370370370370372,0.5436507936507937,Synthetic,0,1
OfficeHome,rabanser,Art,Clipart,0.8835978835978836,0.20370370370370372,0.5436507936507937,Temporal,0,1
OfficeHome,rabanser,Art,Product,0.7724867724867724,0.5185185185185186,0.6455026455026456,Unbiased,0,1
OfficeHome,rabanser,Art,Product,0.7724867724867724,0.4444444444444444,0.6084656084656084,Class,0,1
OfficeHome,rabanser,Art,Product,0.7724867724867724,0.20370370370370372,0.4880952380952381,Synthetic,0,1
OfficeHome,rabanser,Art,Product,0.7724867724867724,0.20370370370370372,0.4880952380952381,Temporal,0,1
OfficeHome,rabanser,Clipart,Art,0.5047619047619047,0.8703703703703703,0.6875661375661375,Unbiased,0,1
OfficeHome,rabanser,Clipart,Art,0.5047619047619047,0.8148148148148149,0.6597883597883598,Class,0,1
OfficeHome,rabanser,Clipart,Art,0.5047619047619047,0.2962962962962963,0.4005291005291005,Synthetic,0,1
OfficeHome,rabanser,Clipart,Art,0.5047619047619047,0.40740740740740744,0.4560846560846561,Temporal,0,1
OfficeHome,rabanser,Clipart,Clipart,0.6984126984126984,0.8703703703703703,0.7843915343915344,Unbiased,0,1
OfficeHome,rabanser,Clipart,Clipart,0.6984126984126984,0.8148148148148149,0.7566137566137566,Class,0,1
OfficeHome,rabanser,Clipart,Clipart,0.6984126984126984,0.2962962962962963,0.4973544973544973,Synthetic,0,1
OfficeHome,rabanser,Clipart,Clipart,0.6984126984126984,0.40740740740740744,0.5529100529100529,Temporal,0,1
OfficeHome,rabanser,Clipart,Product,0.5661375661375662,0.8703703703703703,0.7182539682539683,Unbiased,0,1
OfficeHome,rabanser,Clipart,Product,0.5661375661375662,0.8148148148148149,0.6904761904761905,Class,0,1
OfficeHome,rabanser,Clipart,Product,0.5661375661375662,0.2962962962962963,0.4312169312169312,Synthetic,0,1
OfficeHome,rabanser,Clipart,Product,0.5661375661375662,0.40740740740740744,0.4867724867724868,Temporal,0,1
OfficeHome,rabanser,Product,Art,0.6285714285714286,0.7407407407407407,0.6846560846560846,Unbiased,0,1
OfficeHome,rabanser,Product,Art,0.6285714285714286,0.5555555555555556,0.5920634920634921,Class,0,1
OfficeHome,rabanser,Product,Art,0.6285714285714286,0.2407407407407407,0.43465608465608463,Synthetic,0,1
OfficeHome,rabanser,Product,Art,0.6285714285714286,0.33333333333333337,0.48095238095238096,Temporal,0,1
OfficeHome,rabanser,Product,Clipart,0.7619047619047619,0.7407407407407407,0.7513227513227513,Unbiased,0,1
OfficeHome,rabanser,Product,Clipart,0.7619047619047619,0.5555555555555556,0.6587301587301587,Class,0,1
OfficeHome,rabanser,Product,Clipart,0.7619047619047619,0.2407407407407407,0.5013227513227513,Synthetic,0,1
OfficeHome,rabanser,Product,Clipart,0.7619047619047619,0.33333333333333337,0.5476190476190477,Temporal,0,1
OfficeHome,rabanser,Product,Product,0.6613756613756614,0.7407407407407407,0.701058201058201,Unbiased,0,1
OfficeHome,rabanser,Product,Product,0.6613756613756614,0.5555555555555556,0.6084656084656085,Class,0,1
OfficeHome,rabanser,Product,Product,0.6613756613756614,0.2407407407407407,0.45105820105820105,Synthetic,0,1
OfficeHome,rabanser,Product,Product,0.6613756613756614,0.33333333333333337,0.4973544973544974,Temporal,0,1
OfficeHome,rabanser,Art,Art,0.76,0.6944444444444444,0.7272222222222222,Unbiased,5,1
OfficeHome,rabanser,Art,Art,0.76,0.40740740740740744,0.5837037037037037,Class,5,1
OfficeHome,rabanser,Art,Art,0.76,0.11111111111111116,0.4355555555555556,Synthetic,5,1
OfficeHome,rabanser,Art,Art,0.76,0.5925925925925926,0.6762962962962963,Temporal,5,1
OfficeHome,rabanser,Art,Clipart,0.9925925925925926,0.6944444444444444,0.8435185185185186,Unbiased,5,1
OfficeHome,rabanser,Art,Clipart,0.9925925925925926,0.40740740740740744,0.7,Class,5,1
OfficeHome,rabanser,Art,Clipart,0.9925925925925926,0.11111111111111116,0.5518518518518518,Synthetic,5,1
OfficeHome,rabanser,Art,Clipart,0.9925925925925926,0.5925925925925926,0.7925925925925925,Temporal,5,1
OfficeHome,rabanser,Art,Product,0.7111111111111111,0.6944444444444444,0.7027777777777777,Unbiased,5,1
OfficeHome,rabanser,Art,Product,0.7111111111111111,0.40740740740740744,0.5592592592592593,Class,5,1
OfficeHome,rabanser,Art,Product,0.7111111111111111,0.11111111111111116,0.41111111111111115,Synthetic,5,1
OfficeHome,rabanser,Art,Product,0.7111111111111111,0.5925925925925926,0.6518518518518519,Temporal,5,1
OfficeHome,rabanser,Clipart,Art,0.16444444444444445,1.0,0.5822222222222222,Unbiased,5,1
OfficeHome,rabanser,Clipart,Art,0.16444444444444445,0.962962962962963,0.5637037037037037,Class,5,1
OfficeHome,rabanser,Clipart,Art,0.16444444444444445,0.5185185185185186,0.3414814814814815,Synthetic,5,1
OfficeHome,rabanser,Clipart,Art,0.16444444444444445,1.0,0.5822222222222222,Temporal,5,1
OfficeHome,rabanser,Clipart,Clipart,0.928395061728395,1.0,0.9641975308641975,Unbiased,5,1
OfficeHome,rabanser,Clipart,Clipart,0.928395061728395,0.962962962962963,0.9456790123456791,Class,5,1
OfficeHome,rabanser,Clipart,Clipart,0.928395061728395,0.5185185185185186,0.7234567901234568,Synthetic,5,1
OfficeHome,rabanser,Clipart,Clipart,0.928395061728395,1.0,0.9641975308641975,Temporal,5,1
OfficeHome,rabanser,Clipart,Product,0.33827160493827163,1.0,0.6691358024691358,Unbiased,5,1
OfficeHome,rabanser,Clipart,Product,0.33827160493827163,0.962962962962963,0.6506172839506174,Class,5,1
OfficeHome,rabanser,Clipart,Product,0.33827160493827163,0.5185185185185186,0.42839506172839514,Synthetic,5,1
OfficeHome,rabanser,Clipart,Product,0.33827160493827163,1.0,0.6691358024691358,Temporal,5,1
OfficeHome,rabanser,Product,Art,0.76,0.6944444444444444,0.7272222222222222,Unbiased,5,1
OfficeHome,rabanser,Product,Art,0.76,0.40740740740740744,0.5837037037037037,Class,5,1
OfficeHome,rabanser,Product,Art,0.76,0.11111111111111116,0.4355555555555556,Synthetic,5,1
