Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,kNN,ind_span,True,True,OoD Test,ind_val,OoD Test,ind_test,OoD Test,Organic,1.0,0.5879396984924623,0.7939698492462312
CCT,kNN,ind_span,True,True,OoD Test,ind_val,OoD Val,ind_test,OoD Val,Organic,1.0,0.5900000000000001,0.795
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.025,ind_test,brightness,0.025,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.05,ind_test,brightness,0.05,1.0,0.995,0.9975
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.07500000000000001,ind_test,brightness,0.07500000000000001,1.0,0.975,0.9875
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.1,ind_test,brightness,0.1,1.0,0.97,0.985
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.125,ind_test,brightness,0.125,1.0,0.975,0.9875
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.15000000000000002,ind_test,brightness,0.15000000000000002,1.0,0.935,0.9675
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.17500000000000002,ind_test,brightness,0.17500000000000002,1.0,0.955,0.9775
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.2,ind_test,brightness,0.2,1.0,0.96,0.98
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.225,ind_test,brightness,0.225,1.0,0.9299999999999999,0.965
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.25,ind_test,brightness,0.25,1.0,0.91,0.9550000000000001
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.275,ind_test,brightness,0.275,1.0,0.9299999999999999,0.965
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.30000000000000004,ind_test,brightness,0.30000000000000004,1.0,0.92,0.96
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.325,ind_test,brightness,0.325,1.0,0.895,0.9475
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.35000000000000003,ind_test,brightness,0.35000000000000003,1.0,0.91,0.9550000000000001
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.375,ind_test,brightness,0.375,1.0,0.89,0.9450000000000001
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.4,ind_test,brightness,0.4,1.0,0.92,0.96
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.42500000000000004,ind_test,brightness,0.42500000000000004,1.0,0.87,0.935
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.45,ind_test,brightness,0.45,1.0,0.885,0.9425
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.47500000000000003,ind_test,brightness,0.47500000000000003,1.0,0.885,0.9425
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.5,ind_test,brightness,0.5,1.0,0.85,0.925
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.025,ind_test,contrast,0.025,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.05,ind_test,contrast,0.05,1.0,0.995,0.9975
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.07500000000000001,ind_test,contrast,0.07500000000000001,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.1,ind_test,contrast,0.1,1.0,0.995,0.9975
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.125,ind_test,contrast,0.125,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.15000000000000002,ind_test,contrast,0.15000000000000002,1.0,0.995,0.9975
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.17500000000000002,ind_test,contrast,0.17500000000000002,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.2,ind_test,contrast,0.2,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.225,ind_test,contrast,0.225,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.25,ind_test,contrast,0.25,1.0,0.995,0.9975
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.275,ind_test,contrast,0.275,1.0,0.99,0.995
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.30000000000000004,ind_test,contrast,0.30000000000000004,1.0,0.985,0.9924999999999999
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.325,ind_test,contrast,0.325,0.0,0.9798994974874372,0.4899497487437186
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.35000000000000003,ind_test,contrast,0.35000000000000003,1.0,0.97,0.985
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.375,ind_test,contrast,0.375,1.0,0.98,0.99
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.4,ind_test,contrast,0.4,0.0,0.9597989949748744,0.4798994974874372
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.42500000000000004,ind_test,contrast,0.42500000000000004,1.0,0.98,0.99
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.45,ind_test,contrast,0.45,1.0,0.985,0.9924999999999999
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.47500000000000003,ind_test,contrast,0.47500000000000003,1.0,0.95,0.975
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.5,ind_test,contrast,0.5,0.0,0.964824120603015,0.4824120603015075
CCT,kNN,ind_span,True,True,OoD Test,ind_val,hue_0.025,ind_test,hue,0.025,1.0,0.995,0.9975
