Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,EtisLaribDB,ind_test,ind_test,InD,0.7862068965517242,0.6055776892430279,0.6958922928973761
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,CVC-ClinicDB,ind_test,ind_test,InD,0.5526315789473685,0.5217041800643087,0.5371678795058386
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,EndoCV2020,ind_test,ind_test,InD,0.44680851063829785,0.7071428571428571,0.5769756838905775
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,smear_0.25,ind_test,ind_test,InD,0.12790697674418605,0.7898550724637681,0.45888102460397706
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,brightness_0.25,ind_test,ind_test,InD,0.16666666666666666,0.8034934497816594,0.485080058224163
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,contrast_0.25,ind_test,ind_test,InD,0.21951219512195122,0.778021978021978,0.4987670865719646
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,hue_0.25,ind_test,ind_test,InD,0.47058823529411764,0.6696629213483146,0.5701255783212161
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,multnoise_0.25,ind_test,ind_test,InD,0.7886178861788617,0.7801608579088471,0.7843893720438544
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,saltpepper_0.25,ind_test,ind_test,InD,0.796875,0.7907608695652174,0.7938179347826086
Polyp,kNN,val_optimal,True,True,EtisLaribDB,ind_val,noise_0.25,ind_test,ind_test,InD,0.7739130434782608,0.7637795275590551,0.768846285518658
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,ind_val,EtisLaribDB,ind_test,ind_test,InD,0.8758620689655172,0.5079681274900398,0.6919150982277785
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,ind_val,CVC-ClinicDB,ind_test,ind_test,InD,0.781578947368421,0.3239549839228296,0.5527669656456253
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,ind_val,EndoCV2020,ind_test,ind_test,InD,0.5851063829787234,0.5660714285714286,0.575588905775076
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,ind_val,smear_0.25,ind_test,ind_test,InD,0.2441860465116279,0.6763285024154589,0.4602572744635434
Polyp,kNN,val_optimal,True,True,CVC-ClinicDB,ind_val,brightness_0.25,ind_test,ind_test,InD,0.2857142857142857,0.6899563318777293,0.4878353087960075
