Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.025,ind_test,brightness,0.025,0.04,0.98,0.51
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.05,ind_test,brightness,0.05,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.07500000000000001,ind_test,brightness,0.07500000000000001,0.1,0.98,0.54
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.1,ind_test,brightness,0.1,0.04,0.98,0.51
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.125,ind_test,brightness,0.125,0.14,0.98,0.56
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.15000000000000002,ind_test,brightness,0.15000000000000002,0.19,0.98,0.585
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.17500000000000002,ind_test,brightness,0.17500000000000002,0.2,0.98,0.59
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.2,ind_test,brightness,0.2,0.34,0.98,0.66
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.225,ind_test,brightness,0.225,0.14,0.98,0.56
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.25,ind_test,brightness,0.25,0.41,0.98,0.695
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.275,ind_test,brightness,0.275,0.51,0.98,0.745
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.30000000000000004,ind_test,brightness,0.30000000000000004,0.36,0.98,0.6699999999999999
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.325,ind_test,brightness,0.325,0.39,0.98,0.685
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.35000000000000003,ind_test,brightness,0.35000000000000003,0.49,0.98,0.735
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.375,ind_test,brightness,0.375,0.32,0.98,0.65
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.4,ind_test,brightness,0.4,0.33,0.98,0.655
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.42500000000000004,ind_test,brightness,0.42500000000000004,0.44,0.98,0.71
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.45,ind_test,brightness,0.45,0.22,0.98,0.6
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.47500000000000003,ind_test,brightness,0.47500000000000003,0.29,0.98,0.635
Office31,kNN,ind_span,False,False,dslr,ind_val,brightness_0.5,ind_test,brightness,0.5,0.28,0.98,0.63
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.025,ind_test,contrast,0.025,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.05,ind_test,contrast,0.05,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.07500000000000001,ind_test,contrast,0.07500000000000001,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.1,ind_test,contrast,0.1,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.125,ind_test,contrast,0.125,0.03,0.98,0.505
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.15000000000000002,ind_test,contrast,0.15000000000000002,0.04,0.98,0.51
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.17500000000000002,ind_test,contrast,0.17500000000000002,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.2,ind_test,contrast,0.2,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.225,ind_test,contrast,0.225,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.25,ind_test,contrast,0.25,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.275,ind_test,contrast,0.275,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.30000000000000004,ind_test,contrast,0.30000000000000004,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.325,ind_test,contrast,0.325,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.35000000000000003,ind_test,contrast,0.35000000000000003,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.375,ind_test,contrast,0.375,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.4,ind_test,contrast,0.4,0.03,0.98,0.505
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.42500000000000004,ind_test,contrast,0.42500000000000004,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.45,ind_test,contrast,0.45,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.47500000000000003,ind_test,contrast,0.47500000000000003,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,contrast_0.5,ind_test,contrast,0.5,0.06,0.98,0.52
Office31,kNN,ind_span,False,False,dslr,ind_val,dslr,ind_test,dslr,Organic,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.025,ind_test,hue,0.025,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.05,ind_test,hue,0.05,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.07500000000000001,ind_test,hue,0.07500000000000001,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.1,ind_test,hue,0.1,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.125,ind_test,hue,0.125,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.15000000000000002,ind_test,hue,0.15000000000000002,0.04,0.98,0.51
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.17500000000000002,ind_test,hue,0.17500000000000002,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.2,ind_test,hue,0.2,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.225,ind_test,hue,0.225,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.25,ind_test,hue,0.25,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.275,ind_test,hue,0.275,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.30000000000000004,ind_test,hue,0.30000000000000004,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.325,ind_test,hue,0.325,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.35000000000000003,ind_test,hue,0.35000000000000003,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.375,ind_test,hue,0.375,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.4,ind_test,hue,0.4,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.42500000000000004,ind_test,hue,0.42500000000000004,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.45,ind_test,hue,0.45,0.02,0.98,0.5
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.47500000000000003,ind_test,hue,0.47500000000000003,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,hue_0.5,ind_test,hue,0.5,0.01,0.98,0.495
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.025,ind_test,multnoise,0.025,0.03,0.98,0.505
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.05,ind_test,multnoise,0.05,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.07500000000000001,ind_test,multnoise,0.07500000000000001,0.07,0.98,0.525
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.1,ind_test,multnoise,0.1,0.99,0.98,0.985
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.125,ind_test,multnoise,0.125,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.15000000000000002,ind_test,multnoise,0.15000000000000002,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.17500000000000002,ind_test,multnoise,0.17500000000000002,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.2,ind_test,multnoise,0.2,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.225,ind_test,multnoise,0.225,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.25,ind_test,multnoise,0.25,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.275,ind_test,multnoise,0.275,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.30000000000000004,ind_test,multnoise,0.30000000000000004,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.325,ind_test,multnoise,0.325,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.35000000000000003,ind_test,multnoise,0.35000000000000003,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.375,ind_test,multnoise,0.375,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.4,ind_test,multnoise,0.4,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.42500000000000004,ind_test,multnoise,0.42500000000000004,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.45,ind_test,multnoise,0.45,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.47500000000000003,ind_test,multnoise,0.47500000000000003,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,multnoise_0.5,ind_test,multnoise,0.5,1.0,0.98,0.99
Office31,kNN,ind_span,False,False,dslr,ind_val,noise_0.025,ind_test,noise,0.025,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,noise_0.05,ind_test,noise,0.05,0.03,0.98,0.505
Office31,kNN,ind_span,False,False,dslr,ind_val,noise_0.07500000000000001,ind_test,noise,0.07500000000000001,0.0,0.98,0.49
Office31,kNN,ind_span,False,False,dslr,ind_val,noise_0.1,ind_test,noise,0.1,0.01,0.98,0.495
