level_0,index,Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Shift,TPR,InD Shift,TNR,balanced_accuracy
0,0,CCT,Energy,density,False,False,OoD Test,0.999,ind_test,0.99,0.9944999999999999
1,1,CCT,Energy,density,False,False,OoD Test,0.999,ind_val,0.998,0.9984999999999999
2,2,CCT,Energy,density,False,False,OoD Val,1.0,ind_test,0.99,0.995
3,3,CCT,Energy,density,False,False,OoD Val,1.0,ind_val,0.998,0.999
4,4,CCT,Energy,density,False,False,brightness,0.676,ind_test,0.99,0.833
5,5,CCT,Energy,density,False,False,brightness,0.676,ind_val,0.998,0.837
6,6,CCT,Energy,density,False,False,contrast,0.011,ind_test,0.99,0.5005
7,7,CCT,Energy,density,False,False,contrast,0.011,ind_val,0.998,0.5045
8,8,CCT,Energy,density,False,False,hue,0.095,ind_test,0.99,0.5425
9,9,CCT,Energy,density,False,False,hue,0.095,ind_val,0.998,0.5465
10,10,CCT,Energy,density,False,False,multnoise,0.884,ind_test,0.99,0.937
11,11,CCT,Energy,density,False,False,multnoise,0.884,ind_val,0.998,0.9410000000000001
12,12,CCT,Energy,density,False,False,noise,0.998,ind_test,0.99,0.994
13,13,CCT,Energy,density,False,False,noise,0.998,ind_val,0.998,0.998
14,14,CCT,Energy,density,False,False,saltpepper,0.943,ind_test,0.99,0.9664999999999999
15,15,CCT,Energy,density,False,False,saltpepper,0.943,ind_val,0.998,0.9704999999999999
16,16,CCT,Energy,density,False,False,smear,0.105,ind_test,0.99,0.5475
17,17,CCT,Energy,density,False,False,smear,0.105,ind_val,0.998,0.5515
18,18,CCT,Energy,density,True,False,OoD Test,0.851,ind_test,0.99,0.9205
19,19,CCT,Energy,density,True,False,OoD Test,0.851,ind_val,0.948,0.8995
20,20,CCT,Energy,density,True,False,OoD Val,0.807,ind_test,0.99,0.8985000000000001
21,21,CCT,Energy,density,True,False,OoD Val,0.807,ind_val,0.948,0.8775
22,22,CCT,Energy,density,True,False,brightness,0.324,ind_test,0.99,0.657
23,23,CCT,Energy,density,True,False,brightness,0.324,ind_val,0.948,0.636
24,24,CCT,Energy,density,True,False,contrast,0.989,ind_test,0.99,0.9895
25,25,CCT,Energy,density,True,False,contrast,0.989,ind_val,0.948,0.9684999999999999
26,26,CCT,Energy,density,True,False,hue,0.105,ind_test,0.99,0.5475
27,27,CCT,Energy,density,True,False,hue,0.105,ind_val,0.948,0.5265
28,28,CCT,Energy,density,True,False,multnoise,0.884,ind_test,0.99,0.937
29,29,CCT,Energy,density,True,False,multnoise,0.884,ind_val,0.948,0.9159999999999999
30,30,CCT,Energy,density,True,False,noise,0.998,ind_test,0.99,0.994
31,31,CCT,Energy,density,True,False,noise,0.998,ind_val,0.948,0.973
32,32,CCT,Energy,density,True,False,saltpepper,0.943,ind_test,0.99,0.9664999999999999
33,33,CCT,Energy,density,True,False,saltpepper,0.943,ind_val,0.948,0.9455
34,34,CCT,Energy,density,True,False,smear,0.895,ind_test,0.99,0.9425
35,35,CCT,Energy,density,True,False,smear,0.895,ind_val,0.948,0.9215
36,36,CCT,Energy,density,True,True,OoD Test,0.690375,ind_test,0.9902222222222222,0.840298611111111
37,37,CCT,Energy,density,True,True,OoD Test,0.690375,ind_val,0.9475555555555556,0.8189652777777778
38,38,CCT,Energy,density,True,True,OoD Val,0.67025,ind_test,0.9902222222222222,0.8302361111111112
39,39,CCT,Energy,density,True,True,OoD Val,0.67025,ind_val,0.9475555555555556,0.8089027777777777
40,40,CCT,Energy,density,True,True,brightness,0.448,ind_test,0.9902222222222222,0.7191111111111111
41,41,CCT,Energy,density,True,True,brightness,0.448,ind_val,0.9475555555555556,0.6977777777777778
42,42,CCT,Energy,density,True,True,contrast,0.98875,ind_test,0.9902222222222222,0.9894861111111111
43,43,CCT,Energy,density,True,True,contrast,0.98875,ind_val,0.9475555555555556,0.9681527777777779
44,44,CCT,Energy,density,True,True,hue,0.09925,ind_test,0.9902222222222222,0.5447361111111111
45,45,CCT,Energy,density,True,True,hue,0.09925,ind_val,0.9475555555555556,0.5234027777777778
46,46,CCT,Energy,density,True,True,multnoise,0.87775,ind_test,0.9902222222222222,0.9339861111111112
47,47,CCT,Energy,density,True,True,multnoise,0.87775,ind_val,0.9475555555555556,0.9126527777777778
48,48,CCT,Energy,density,True,True,noise,0.997875,ind_test,0.9902222222222222,0.9940486111111111
49,49,CCT,Energy,density,True,True,noise,0.997875,ind_val,0.9475555555555556,0.9727152777777778
50,50,CCT,Energy,density,True,True,saltpepper,0.92,ind_test,0.9902222222222222,0.9551111111111111
51,51,CCT,Energy,density,True,True,saltpepper,0.92,ind_val,0.9475555555555556,0.9337777777777778
52,52,CCT,Energy,density,True,True,smear,0.892875,ind_test,0.9902222222222222,0.9415486111111111
53,53,CCT,Energy,density,True,True,smear,0.892875,ind_val,0.9475555555555556,0.9202152777777778
54,54,CCT,Energy,ind_span,False,False,OoD Test,1.0,ind_test,0.966,0.983
55,55,CCT,Energy,ind_span,False,False,OoD Test,1.0,ind_val,0.98,0.99
56,56,CCT,Energy,ind_span,False,False,OoD Val,1.0,ind_test,0.966,0.983
57,57,CCT,Energy,ind_span,False,False,OoD Val,1.0,ind_val,0.98,0.99
58,58,CCT,Energy,ind_span,False,False,brightness,0.843,ind_test,0.966,0.9045
59,59,CCT,Energy,ind_span,False,False,brightness,0.843,ind_val,0.98,0.9115
60,60,CCT,Energy,ind_span,False,False,contrast,0.044,ind_test,0.966,0.505
61,61,CCT,Energy,ind_span,False,False,contrast,0.044,ind_val,0.98,0.512
62,62,CCT,Energy,ind_span,False,False,hue,0.182,ind_test,0.966,0.574
63,63,CCT,Energy,ind_span,False,False,hue,0.182,ind_val,0.98,0.581
64,64,CCT,Energy,ind_span,False,False,multnoise,0.948,ind_test,0.966,0.957
65,65,CCT,Energy,ind_span,False,False,multnoise,0.948,ind_val,0.98,0.964
66,66,CCT,Energy,ind_span,False,False,noise,1.0,ind_test,0.966,0.983
67,67,CCT,Energy,ind_span,False,False,noise,1.0,ind_val,0.98,0.99
68,68,CCT,Energy,ind_span,False,False,saltpepper,0.995,ind_test,0.966,0.9804999999999999
69,69,CCT,Energy,ind_span,False,False,saltpepper,0.995,ind_val,0.98,0.9875
70,70,CCT,Energy,ind_span,False,False,smear,0.292,ind_test,0.966,0.629
71,71,CCT,Energy,ind_span,False,False,smear,0.292,ind_val,0.98,0.636
72,72,CCT,Energy,ind_span,True,False,OoD Test,0.852,ind_test,0.966,0.909
73,73,CCT,Energy,ind_span,True,False,OoD Test,0.852,ind_val,0.93,0.891
74,74,CCT,Energy,ind_span,True,False,OoD Val,0.807,ind_test,0.966,0.8865000000000001
75,75,CCT,Energy,ind_span,True,False,OoD Val,0.807,ind_val,0.93,0.8685
76,76,CCT,Energy,ind_span,True,False,brightness,0.157,ind_test,0.966,0.5615
