Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Shift,TPR
CCT,Energy,density,False,False,OoD Test,0.999
CCT,Energy,density,False,False,OoD Val,1.0
CCT,Energy,density,False,False,brightness,0.676
CCT,Energy,density,False,False,contrast,0.011
CCT,Energy,density,False,False,hue,0.095
CCT,Energy,density,False,False,multnoise,0.884
CCT,Energy,density,False,False,noise,0.998
CCT,Energy,density,False,False,saltpepper,0.943
CCT,Energy,density,False,False,smear,0.105
CCT,Energy,density,True,False,OoD Test,0.851
CCT,Energy,density,True,False,OoD Val,0.807
CCT,Energy,density,True,False,brightness,0.324
CCT,Energy,density,True,False,contrast,0.989
CCT,Energy,density,True,False,hue,0.105
CCT,Energy,density,True,False,multnoise,0.884
CCT,Energy,density,True,False,noise,0.998
CCT,Energy,density,True,False,saltpepper,0.943
CCT,Energy,density,True,False,smear,0.895
CCT,Energy,density,True,True,OoD Test,0.690375
CCT,Energy,density,True,True,OoD Val,0.67025
CCT,Energy,density,True,True,brightness,0.448
CCT,Energy,density,True,True,contrast,0.98875
CCT,Energy,density,True,True,hue,0.09925
CCT,Energy,density,True,True,multnoise,0.87775
CCT,Energy,density,True,True,noise,0.997875
CCT,Energy,density,True,True,saltpepper,0.92
CCT,Energy,density,True,True,smear,0.892875
CCT,Energy,ind_span,False,False,OoD Test,1.0
CCT,Energy,ind_span,False,False,OoD Val,1.0
CCT,Energy,ind_span,False,False,brightness,0.843
CCT,Energy,ind_span,False,False,contrast,0.044
CCT,Energy,ind_span,False,False,hue,0.182
CCT,Energy,ind_span,False,False,multnoise,0.948
CCT,Energy,ind_span,False,False,noise,1.0
CCT,Energy,ind_span,False,False,saltpepper,0.995
CCT,Energy,ind_span,False,False,smear,0.292
CCT,Energy,ind_span,True,False,OoD Test,0.852
CCT,Energy,ind_span,True,False,OoD Val,0.807
CCT,Energy,ind_span,True,False,brightness,0.157
CCT,Energy,ind_span,True,False,contrast,0.956
CCT,Energy,ind_span,True,False,hue,0.19
CCT,Energy,ind_span,True,False,multnoise,0.948
CCT,Energy,ind_span,True,False,noise,1.0
CCT,Energy,ind_span,True,False,saltpepper,0.995
CCT,Energy,ind_span,True,False,smear,0.708
CCT,Energy,ind_span,True,True,OoD Test,0.726625
CCT,Energy,ind_span,True,True,OoD Val,0.699625
CCT,Energy,ind_span,True,True,brightness,0.4165
CCT,Energy,ind_span,True,True,contrast,0.954125
CCT,Energy,ind_span,True,True,hue,0.168625
CCT,Energy,ind_span,True,True,multnoise,0.94625
CCT,Energy,ind_span,True,True,noise,1.0
CCT,Energy,ind_span,True,True,saltpepper,0.992375
CCT,Energy,ind_span,True,True,smear,0.790625
CCT,Energy,val_optimal,False,False,OoD Test,0.374875
CCT,Energy,val_optimal,False,False,OoD Val,0.375
CCT,Energy,val_optimal,False,False,brightness,0.300875
CCT,Energy,val_optimal,False,False,contrast,0.040375
CCT,Energy,val_optimal,False,False,hue,0.156375
CCT,Energy,val_optimal,False,False,multnoise,0.4775
