Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,OoD Test Fold,bias,k,tpr,tnr,ba
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Unbiased,-1,1.0,0.12220916568742657,0.5611045828437133
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Synthetic,-1,0.7142857142857143,0.3089622641509434,0.5116239892183289
CCT,kNN,val_optimal,True,True,OoD Val,OoD Val,Temporal,-1,0.9913419913419913,0.16346153846153844,0.5774017649017649
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Unbiased,-1,1.0,0.1229314420803782,0.5614657210401891
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Synthetic,-1,1.0,0.2992874109263658,0.649643705463183
CCT,kNN,val_optimal,True,True,OoD Val,OoD Test,Temporal,-1,0.9904306220095693,0.16099071207430338,0.5757106670419363
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Unbiased,-1,1.0,0.12220916568742657,0.5611045828437133
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Synthetic,-1,0.8571428571428571,0.3077830188679245,0.5824629380053907
CCT,kNN,val_optimal,True,True,OoD Test,OoD Val,Temporal,-1,0.9913419913419913,0.16346153846153844,0.5774017649017649
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Unbiased,-1,1.0,0.1229314420803782,0.5614657210401891
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Synthetic,-1,1.0,0.2921615201900237,0.6460807600950118
CCT,kNN,val_optimal,True,True,OoD Test,OoD Test,Temporal,-1,0.9904306220095693,0.16099071207430338,0.5757106670419363
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Unbiased,-1,1.0,0.12103407755581663,0.5605170387779084
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Synthetic,-1,1.0,0.2264150943396226,0.6132075471698113
CCT,kNN,ind_span,True,True,OoD Val,OoD Val,Temporal,-1,0.9913419913419913,0.16025641025641024,0.5757992007992008
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Unbiased,-1,1.0,0.12174940898345155,0.5608747044917257
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Synthetic,-1,1.0,0.22565320665083133,0.6128266033254157
CCT,kNN,ind_span,True,True,OoD Val,OoD Test,Temporal,-1,0.9904306220095693,0.15479876160990713,0.5726146918097382
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Unbiased,-1,1.0,0.12103407755581663,0.5605170387779084
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Synthetic,-1,1.0,0.2264150943396226,0.6132075471698113
CCT,kNN,ind_span,True,True,OoD Test,OoD Val,Temporal,-1,0.9913419913419913,0.16025641025641024,0.5757992007992008
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Unbiased,-1,1.0,0.12174940898345155,0.5608747044917257
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Synthetic,-1,1.0,0.22565320665083133,0.6128266033254157
CCT,kNN,ind_span,True,True,OoD Test,OoD Test,Temporal,-1,0.9904306220095693,0.15479876160990713,0.5726146918097382
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Unbiased,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Synthetic,-1,0.7142857142857143,0.3089622641509434,0.5116239892183289
CCT,kNN,val_optimal,True,False,OoD Val,OoD Val,Temporal,-1,0.9913419913419913,0.16346153846153844,0.5774017649017649
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Unbiased,-1,1.0,0.1229314420803782,0.5614657210401891
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Synthetic,-1,1.0,0.2992874109263658,0.649643705463183
CCT,kNN,val_optimal,True,False,OoD Val,OoD Test,Temporal,-1,0.9904306220095693,0.16099071207430338,0.5757106670419363
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Unbiased,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Synthetic,-1,0.8571428571428571,0.3077830188679245,0.5824629380053907
CCT,kNN,val_optimal,True,False,OoD Test,OoD Val,Temporal,-1,0.9913419913419913,0.16346153846153844,0.5774017649017649
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Unbiased,-1,1.0,0.1229314420803782,0.5614657210401891
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Synthetic,-1,1.0,0.2921615201900237,0.6460807600950118
CCT,kNN,val_optimal,True,False,OoD Test,OoD Test,Temporal,-1,0.9904306220095693,0.16099071207430338,0.5757106670419363
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Unbiased,-1,1.0,0.9903846153846154,0.9951923076923077
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Synthetic,-1,1.0,0.2264150943396226,0.6132075471698113
CCT,kNN,ind_span,True,False,OoD Val,OoD Val,Temporal,-1,0.9913419913419913,0.16025641025641024,0.5757992007992008
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Unbiased,-1,1.0,0.12174940898345155,0.5608747044917257
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Synthetic,-1,1.0,0.22565320665083133,0.6128266033254157
CCT,kNN,ind_span,True,False,OoD Val,OoD Test,Temporal,-1,0.9904306220095693,0.15479876160990713,0.5726146918097382
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Unbiased,-1,1.0,0.9903846153846154,0.9951923076923077
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Synthetic,-1,1.0,0.2264150943396226,0.6132075471698113
CCT,kNN,ind_span,True,False,OoD Test,OoD Val,Temporal,-1,0.9913419913419913,0.16025641025641024,0.5757992007992008
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Unbiased,-1,1.0,0.12174940898345155,0.5608747044917257
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Synthetic,-1,1.0,0.22565320665083133,0.6128266033254157
CCT,kNN,ind_span,True,False,OoD Test,OoD Test,Temporal,-1,0.9904306220095693,0.15479876160990713,0.5726146918097382
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Unbiased,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Synthetic,-1,0.7856191744340879,0.9903846153846154,0.8880018949093517
CCT,kNN,val_optimal,False,False,OoD Val,OoD Val,Temporal,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Unbiased,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Synthetic,-1,0.8015978695073236,0.9903846153846154,0.8959912424459695
CCT,kNN,val_optimal,False,False,OoD Val,OoD Test,Temporal,-1,0.9973368841544608,1.0,0.9986684420772304
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Unbiased,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Synthetic,-1,0.7882822902796272,0.9903846153846154,0.8893334528321213
CCT,kNN,val_optimal,False,False,OoD Test,OoD Val,Temporal,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Unbiased,-1,1.0,1.0,1.0
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Synthetic,-1,0.8095872170439414,0.9903846153846154,0.8999859162142785
CCT,kNN,val_optimal,False,False,OoD Test,OoD Test,Temporal,-1,0.9973368841544608,1.0,0.9986684420772304
CCT,kNN,ind_span,False,False,OoD Val,OoD Val,Unbiased,-1,1.0,0.9903846153846154,0.9951923076923077
CCT,kNN,ind_span,False,False,OoD Val,OoD Val,Synthetic,-1,0.8641810918774967,0.8653846153846154,0.864782853631056
CCT,kNN,ind_span,False,False,OoD Val,OoD Val,Temporal,-1,1.0,0.9807692307692307,0.9903846153846154
CCT,kNN,ind_span,False,False,OoD Val,OoD Test,Unbiased,-1,1.0,0.9903846153846154,0.9951923076923077
CCT,kNN,ind_span,False,False,OoD Val,OoD Test,Synthetic,-1,0.8668442077230359,0.8653846153846154,0.8661144115538257
CCT,kNN,ind_span,False,False,OoD Val,OoD Test,Temporal,-1,1.0,0.9807692307692307,0.9903846153846154
CCT,kNN,ind_span,False,False,OoD Test,OoD Val,Unbiased,-1,1.0,0.9903846153846154,0.9951923076923077
CCT,kNN,ind_span,False,False,OoD Test,OoD Val,Synthetic,-1,0.8641810918774967,0.8653846153846154,0.864782853631056
CCT,kNN,ind_span,False,False,OoD Test,OoD Val,Temporal,-1,1.0,0.9807692307692307,0.9903846153846154
CCT,kNN,ind_span,False,False,OoD Test,OoD Test,Unbiased,-1,1.0,0.9903846153846154,0.9951923076923077
CCT,kNN,ind_span,False,False,OoD Test,OoD Test,Synthetic,-1,0.8668442077230359,0.8653846153846154,0.8661144115538257
CCT,kNN,ind_span,False,False,OoD Test,OoD Test,Temporal,-1,1.0,0.9807692307692307,0.9903846153846154
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Val,Unbiased,-1,0.7933491686460807,0.24423963133640558,0.5187943999912432
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Val,Class,-1,0.72,0.26279069767441865,0.4913953488372093
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Val,Synthetic,-1,1.0,0.3077830188679245,0.6538915094339622
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Val,Temporal,-1,0.7619047619047619,0.25,0.5059523809523809
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Test,Unbiased,-1,0.7953488372093023,0.2564705882352941,0.5259097127222983
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Test,Class,-1,0.6899038461538461,0.2574031890660592,0.47365351760995267
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Test,Synthetic,-1,0.5384615384615384,0.29453681710213775,0.4164991777818381
CCT,GradNorm,val_optimal,True,True,OoD Val,OoD Test,Temporal,-1,0.7990430622009569,0.23529411764705888,0.5171685899240079
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Val,Unbiased,-1,0.7862232779097387,0.26497695852534564,0.5256001182175422
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Val,Class,-1,0.7129411764705882,0.27209302325581397,0.4925170998632011
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Val,Synthetic,-1,1.0,0.3089622641509434,0.6544811320754718
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Val,Temporal,-1,0.7532467532467533,0.2628205128205128,0.508033633033633
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Test,Unbiased,-1,0.7883720930232558,0.2635294117647059,0.5259507523939808
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Test,Class,-1,0.6899038461538461,0.26423690205011385,0.47707037410198
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Test,Synthetic,-1,0.5384615384615384,0.2992874109263658,0.4188744746939521
CCT,GradNorm,val_optimal,True,True,OoD Test,OoD Test,Temporal,-1,0.7894736842105263,0.24148606811145512,0.5154798761609907
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Val,Unbiased,-1,0.09501187648456057,0.9170506912442397,0.5060312838644001
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Val,Class,-1,0.2847058823529412,0.6767441860465117,0.48072503419972645
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Val,Synthetic,-1,0.42857142857142855,0.5106132075471699,0.46959231805929924
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Val,Temporal,-1,0.10822510822510822,0.9134615384615384,0.5108433233433234
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Test,Unbiased,-1,0.10930232558139535,0.8988235294117647,0.50406292749658
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Test,Class,-1,0.28365384615384615,0.6697038724373576,0.4766788592956019
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Test,Synthetic,-1,0.6923076923076923,0.5391923990498813,0.6157500456787868
CCT,GradNorm,ind_span,True,True,OoD Val,OoD Test,Temporal,-1,0.09090909090909091,0.9071207430340558,0.49901491697157335
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Val,Unbiased,-1,0.09501187648456057,0.9170506912442397,0.5060312838644001
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Val,Class,-1,0.2847058823529412,0.6767441860465117,0.48072503419972645
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Val,Synthetic,-1,0.42857142857142855,0.5106132075471699,0.46959231805929924
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Val,Temporal,-1,0.10822510822510822,0.9134615384615384,0.5108433233433234
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Test,Unbiased,-1,0.10930232558139535,0.8988235294117647,0.50406292749658
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Test,Class,-1,0.28365384615384615,0.6697038724373576,0.4766788592956019
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Test,Synthetic,-1,0.6923076923076923,0.5391923990498813,0.6157500456787868
CCT,GradNorm,ind_span,True,True,OoD Test,OoD Test,Temporal,-1,0.09090909090909091,0.9071207430340558,0.49901491697157335
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Val,Unbiased,-1,0.8042609853528628,0.4423076923076923,0.6232843388302776
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Val,Class,-1,0.72,0.26279069767441865,0.4913953488372093
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Val,Synthetic,-1,1.0,0.3077830188679245,0.6538915094339622
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Val,Temporal,-1,0.7619047619047619,0.25,0.5059523809523809
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Test,Unbiased,-1,0.7953488372093023,0.2564705882352941,0.5259097127222983
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Test,Class,-1,0.6899038461538461,0.2574031890660592,0.47365351760995267
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Test,Synthetic,-1,0.5384615384615384,0.29453681710213775,0.4164991777818381
CCT,GradNorm,val_optimal,True,False,OoD Val,OoD Test,Temporal,-1,0.7990430622009569,0.23529411764705888,0.5171685899240079
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Val,Unbiased,-1,0.7909454061251664,0.46153846153846156,0.6262419338318139
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Val,Class,-1,0.7129411764705882,0.27209302325581397,0.4925170998632011
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Val,Synthetic,-1,1.0,0.3089622641509434,0.6544811320754718
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Val,Temporal,-1,0.7532467532467533,0.2628205128205128,0.508033633033633
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Test,Unbiased,-1,0.7883720930232558,0.2635294117647059,0.5259507523939808
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Test,Class,-1,0.6899038461538461,0.26423690205011385,0.47707037410198
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Test,Synthetic,-1,0.5384615384615384,0.2992874109263658,0.4188744746939521
CCT,GradNorm,val_optimal,True,False,OoD Test,OoD Test,Temporal,-1,0.7894736842105263,0.24148606811145512,0.5154798761609907
CCT,GradNorm,ind_span,True,False,OoD Val,OoD Val,Unbiased,-1,0.09587217043941411,0.9615384615384616,0.5287053159889379
CCT,GradNorm,ind_span,True,False,OoD Val,OoD Val,Class,-1,0.2847058823529412,0.6767441860465117,0.48072503419972645
CCT,GradNorm,ind_span,True,False,OoD Val,OoD Val,Synthetic,-1,0.42857142857142855,0.5106132075471699,0.46959231805929924
CCT,GradNorm,ind_span,True,False,OoD Val,OoD Val,Temporal,-1,0.10822510822510822,0.9134615384615384,0.5108433233433234
