Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
NICO,kNN,val_optimal,True,True,outdoor,ind_val,hue_0.25,ind_test,hue,0.25,0.7732394366197183,0.4535266974291364,0.6133830670244274
NICO,kNN,val_optimal,True,True,outdoor,ind_val,outdoor,ind_test,ind_test,InD,0.8323897300855826,0.23118532455315144,0.5317875273193671
NICO,kNN,val_optimal,True,True,outdoor,ind_val,water,ind_test,ind_test,InD,0.8546005021414858,0.22168141592920354,0.5381409590353446
NICO,kNN,val_optimal,True,True,outdoor,ind_val,rock,ind_test,ind_test,InD,0.8530576755868998,0.2431327322289788,0.5480952039079393
NICO,kNN,val_optimal,True,True,outdoor,ind_val,grass,ind_test,ind_test,InD,0.8731401722787784,0.26973584905660375,0.5714380106676911
NICO,kNN,val_optimal,True,True,outdoor,ind_val,autumn,ind_test,ind_test,InD,0.8512325461127391,0.24423963133640558,0.5477360887245724
NICO,kNN,val_optimal,True,True,outdoor,ind_val,multnoise_0.25,ind_test,ind_test,InD,0.910333048676345,0.4943645549941702,0.7023488018352576
NICO,kNN,val_optimal,True,True,outdoor,ind_val,contrast_0.25,ind_test,ind_test,InD,0.46360153256704983,0.546655182314097,0.5051283574405734
NICO,kNN,val_optimal,True,True,outdoor,ind_val,noise_0.25,ind_test,ind_test,InD,0.9319571865443425,0.5213464696223317,0.7266518280833371
NICO,kNN,val_optimal,True,True,outdoor,ind_val,smear_0.25,ind_test,ind_test,InD,0.49070631970260226,0.5556834532374101,0.5231948864700062
NICO,kNN,val_optimal,True,True,outdoor,ind_val,brightness_0.25,ind_test,ind_test,InD,0.45849802371541504,0.5631624176453738,0.5108302206803944
NICO,kNN,val_optimal,True,True,outdoor,ind_val,saltpepper_0.25,ind_test,ind_test,InD,0.9375,0.5436643835616438,0.740582191780822
NICO,kNN,val_optimal,True,True,water,ind_val,hue_0.25,ind_test,hue,0.25,0.7788732394366197,0.4350692155570204,0.60697122749682
NICO,kNN,val_optimal,True,True,water,ind_val,outdoor,ind_test,ind_test,InD,0.854476629361422,0.21127312637190343,0.5328748778666628
NICO,kNN,val_optimal,True,True,water,ind_val,water,ind_test,ind_test,InD,0.8762368926303352,0.20150442477876107,0.5388706587045482
NICO,kNN,val_optimal,True,True,water,ind_val,rock,ind_test,ind_test,InD,0.8739735291276205,0.2230027259383519,0.5484881275329863
NICO,kNN,val_optimal,True,True,water,ind_val,grass,ind_test,ind_test,InD,0.8907951875845376,0.2517735849056604,0.5712843862450989
NICO,kNN,val_optimal,True,True,water,ind_val,autumn,ind_test,ind_test,InD,0.8740303395966212,0.22402597402597402,0.5490281568112976
NICO,kNN,val_optimal,True,True,water,ind_val,multnoise_0.25,ind_test,ind_test,InD,0.9154568744662681,0.47609794014768747,0.6957774073069778
NICO,kNN,val_optimal,True,True,water,ind_val,contrast_0.25,ind_test,ind_test,InD,0.4789272030651341,0.52885443583118,0.5038908194481571
NICO,kNN,val_optimal,True,True,water,ind_val,noise_0.25,ind_test,ind_test,InD,0.9334862385321101,0.5024630541871922,0.7179746463596511
NICO,kNN,val_optimal,True,True,water,ind_val,smear_0.25,ind_test,ind_test,InD,0.516728624535316,0.5326618705035971,0.5246952475194566
NICO,kNN,val_optimal,True,True,water,ind_val,brightness_0.25,ind_test,ind_test,InD,0.4782608695652174,0.5468347178458894,0.5125477937055534
NICO,kNN,val_optimal,True,True,water,ind_val,saltpepper_0.25,ind_test,ind_test,InD,0.9389204545454546,0.523972602739726,0.7314465286425903
NICO,kNN,val_optimal,True,True,rock,ind_val,hue_0.25,ind_test,hue,0.25,0.7845070422535211,0.43210283454185894,0.60830493839769
NICO,kNN,val_optimal,True,True,rock,ind_val,outdoor,ind_test,ind_test,InD,0.8579986833443055,0.20821574161179057,0.533107212478048
NICO,kNN,val_optimal,True,True,rock,ind_val,water,ind_test,ind_test,InD,0.8795229655885394,0.19805309734513277,0.5387880314668361
NICO,kNN,val_optimal,True,True,rock,ind_val,rock,ind_test,ind_test,InD,0.8778378900589315,0.22069616271755088,0.5492670263882412
NICO,kNN,val_optimal,True,True,rock,ind_val,grass,ind_test,ind_test,InD,0.894283476898982,0.24905660377358485,0.5716700403362834
NICO,kNN,val_optimal,True,True,rock,ind_val,autumn,ind_test,ind_test,InD,0.8774349250129289,0.22077922077922074,0.5491070728960747
