Dataset,feature_name,OoD Val Fold,OoD Test Fold,tpr,tnr,ba,bias,k,batch_size
OfficeHome,rabanser,Art,Art,0.7166666666666667,0.6296296296296297,0.6731481481481482,Unbiased,0,8
OfficeHome,rabanser,Art,Art,0.7166666666666667,0.4444444444444444,0.5805555555555555,Class,0,8
OfficeHome,rabanser,Art,Art,0.7166666666666667,0.37037037037037035,0.5435185185185185,Synthetic,0,8
OfficeHome,rabanser,Art,Art,0.7166666666666667,0.40740740740740744,0.5620370370370371,Temporal,0,8
OfficeHome,rabanser,Art,Clipart,0.8703703703703703,0.6296296296296297,0.75,Unbiased,0,8
OfficeHome,rabanser,Art,Clipart,0.8703703703703703,0.4444444444444444,0.6574074074074074,Class,0,8
OfficeHome,rabanser,Art,Clipart,0.8703703703703703,0.37037037037037035,0.6203703703703703,Synthetic,0,8
OfficeHome,rabanser,Art,Clipart,0.8703703703703703,0.40740740740740744,0.6388888888888888,Temporal,0,8
OfficeHome,rabanser,Art,Product,0.7037037037037037,0.6296296296296297,0.6666666666666667,Unbiased,0,8
OfficeHome,rabanser,Art,Product,0.7037037037037037,0.4444444444444444,0.5740740740740741,Class,0,8
OfficeHome,rabanser,Art,Product,0.7037037037037037,0.37037037037037035,0.537037037037037,Synthetic,0,8
OfficeHome,rabanser,Art,Product,0.7037037037037037,0.40740740740740744,0.5555555555555556,Temporal,0,8
OfficeHome,rabanser,Clipart,Art,0.7166666666666667,0.6296296296296297,0.6731481481481482,Unbiased,0,8
OfficeHome,rabanser,Clipart,Art,0.7166666666666667,0.4444444444444444,0.5805555555555555,Class,0,8
OfficeHome,rabanser,Clipart,Art,0.7166666666666667,0.37037037037037035,0.5435185185185185,Synthetic,0,8
OfficeHome,rabanser,Clipart,Art,0.7166666666666667,0.40740740740740744,0.5620370370370371,Temporal,0,8
OfficeHome,rabanser,Clipart,Clipart,0.8703703703703703,0.6296296296296297,0.75,Unbiased,0,8
OfficeHome,rabanser,Clipart,Clipart,0.8703703703703703,0.4444444444444444,0.6574074074074074,Class,0,8
OfficeHome,rabanser,Clipart,Clipart,0.8703703703703703,0.37037037037037035,0.6203703703703703,Synthetic,0,8
OfficeHome,rabanser,Clipart,Clipart,0.8703703703703703,0.40740740740740744,0.6388888888888888,Temporal,0,8
OfficeHome,rabanser,Clipart,Product,0.7037037037037037,0.6296296296296297,0.6666666666666667,Unbiased,0,8
OfficeHome,rabanser,Clipart,Product,0.7037037037037037,0.4444444444444444,0.5740740740740741,Class,0,8
