Dataset,feature_name,Threshold Method,OoD==f(x)=y,Performance Calibrated,OoD Val Fold,InD Val Fold,OoD Test Fold,InD Test Fold,Shift,Shift Intensity,tpr,tnr,ba
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,saltpepper_0.25,ind_test,saltpepper,0.25,0.8742547425474255,0.8109310454401017,0.8425928939937637
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,noise_0.25,ind_test,noise,0.25,0.855,0.7523584905660378,0.8036792452830188
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,brightness_0.25,ind_test,brightness,0.25,0.5475578406169666,0.6701471286188894,0.608852484617928
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,multnoise_0.25,ind_test,multnoise,0.25,0.8432934926958832,0.7323580034423408,0.787825748069112
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,contrast_0.25,ind_test,contrast,0.25,0.1875,0.8392543859649123,0.5133771929824562
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,smear_0.25,ind_test,smear,0.25,0.3902439024390244,0.6918591612469164,0.5410515318429704
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,OoD Val,ind_test,ind_test,InD,0.9309752340324683,0.28210265216561725,0.6065389430990428
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,OoD Test,ind_test,ind_test,InD,0.9312153719203112,0.2830479122570714,0.6071316420886913
CCT,kNN,val_optimal,True,True,OoD Val,ind_val,hue_0.25,ind_test,ind_test,InD,0.3558139534883721,0.760164569215876,0.557989261352124
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,saltpepper_0.25,ind_test,saltpepper,0.25,0.867750677506775,0.8525579917381634,0.8601543346224692
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,noise_0.25,ind_test,noise,0.25,0.8475,0.7909787735849056,0.8192393867924528
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,brightness_0.25,ind_test,brightness,0.25,0.4781491002570694,0.7275747508305648,0.6028619255438171
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,multnoise_0.25,ind_test,multnoise,0.25,0.8346613545816733,0.7699368904188182,0.8022991225002458
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,contrast_0.25,ind_test,contrast,0.25,0.15046296296296297,0.8820175438596491,0.5162402534113061
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,smear_0.25,ind_test,smear,0.25,0.29831144465290804,0.7737160798385289,0.5360137622457184
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,OoD Val,ind_test,ind_test,InD,0.8898566180827112,0.3225529479107041,0.6062047829967077
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,OoD Test,ind_test,ind_test,InD,0.8911352115996699,0.323552049259188,0.607343630429429
CCT,kNN,val_optimal,True,True,OoD Test,ind_val,hue_0.25,ind_test,ind_test,InD,0.32558139534883723,0.8015488867376573,0.5635651410432473
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,saltpepper_0.25,ind_val,saltpepper,0.25,0.8200100553041729,0.8155178155178155,0.8177639354109942
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,noise_0.25,ind_val,noise,0.25,0.7947247706422018,0.7540024630541872,0.7743636168481944
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,brightness_0.25,ind_val,brightness,0.25,0.48156182212581344,0.6685503685503685,0.575056095338091
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,multnoise_0.25,ind_val,multnoise,0.25,0.7806060606060606,0.7330939557151406,0.7568500081606007
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,contrast_0.25,ind_val,contrast,0.25,0.171875,0.8432971014492754,0.5075860507246377
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,smear_0.25,ind_val,smear,0.25,0.33382570162481534,0.6910776361529548,0.512451668888885
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,OoD Val,ind_val,ind_val,InD,0.9241569733286336,0.2760688721222674,0.6001129227254505
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,OoD Test,ind_val,ind_val,InD,0.9244301578024547,0.2769756097560976,0.6007028837792762
CCT,kNN,val_optimal,True,True,OoD Val,ind_test,hue_0.25,ind_val,ind_val,InD,0.32270916334661354,0.7617853560682046,0.5422472597074091
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,saltpepper_0.25,ind_val,saltpepper,0.25,0.8104575163398693,0.8501498501498501,0.8303036832448597
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,noise_0.25,ind_val,noise,0.25,0.7838302752293578,0.7860221674876847,0.7849262213585213
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,brightness_0.25,ind_val,brightness,0.25,0.4154013015184382,0.7213759213759214,0.5683886114471798
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,multnoise_0.25,ind_val,multnoise,0.25,0.7684848484848484,0.7642130460801915,0.76634894728252
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,contrast_0.25,ind_val,contrast,0.25,0.13194444444444445,0.8813405797101449,0.5066425120772947
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,smear_0.25,ind_val,smear,0.25,0.2511078286558346,0.7694090382387022,0.5102584334472684
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,OoD Val,ind_val,ind_val,InD,0.8829749735636235,0.3144708841168504,0.5987229288402369
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,OoD Test,ind_val,ind_val,InD,0.8842781998831093,0.3154146341463414,0.5998464170147253
CCT,kNN,val_optimal,True,True,OoD Test,ind_test,hue_0.25,ind_val,ind_val,InD,0.2898406374501992,0.7978936810431294,0.5438671592466643
CCT,kNN,ind_span,True,True,OoD Val,ind_val,saltpepper_0.25,ind_test,saltpepper,0.25,0.389159891598916,0.9761677788369876,0.6826638352179518
CCT,kNN,ind_span,True,True,OoD Val,ind_val,noise_0.25,ind_test,noise,0.25,0.57875,0.9212853773584906,0.7500176886792453
CCT,kNN,ind_span,True,True,OoD Val,ind_val,brightness_0.25,ind_test,brightness,0.25,0.060411311053984576,0.9639297579496915,0.512170534501838
CCT,kNN,ind_span,True,True,OoD Val,ind_val,multnoise_0.25,ind_test,multnoise,0.25,0.4156706507304117,0.9254159495123351,0.6705433001213734
CCT,kNN,ind_span,True,True,OoD Val,ind_val,contrast_0.25,ind_test,contrast,0.25,0.011574074074074073,0.9918859649122806,0.5017300194931774
CCT,kNN,ind_span,True,True,OoD Val,ind_val,smear_0.25,ind_test,smear,0.25,0.013133208255159476,0.9921507064364207,0.5026419573457901
CCT,kNN,ind_span,True,True,OoD Val,ind_val,OoD Val,ind_test,ind_test,InD,0.07186870482284631,0.944953253195955,0.5084109790094007
CCT,kNN,ind_span,True,True,OoD Val,ind_val,OoD Test,ind_test,ind_test,InD,0.07267476128728044,0.9435251106407543,0.5080999359640174
CCT,kNN,ind_span,True,True,OoD Val,ind_val,hue_0.25,ind_test,ind_test,InD,0.17093023255813952,0.9276379477250726,0.5492840901416061
CCT,kNN,ind_span,True,True,OoD Test,ind_val,saltpepper_0.25,ind_test,saltpepper,0.25,0.389159891598916,0.9761677788369876,0.6826638352179518
CCT,kNN,ind_span,True,True,OoD Test,ind_val,noise_0.25,ind_test,noise,0.25,0.57875,0.9212853773584906,0.7500176886792453
CCT,kNN,ind_span,True,True,OoD Test,ind_val,brightness_0.25,ind_test,brightness,0.25,0.060411311053984576,0.9639297579496915,0.512170534501838
CCT,kNN,ind_span,True,True,OoD Test,ind_val,multnoise_0.25,ind_test,multnoise,0.25,0.4156706507304117,0.9254159495123351,0.6705433001213734
CCT,kNN,ind_span,True,True,OoD Test,ind_val,contrast_0.25,ind_test,contrast,0.25,0.011574074074074073,0.9918859649122806,0.5017300194931774
CCT,kNN,ind_span,True,True,OoD Test,ind_val,smear_0.25,ind_test,smear,0.25,0.013133208255159476,0.9921507064364207,0.5026419573457901
CCT,kNN,ind_span,True,True,OoD Test,ind_val,OoD Val,ind_test,ind_test,InD,0.07186870482284631,0.944953253195955,0.5084109790094007
CCT,kNN,ind_span,True,True,OoD Test,ind_val,OoD Test,ind_test,ind_test,InD,0.07267476128728044,0.9435251106407543,0.5080999359640174
CCT,kNN,ind_span,True,True,OoD Test,ind_val,hue_0.25,ind_test,ind_test,InD,0.17093023255813952,0.9276379477250726,0.5492840901416061
CCT,kNN,ind_span,True,True,OoD Val,ind_test,saltpepper_0.25,ind_val,saltpepper,0.25,0.5012569130216189,0.9623709623709624,0.7318139376962907
CCT,kNN,ind_span,True,True,OoD Val,ind_test,noise_0.25,ind_val,noise,0.25,0.5619266055045872,0.9082512315270936,0.7350889185158405
CCT,kNN,ind_span,True,True,OoD Val,ind_test,brightness_0.25,ind_val,brightness,0.25,0.06616052060737528,0.9501228501228501,0.5081416853651127
