Dataset,Method,mean,median,std,count,MAE
CCT,ATC-MC,0.09063764498247096,0.010111177884615352,0.1465894808710158,12,0.1122973004311889
CCT,ATC-NE,0.1703076327005752,0.08768028846153852,0.2256627918173117,13,0.1871160646532379
CCT,Ours,-0.04133629866381885,-0.0096719910419062,0.15928910334770946,404,0.07697665399834237
NICO,ATC-MC,0.06508649195360065,0.0016025641025640969,0.09420554861960664,15,0.07969386374847245
NICO,ATC-NE,0.3886329524220265,0.21543469551282046,0.37751132726257597,16,0.3928897633194624
NICO,Ours,-0.008533752120042681,-0.008735251893962029,0.13402463102494666,1010,0.08970473942846895
Office31,ATC-MC,0.055041340827631145,0.021607142857142866,0.08039591376970241,12,0.057213959875250193
Office31,ATC-NE,0.16223133553274682,0.051428571428571435,0.2739401257093855,12,0.19684443077084204
Office31,Ours,-0.020102113883470944,-0.018868024108161095,0.10387888047265166,404,0.07363690082670087
OfficeHome,ATC-MC,0.05980801605801606,0.03240740740740733,0.054255322762228546,13,0.05980801605801606
OfficeHome,ATC-NE,0.1271945646945647,0.09832175925925926,0.12638613647677496,14,0.13475078162578163
OfficeHome,Ours,0.018266232628009922,0.0036053582372688533,0.11134537578907472,606,0.09359251438629944
Polyp,ATC-NE,-0.07353133434547908,-0.04166666666666663,0.2041874439506213,13,0.14115953947368423
Polyp,Ours,-0.06156336241749623,-0.09951752014020815,0.24918465732128084,606,0.20563376463382277
