,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,% Accuracy Error,ba,rate,test_set,val_set,Dataset
0,Base Tree,350.5,5286.65610609858,4452.315789473684,0.23743342522974104,0.3742105263157895,0.5013533834586466,0.0,0.5111300751879699,0.3680555555555556,0.1125,0.09722222222222224,0.5,0.5,0.5111300751879699,0.13677710108604843,0.3450055396709671,0.5,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3585.062280538335,3102.4882205513786,0.24277351029883965,0.3742105263157895,0.5013533834586466,0.0,0.5111300751879699,0.3680555555555556,0.1125,0.09722222222222224,0.5,0.5,0.5111300751879699,0.13143701601694982,0.330272947997584,0.5,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,5176.330140350878,4452.315789473684,0.25551964912280706,0.3742105263157895,0.44764411027568923,0.0,0.44035789473684217,0.3680555555555556,0.1125,0.09722222222222224,0.55,0.55,0.44035789473684217,0.12015797827903091,0.3004797981585873,0.55,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3501.685592635531,3204.2160401002507,0.26485679549723723,0.3742105263157895,0.44764411027568923,0.0,0.44035789473684217,0.3680555555555556,0.1125,0.09722222222222224,0.55,0.55,0.44035789473684217,0.11274263948749892,0.2816547612514837,0.55,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4917.018936507936,4452.315789473684,0.2980296825396826,0.3742105263157895,0.4038345864661654,0.0,0.27401428571428565,0.3680555555555556,0.1125,0.09722222222222224,0.6,0.6,0.27401428571428565,0.0915564940128098,0.22440389881605144,0.6,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3461.054608915516,3360.2170426065163,0.3115061027797909,0.3742105263157895,0.4038345864661654,0.0,0.27401428571428565,0.3680555555555556,0.1125,0.09722222222222224,0.6,0.6,0.27401428571428565,0.08480833697473439,0.2107079618122163,0.6,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4784.0830911538105,4452.315789473684,0.3198224440731458,0.3742105263157895,0.36213032581453636,0.0,0.1887382623224729,0.3680555555555556,0.1125,0.09722222222222224,0.65,0.65,0.1887382623224729,0.08004067483523623,0.2006558871287153,0.65,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3538.304765089781,3477.966917293233,0.32913420944228505,0.3742105263157895,0.36213032581453636,0.0,0.1887382623224729,0.3680555555555556,0.1125,0.09722222222222224,0.65,0.65,0.1887382623224729,0.07690017956820397,0.19607213111813146,0.65,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4759.998778752436,4452.315789473684,0.3237706920077973,0.3742105263157895,0.3168922305764411,0.0,0.17328859649122805,0.3680555555555556,0.1125,0.09722222222222224,0.7,0.7,0.17328859649122805,0.0796456961849067,0.20168642269823134,0.7,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3603.6828979994452,3557.7714285714287,0.3338116611766016,0.3742105263157895,0.3168922305764411,0.0,0.17328859649122805,0.3680555555555556,0.1125,0.09722222222222224,0.7,0.7,0.17328859649122805,0.07656318294541578,0.19767918499415163,0.7,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4696.596345307713,4452.315789473684,0.33416453355611253,0.3742105263157895,0.2691228070175439,0.0,0.1326170426065163,0.3680555555555556,0.1125,0.09722222222222224,0.75,0.75,0.1326170426065163,0.07121749930381507,0.18176073253946337,0.75,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3722.4382599609044,3700.379949874687,0.33988673748817033,0.3742105263157895,0.2691228070175439,0.0,0.1326170426065163,0.3680555555555556,0.1125,0.09722222222222224,0.75,0.75,0.1326170426065163,0.06959060744018442,0.17988206059238937,0.75,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4601.38417850181,4452.315789473684,0.34977308549150654,0.3742105263157895,0.22814536340852132,0.0,0.07154010025062664,0.3680555555555556,0.1125,0.09722222222222224,0.8,0.8,0.07154010025062664,0.064762447786132,0.17092079320842693,0.8,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3875.6478031304705,3795.319799498747,0.35055416627593017,0.3742105263157895,0.22814536340852132,0.0,0.07154010025062664,0.3680555555555556,0.1125,0.09722222222222224,0.8,0.8,0.07154010025062664,0.064655326374801,0.1709995562935865,0.8,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4588.573884870907,4452.315789473684,0.3518731336277201,0.3742105263157895,0.1810275689223058,0.0,0.06332252058718234,0.3680555555555556,0.1125,0.09722222222222224,0.8500000000000001,0.8500000000000001,0.06332252058718234,0.06407699566376257,0.16995178033434374,0.8500000000000001,0.0,Clipart,Art,OfficeHome
1,Detector Tree,350.5,3992.0926709921423,3934.595488721805,0.3557377387457633,0.3742105263157895,0.1810275689223058,0.0,0.06332252058718234,0.3680555555555556,0.1125,0.09722222222222224,0.8500000000000001,0.8500000000000001,0.06332252058718234,0.0636266360292731,0.1705440282525242,0.8500000000000001,0.0,Clipart,Art,OfficeHome
0,Base Tree,350.5,4552.371383458646,4452.315789473684,0.357807969924812,0.3742105263157895,0.12020050125313284,0.0,0.04009924812030077,0.3680555555555556,0.1125,0.09722222222222224,0.9,0.9,0.04009924812030077,0.06360995683653578,0.17208822771962232,0.9,0.0,Clipart,Art,OfficeHome
