,Tree,t,Risk Estimate,E[f(x)=y],Accuracy,ood_pred,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,1384.1853530534347,0.8771827290076338,0.9913533834586467,0.0,0.12281727099236636,1.0,0.0,0.0,0.12281727099236636,0.11417065445101289,cross_entropy,1.0,1.0,1.0,0.0,outdoor,outdoor
1,Detector Tree,350.5,1006.4727926355656,0.7694495400692796,0.9913533834586467,0.0,0.12281727099236636,1.0,0.0,0.0,0.12281727099236636,0.22190384338936706,cross_entropy,1.0,1.0,1.0,0.0,outdoor,outdoor
0,Base Tree,350.5,1384.1853530534347,0.8771827290076338,0.7695238095238096,0.0,0.12281727099236636,1.0,0.0,0.0,0.022817270992366353,0.10765891948382418,cross_entropy,1.0,1.0,1.0,0.1,outdoor,outdoor
1,Detector Tree,350.5,1006.4727926355656,0.7694495400692796,0.7695238095238096,0.0,0.12281727099236636,1.0,0.0,0.0,0.022817270992366353,0.015572187699330468,cross_entropy,1.0,1.0,1.0,0.1,outdoor,outdoor
0,Base Tree,350.5,1384.1853530534347,0.8771827290076338,0.11538847117794486,0.0,0.12281727099236636,1.0,0.0,0.0,0.07718272900763365,0.7617942578296889,cross_entropy,1.0,1.0,1.0,0.2,outdoor,outdoor
1,Detector Tree,350.5,1006.4727926355656,0.7694495400692796,0.11538847117794486,0.0,0.12281727099236636,1.0,0.0,0.0,0.07718272900763365,0.6540610688913346,cross_entropy,1.0,1.0,1.0,0.2,outdoor,outdoor
0,Base Tree,350.5,1384.1853530534347,0.8771827290076338,0.0,0.0,0.12281727099236636,1.0,0.0,0.0,0.17718272900763368,0.8771827290076338,cross_entropy,1.0,1.0,1.0,0.30000000000000004,outdoor,outdoor
1,Detector Tree,350.5,1006.4727926355656,0.7694495400692796,0.0,0.0,0.12281727099236636,1.0,0.0,0.0,0.17718272900763368,0.7694495400692796,cross_entropy,1.0,1.0,1.0,0.30000000000000004,outdoor,outdoor
0,Base Tree,350.5,1716.864698353111,0.8226451314175227,0.0,0.0719047619047619,0.17735486858247718,1.0,0.0,0.0,0.22264513141752285,0.8226451314175227,cross_entropy,1.0,1.0,1.0,0.4,outdoor,outdoor
1,Detector Tree,350.5,1100.691801822095,0.721610101381666,0.0,0.0719047619047619,0.17735486858247718,1.0,0.0,0.0,0.22264513141752285,0.721610101381666,cross_entropy,1.0,1.0,1.0,0.4,outdoor,outdoor
0,Base Tree,350.5,3403.5152222080724,0.5461450455396603,0.0,0.4464661654135338,0.45385495446033974,1.0,0.0,0.0,0.05370080021738509,0.5461450455396603,cross_entropy,1.0,1.0,1.0,0.5,outdoor,outdoor
1,Detector Tree,350.5,1578.372618039902,0.4790690014804775,0.0,0.4464661654135338,0.45385495446033974,1.0,0.0,0.0,0.05370080021738509,0.4790690014804775,cross_entropy,1.0,1.0,1.0,0.5,outdoor,outdoor
0,Base Tree,350.5,5404.95524835347,0.2180401232207427,0.0,0.8716791979949875,0.7819598767792574,1.0,0.0,0.0,0.1819598767792572,0.2180401232207427,cross_entropy,1.0,1.0,1.0,0.6000000000000001,outdoor,outdoor
1,Detector Tree,350.5,2145.2058130487894,0.19126103031993177,0.0,0.8716791979949875,0.7819598767792574,1.0,0.0,0.0,0.1819598767792572,0.19126103031993177,cross_entropy,1.0,1.0,1.0,0.6000000000000001,outdoor,outdoor
0,Base Tree,350.5,5934.151843475578,0.13128658303679042,0.0,0.9874686716791979,0.8687134169632096,1.0,0.0,0.0,0.16871341696320952,0.13128658303679042,cross_entropy,1.0,1.0,1.0,0.7000000000000001,outdoor,outdoor
1,Detector Tree,350.5,2295.08099935582,0.11516232319029912,0.0,0.9874686716791979,0.8687134169632096,1.0,0.0,0.0,0.16871341696320952,0.11516232319029912,cross_entropy,1.0,1.0,1.0,0.7000000000000001,outdoor,outdoor
0,Base Tree,350.5,5985.8146469465655,0.12281727099236639,0.0,1.0,0.8771827290076338,1.0,0.0,0.0,0.07718272900763368,0.12281727099236639,cross_entropy,1.0,1.0,1.0,0.8,outdoor,outdoor
