,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,% Accuracy Error,ba,rate,test_set,val_set,Dataset
0,Base Tree,350.5,4786.194052936964,2973.1804511278197,0.31947638476443213,0.6166917293233083,0.5302005012531329,0.0,0.5328310776942357,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.5,0.5,0.5328310776942357,0.29721534455887616,0.48023438473762686,0.5,0.0,dslr,webcam,Office31
1,Detector Tree,350.5,3318.880685688719,2391.4636591478697,0.31365542325237783,0.6166917293233083,0.5302005012531329,0.0,0.5328310776942357,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.5,0.5,0.5328310776942357,0.30303630607093046,0.48970288505928883,0.5,0.0,dslr,webcam,Office31
0,Base Tree,350.5,4391.148036583054,2973.1804511278197,0.3842380267896632,0.6166917293233083,0.473734335839599,0.0,0.38409022556390987,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.55,0.55,0.38409022556390987,0.23245370253364506,0.37417030033097554,0.55,0.0,dslr,webcam,Office31
1,Detector Tree,350.5,3113.7784819537324,2471.787969924812,0.37195023158440005,0.6166917293233083,0.473734335839599,0.0,0.38409022556390987,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.55,0.55,0.38409022556390987,0.24474149773890821,0.39417623605091345,0.55,0.0,dslr,webcam,Office31
0,Base Tree,350.5,3798.3427070696694,2973.1804511278197,0.48141922834923445,0.6166917293233083,0.4184210526315789,0.0,0.16088997493734328,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.6,0.6,0.16088997493734328,0.1352725009740738,0.21715248900524403,0.6,0.0,dslr,webcam,Office31
1,Detector Tree,350.5,2910.9114382799858,2594.7969924812032,0.4682850158735835,0.6166917293233083,0.4184210526315789,0.0,0.16088997493734328,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.6,0.6,0.16088997493734328,0.14840671344972478,0.23850951774966675,0.6,0.0,dslr,webcam,Office31
0,Base Tree,350.5,3735.630471065619,2973.1804511278197,0.491699922776128,0.6166917293233083,0.36295739348370926,0.0,0.1372778613199666,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.65,0.65,0.1372778613199666,0.12499180654718028,0.1996800968124538,0.65,0.0,dslr,webcam,Office31
1,Detector Tree,350.5,2897.2210727680736,2667.63007518797,0.4884988658741527,0.6166917293233083,0.36295739348370926,0.0,0.1372778613199666,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.65,0.65,0.1372778613199666,0.12819286344915565,0.20489921556779558,0.65,0.0,dslr,webcam,Office31
0,Base Tree,350.5,3667.506629079263,2973.1804511278197,0.5028677657247109,0.6166917293233083,0.31917293233082705,0.0,0.11162819548872174,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.7,0.7,0.11162819548872174,0.1138239635985973,0.1815281703525986,0.7,0.0,dslr,webcam,Office31
1,Detector Tree,350.5,2951.6529645226506,2677.659147869674,0.49402666802667644,0.6166917293233083,0.31917293233082705,0.0,0.11162819548872174,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.7,0.7,0.11162819548872174,0.12266506129663182,0.19591616912629328,0.7,0.0,dslr,webcam,Office31
0,Base Tree,350.5,3653.1842173711584,2973.1804511278197,0.5052157020703019,0.6166917293233083,0.2567919799498747,0.0,0.10623558897243109,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.75,0.75,0.10623558897243109,0.11147602725300643,0.17743657871085206,0.75,0.0,dslr,webcam,Office31
1,Detector Tree,350.5,3020.739440051376,2714.9929824561405,0.49139999815367186,0.6166917293233083,0.2567919799498747,0.0,0.10623558897243109,0.5514705882352942,0.11607142857142858,0.09475806451612905,0.75,0.75,0.10623558897243109,0.1252917311696364,0.19992525659192592,0.75,0.0,dslr,webcam,Office31
