,Tree,t,Risk Estimate,E[f(x)=y],Accuracy,ood_pred,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,1897.70391235644,0.7929993586300919,0.9264912280701755,0.10834586466165415,0.2070006413699082,1.0,0.0,0.0,0.2070006413699082,0.13349186944008362,energy,1.0,0.9784999999999999,0.98925,0.0,webcam,noise
1,Detector Tree,350.5,1168.8260897487994,0.6889726570515564,0.9264912280701755,0.10834586466165415,0.2070006413699082,1.0,0.0,0.0,0.2070006413699082,0.237518571018619,energy,1.0,0.9784999999999999,0.98925,0.0,webcam,noise
0,Base Tree,350.5,1874.5146827232913,0.7968008716847064,0.8957393483709274,0.09822055137844611,0.20319912831529363,1.0,0.0,0.0,0.10319912831529363,0.09893847668622095,energy,1.0,0.9784999999999999,0.98925,0.1,webcam,noise
1,Detector Tree,350.5,1162.1471289577814,0.6922754826106824,0.8957393483709274,0.09822055137844611,0.20319912831529363,1.0,0.0,0.0,0.10319912831529363,0.2034638657602449,energy,1.0,0.9784999999999999,0.98925,0.1,webcam,noise
0,Base Tree,350.5,2255.0760701892086,0.7344137589853756,0.8300751879699247,0.18125313283208022,0.26558624101462436,1.0,0.0,0.0,0.06558624101462436,0.09566142898454918,energy,1.0,0.9784999999999999,0.98925,0.2,webcam,noise
1,Detector Tree,350.5,1271.7564012652529,0.63807239362397,0.8300751879699247,0.18125313283208022,0.26558624101462436,1.0,0.0,0.0,0.06558624101462436,0.19200279434595488,energy,1.0,0.9784999999999999,0.98925,0.2,webcam,noise
0,Base Tree,350.5,2477.4425471990407,0.6979602381640917,0.7807017543859649,0.23335839598997493,0.30203976183590836,1.0,0.0,0.0,0.007650015492026759,0.08305290389435117,energy,1.0,0.9784999999999999,0.98925,0.30000000000000004,webcam,noise
1,Detector Tree,350.5,1335.802383157745,0.6064008937345989,0.7807017543859649,0.23335839598997493,0.30203976183590836,1.0,0.0,0.0,0.007650015492026759,0.17430086065136605,energy,1.0,0.9784999999999999,0.98925,0.30000000000000004,webcam,noise
0,Base Tree,350.5,3271.4675719862844,0.5677922013137239,0.6510025062656641,0.4020050125313283,0.43220779868627607,1.0,0.0,0.0,0.04023991124789995,0.08321030495194029,energy,1.0,0.9784999999999999,0.98925,0.4,webcam,noise
1,Detector Tree,350.5,1564.4974321756813,0.4933084716084208,0.6510025062656641,0.4020050125313283,0.43220779868627607,1.0,0.0,0.0,0.04023991124789995,0.15769403465724335,energy,1.0,0.9784999999999999,0.98925,0.4,webcam,noise
0,Base Tree,350.5,4369.451601255887,0.38779481946624805,0.4926315789473684,0.6461904761904762,0.612205180533752,1.0,0.0,0.0,0.11220518053375196,0.10502839791787161,energy,1.0,0.9784999999999999,0.98925,0.5,webcam,noise
1,Detector Tree,350.5,1880.7387388800958,0.33692338367088176,0.4926315789473684,0.6461904761904762,0.612205180533752,1.0,0.0,0.0,0.11220518053375196,0.15570819527648672,energy,1.0,0.9784999999999999,0.98925,0.5,webcam,noise
0,Base Tree,350.5,4818.104497025531,0.31424516442204403,0.40458646616541355,0.7491729323308272,0.685754835577956,1.0,0.0,0.0,0.08575483557795587,0.09034130174336949,energy,1.0,0.9784999999999999,0.98925,0.6000000000000001,webcam,noise
1,Detector Tree,350.5,2009.9597240972435,0.27302206936393253,0.40458646616541355,0.7491729323308272,0.685754835577956,1.0,0.0,0.0,0.08575483557795587,0.13156439680148105,energy,1.0,0.9784999999999999,0.98925,0.6000000000000001,webcam,noise
0,Base Tree,350.5,5634.132393931257,0.1804700993555316,0.25160401002506266,0.937844611528822,0.8195299006444684,1.0,0.0,0.0,0.11952990064446836,0.07182234879781882,energy,1.0,0.9784999999999999,0.98925,0.7000000000000001,webcam,noise
1,Detector Tree,350.5,2244.992039272528,0.15679579373952435,0.25160401002506266,0.937844611528822,0.8195299006444684,1.0,0.0,0.0,0.11952990064446836,0.0948082162855383,energy,1.0,0.9784999999999999,0.98925,0.7000000000000001,webcam,noise
0,Base Tree,350.5,5815.034999173759,0.15081393456167888,0.1768922305764411,0.9756140350877193,0.8491860654383211,1.0,0.0,0.0,0.04918606543832106,0.03432594880057289,energy,1.0,0.9784999999999999,0.98925,0.8,webcam,noise
1,Detector Tree,350.5,2297.0955988353912,0.13102996375035975,0.1768922305764411,0.9756140350877193,0.8491860654383211,1.0,0.0,0.0,0.04918606543832106,0.048706205790030585,energy,1.0,0.9784999999999999,0.98925,0.8,webcam,noise
0,Base Tree,350.5,5934.793956043956,0.13118131868131866,0.056992481203007525,1.0,0.8688186813186813,1.0,0.0,0.0,0.031181318681318685,0.07418883747831113,energy,1.0,0.9784999999999999,0.98925,0.9,webcam,noise
1,Detector Tree,350.5,2331.5885677680835,0.11397278031034898,0.056992481203007525,1.0,0.8688186813186813,1.0,0.0,0.0,0.031181318681318685,0.057282415382511935,energy,1.0,0.9784999999999999,0.98925,0.9,webcam,noise
0,Base Tree,350.5,5934.793956043956,0.13118131868131866,0.01786967418546366,1.0,0.8688186813186813,1.0,0.0,0.0,0.13118131868131866,0.113311644495855,energy,1.0,0.9784999999999999,0.98925,1.0,webcam,noise
1,Detector Tree,350.5,2331.5885677680835,0.11397278031034898,0.01786967418546366,1.0,0.8688186813186813,1.0,0.0,0.0,0.13118131868131866,0.09610310612488533,energy,1.0,0.9784999999999999,0.98925,1.0,webcam,noise
