,Tree,t,Risk Estimate,E[f(x)=y],Accuracy,ood_pred,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,1374.1874412041388,0.8788217309501412,0.9839097744360902,0.0,0.12117826904985883,1.0,0.0,0.0,0.12117826904985883,0.10508804348594905,knn,0.9995,1.0,0.99975,0.0,OoD Val,noise
1,Detector Tree,350.5,1000.8191400673932,0.7723276347902022,0.9839097744360902,0.0,0.12117826904985883,1.0,0.0,0.0,0.12117826904985883,0.21158213964588804,knn,0.9995,1.0,0.99975,0.0,OoD Val,noise
0,Base Tree,350.5,1413.3878569571855,0.8723954332857072,0.9745614035087719,0.009323308270676692,0.12760456671429274,1.0,0.0,0.0,0.027604566714292726,0.10216597022306464,knn,0.9995,1.0,0.99975,0.1,OoD Val,noise
1,Detector Tree,350.5,1011.8842671997417,0.7666800647531438,0.9745614035087719,0.009323308270676692,0.12760456671429274,1.0,0.0,0.0,0.027604566714292726,0.2078813387556282,knn,0.9995,1.0,0.99975,0.1,OoD Val,noise
0,Base Tree,350.5,1620.0231483989842,0.8385207953444289,0.842406015037594,0.05290726817042606,0.16147920465557117,1.0,0.0,0.0,0.038520795344428864,0.039670944470772435,knn,0.9995,1.0,0.99975,0.2,OoD Val,noise
1,Detector Tree,350.5,1070.2113467959741,0.73691029680228,0.842406015037594,0.05290726817042606,0.16147920465557117,1.0,0.0,0.0,0.038520795344428864,0.10549571823531394,knn,0.9995,1.0,0.99975,0.2,OoD Val,noise
0,Base Tree,350.5,1940.7222326866083,0.7859471749694085,0.6974937343358396,0.12172932330827067,0.2140528250305915,1.0,0.0,0.0,0.08594717496940853,0.08845344063356887,knn,0.9995,1.0,0.99975,0.30000000000000004,OoD Val,noise
1,Detector Tree,350.5,1160.7352882058165,0.690707456741989,0.6974937343358396,0.12172932330827067,0.2140528250305915,1.0,0.0,0.0,0.08594717496940853,0.02647631373241839,knn,0.9995,1.0,0.99975,0.30000000000000004,OoD Val,noise
0,Base Tree,350.5,3065.130033037674,0.6016180273708731,0.33115288220551375,0.3624310776942356,0.3983819726291269,1.0,0.0,0.0,0.02073225013380113,0.27046514516535936,knn,0.9995,1.0,0.99975,0.4,OoD Val,noise
1,Detector Tree,350.5,1478.122617408358,0.5287149961848802,0.33115288220551375,0.3624310776942356,0.3983819726291269,1.0,0.0,0.0,0.02073225013380113,0.19756211397936638,knn,0.9995,1.0,0.99975,0.4,OoD Val,noise
0,Base Tree,350.5,4802.347949450886,0.3168282050080516,0.09523809523809523,0.745062656641604,0.6831717949919484,1.0,0.0,0.0,0.18317179499194838,0.22159010976995636,knn,0.9995,1.0,0.99975,0.5,OoD Val,noise
1,Detector Tree,350.5,1968.4882610485413,0.2784355115390021,0.09523809523809523,0.745062656641604,0.6831717949919484,1.0,0.0,0.0,0.18317179499194838,0.18319741630090688,knn,0.9995,1.0,0.99975,0.5,OoD Val,noise
0,Base Tree,350.5,5444.655385123203,0.2115319040781634,0.060300751879699244,0.8806766917293233,0.7884680959218366,1.0,0.0,0.0,0.1884680959218365,0.15123115219846414,knn,0.9995,1.0,0.99975,0.6000000000000001,OoD Val,noise
1,Detector Tree,350.5,2149.79280328964,0.18589883409315078,0.060300751879699244,0.8806766917293233,0.7884680959218366,1.0,0.0,0.0,0.1884680959218365,0.12559808221345153,knn,0.9995,1.0,0.99975,0.6000000000000001,OoD Val,noise
0,Base Tree,350.5,5920.507868627944,0.13352330022492725,0.018270676691729323,0.9832080200501253,0.8664766997750727,1.0,0.0,0.0,0.1664766997750727,0.11525262353319793,knn,0.9995,1.0,0.99975,0.7000000000000001,OoD Val,noise
1,Detector Tree,350.5,2284.1119967235622,0.11734317782584594,0.018270676691729323,0.9832080200501253,0.8664766997750727,1.0,0.0,0.0,0.1664766997750727,0.09907250113411661,knn,0.9995,1.0,0.99975,0.7000000000000001,OoD Val,noise
0,Base Tree,350.5,5973.574318035801,0.12482388228921305,0.01243107769423559,0.9957393483709274,0.8751761177107868,1.0,0.0,0.0,0.07517611771078692,0.11239280459497746,knn,0.9995,1.0,0.99975,0.8,OoD Val,noise
1,Detector Tree,350.5,2299.0910982937958,0.10969794029732288,0.01243107769423559,0.9957393483709274,0.8751761177107868,1.0,0.0,0.0,0.07517611771078692,0.09726686260308728,knn,0.9995,1.0,0.99975,0.8,OoD Val,noise
0,Base Tree,350.5,5995.812558795862,0.12117826904985872,0.007418546365914787,1.0,0.8788217309501414,1.0,0.0,0.0,0.021178269049858756,0.11375972268394395,knn,0.9995,1.0,0.99975,0.9,OoD Val,noise
1,Detector Tree,350.5,2305.368301136746,0.10649409615993875,0.007418546365914787,1.0,0.8788217309501414,1.0,0.0,0.0,0.021178269049858756,0.09907554979402398,knn,0.9995,1.0,0.99975,0.9,OoD Val,noise
0,Base Tree,350.5,5995.812558795862,0.12117826904985872,0.002506265664160401,1.0,0.8788217309501414,1.0,0.0,0.0,0.12117826904985872,0.11867200338569835,knn,0.9995,1.0,0.99975,1.0,OoD Val,noise
