,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,% Accuracy Error,ba,rate,test_set,val_set,Dataset
0,Base Tree,350.5,3168.485999159401,1062.0,0.5846744263673114,0.9299999999999999,0.48912280701754385,0.0,0.5091518796992481,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.5,0.5,0.5091518796992481,0.34532557363268873,0.3713073226803332,0.5,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,2535.549185377705,1478.787468671679,0.5846044687641238,0.9299999999999999,0.48912280701754385,0.0,0.5091518796992481,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.5,0.5,0.5091518796992481,0.3453955312358763,0.37137974743141855,0.5,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,2907.3986568145315,1062.0,0.6274756300304049,0.9299999999999999,0.4518295739348371,0.0,0.4328263157894737,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.55,0.55,0.4328263157894737,0.3025243699695952,0.32532132560658844,0.55,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,2319.398488173968,1440.3223057644109,0.6269272405112203,0.9299999999999999,0.4518295739348371,0.0,0.4328263157894737,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.55,0.55,0.4328263157894737,0.30307275948877976,0.3259069691667947,0.55,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,2484.3078612298505,1062.0,0.6968347768475655,0.9299999999999999,0.4075689223057644,0.0,0.3091411027568922,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.6,0.6,0.3091411027568922,0.2331652231524345,0.2506565784957286,0.6,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,2046.8110672524547,1416.9007518796993,0.6953748791832594,0.9299999999999999,0.4075689223057644,0.0,0.3091411027568922,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.6,0.6,0.3091411027568922,0.23462512081674067,0.252225429547337,0.6,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,2234.969802220521,1062.0,0.7377098684884391,0.9299999999999999,0.3380701754385965,0.0,0.23625029239766082,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.65,0.65,0.23625029239766082,0.19229013151156085,0.20655637376092684,0.65,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1899.2949915449497,1347.400501253133,0.7373607012728505,0.9299999999999999,0.3380701754385965,0.0,0.23625029239766082,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.65,0.65,0.23625029239766082,0.19263929872714947,0.20693640859057727,0.65,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,2028.1240891850673,1062.0,0.7716190017729397,0.9299999999999999,0.28441102756892234,0.0,0.17578157894736837,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.7,0.7,0.17578157894736837,0.15838099822706028,0.1701201353058705,0.7,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1760.498163488302,1303.6456140350876,0.7724372450693407,0.9299999999999999,0.28441102756892234,0.0,0.17578157894736837,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.7,0.7,0.17578157894736837,0.15756275493065933,0.16924451457464634,0.7,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,1927.5266018121008,1062.0,0.7881103931455572,0.9299999999999999,0.2163659147869674,0.0,0.1463731829573935,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.75,0.75,0.1463731829573935,0.14188960685444277,0.15244508836430407,0.75,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1684.2192079321446,1244.1744360902255,0.7908869106286751,0.9299999999999999,0.2163659147869674,0.0,0.1463731829573935,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.75,0.75,0.1463731829573935,0.13911308937132486,0.14946047754606154,0.75,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,1798.6668497926228,1062.0,0.8092349426569471,0.9299999999999999,0.17486215538847116,0.0,0.1087026733500418,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.8,0.8,0.1087026733500418,0.12076505734305291,0.12971686145607011,0.8,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1622.1382854392318,1222.2817042606516,0.8105539614348073,0.9299999999999999,0.17486215538847116,0.0,0.1087026733500418,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.8,0.8,0.1087026733500418,0.11944603856519274,0.1282998048997452,0.8,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,1687.7118154532013,1062.0,0.8274242925486555,0.9299999999999999,0.1175187969924812,0.0,0.0762663802363051,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.8500000000000001,0.8500000000000001,0.0762663802363051,0.10257570745134449,0.11015957433504574,0.8500000000000001,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1533.550213023606,1189.931829573935,0.8308102252366907,0.9299999999999999,0.1175187969924812,0.0,0.0762663802363051,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.8500000000000001,0.8500000000000001,0.0762663802363051,0.09918977476330944,0.10651940950056396,0.8500000000000001,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,1611.282726947259,1062.0,0.8399536513201215,0.9299999999999999,0.07887218045112782,0.0,0.0539233082706767,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.9,0.9,0.0539233082706767,0.09004634867987855,0.09671700373170361,0.9,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1478.3639993159964,1147.6751879699248,0.8416897399311678,0.9299999999999999,0.07887218045112782,0.0,0.0539233082706767,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.9,0.9,0.0539233082706767,0.08831026006883223,0.09485014951153557,0.9,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,1508.0792252494712,1062.0,0.8568722581558244,0.9299999999999999,0.04310776942355889,0.0,0.023753077137287647,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.95,0.95,0.023753077137287647,0.07312774184417563,0.0785219859373557,0.95,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1420.3352897749671,1104.0426065162908,0.8642125321868562,0.9299999999999999,0.04310776942355889,0.0,0.023753077137287647,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.95,0.95,0.023753077137287647,0.06578746781314379,0.0706284383337706,0.95,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,1426.8269230769229,1062.0,0.8701923076923077,0.9299999999999999,0.0,0.0,0.0,0.8701923076923077,0.3094207723035952,0.3059254327563249,1.0,1.0,0.0,0.059807692307692305,0.06420537525840408,1.0,0.0,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,1373.0999999999997,1062.0,0.879,0.9299999999999999,0.0,0.0,0.0,0.8701923076923077,0.3094207723035952,0.3059254327563249,1.0,1.0,0.0,0.05100000000000001,0.05473368601792564,1.0,0.0,OoD Test,OoD Val,CCT
0,Base Tree,350.5,3254.899557592479,1583.1754385964912,0.5705082692471345,0.844561403508772,0.5356892230576441,0.0931578947368421,0.5344137844611528,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.5,0.5,0.4344137844611529,0.27405313426163735,0.32257342944919337,0.5,0.1,OoD Test,OoD Val,CCT
1,Detector Tree,350.5,2578.7500896369224,1723.7964912280702,0.571108169889169,0.844561403508772,0.5356892230576441,0.0931578947368421,0.5344137844611528,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.5,0.5,0.4344137844611529,0.27345323361960294,0.32184500938806004,0.5,0.1,OoD Test,OoD Val,CCT
0,Base Tree,350.5,2986.274658764216,1583.1754385964912,0.6145451379075056,0.844561403508772,0.4888972431077694,0.0931578947368421,0.45588471177944867,0.8701923076923077,0.3094207723035952,0.3059254327563249,0.55,0.55,0.3558847117794487,0.2300162656012663,0.26872925514152624,0.55,0.1,OoD Test,OoD Val,CCT
