,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,% Accuracy Error,ba,rate,test_set,val_set,Dataset
0,Base Tree,350.5,2816.458474860621,1070.408521303258,0.642383856580226,0.9286215538847117,0.5042857142857143,0.0,0.5058117794486215,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.5,0.5,0.5058117794486215,0.2862376973044857,0.3072019412326093,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,2302.067235061002,1498.9679197994985,0.655578172290017,0.9286215538847117,0.5042857142857143,0.0,0.5058117794486215,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.5,0.5,0.5058117794486215,0.27304338159469466,0.2929912766394021,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
0,Base Tree,350.5,2552.2252388113143,1070.408521303258,0.6857007805227353,0.9286215538847117,0.453609022556391,0.0,0.4345859649122808,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.55,0.55,0.4345859649122808,0.2429207733619764,0.2595850896652235,0.55,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,2097.931547074217,1437.1423558897245,0.6952480362446408,0.9286215538847117,0.453609022556391,0.0,0.4345859649122808,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.55,0.55,0.4345859649122808,0.23337351764007097,0.24936152297834663,0.55,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
0,Base Tree,350.5,1879.5118598537158,1070.408521303258,0.795981662319063,0.9286215538847117,0.3979197994987469,0.0,0.25325162907268167,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.6,0.6,0.25325162907268167,0.13263989156564884,0.14217324956170982,0.6,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1725.3002807878624,1421.4872180451127,0.8004070500534995,0.9286215538847117,0.3979197994987469,0.0,0.25325162907268167,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.6,0.6,0.25325162907268167,0.12821450383121222,0.13738762424196624,0.6,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
0,Base Tree,350.5,1632.365069817401,1070.408521303258,0.836497529538131,0.9286215538847117,0.3586215538847118,0.0,0.18663157894736845,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.65,0.65,0.18663157894736845,0.09212402434658079,0.09823286757344625,0.65,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1554.1207820621073,1381.6461152882207,0.8377027392087083,0.9286215538847117,0.3586215538847118,0.0,0.18663157894736845,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.65,0.65,0.18663157894736845,0.09091881467600345,0.09692986846565188,0.65,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
0,Base Tree,350.5,1515.734292875045,1070.408521303258,0.8556173290368778,0.9286215538847117,0.30328320802005015,0.0,0.1551929824561403,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.7,0.7,0.1551929824561403,0.07300422484783388,0.07775103340388505,0.7,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
1,Detector Tree,350.5,1441.0096523498953,1329.4215538847116,0.8569931514654509,0.9286215538847117,0.30328320802005015,0.0,0.1551929824561403,0.9499999999999998,0.34183673469387754,0.7156862745098038,0.7,0.7,0.1551929824561403,0.07162840241926093,0.07625799675668402,0.7,0.0,CVC-ClinicDB,EtisLaribDB,Polyp
