,Tree,t,Risk Estimate,E[f(x)=y],Accuracy,ood_pred,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,696.0660173160175,0.9899891774891775,0.98,0.0,0.010010822510822527,1.0,0.0,1.0,0.010010822510822527,0.01169951393635605,energy,1.0,1.0,1.0,0.0,Art,noise
1,Detector Tree,350.5,661.3194328781788,0.9800785715456981,0.98,0.0,0.010010822510822527,1.0,0.0,1.0,0.010010822510822527,0.007352756943601941,energy,1.0,1.0,1.0,0.0,Art,noise
0,Base Tree,350.5,696.0660173160175,0.9899891774891775,0.9738095238095238,0.0,0.010010822510822527,1.0,0.0,1.0,0.08998917748917747,0.0161815523657629,energy,1.0,1.0,1.0,0.1,Art,noise
1,Detector Tree,350.5,661.3194328781788,0.9800785715456981,0.9738095238095238,0.0,0.010010822510822527,1.0,0.0,1.0,0.08998917748917747,0.008009649219385177,energy,1.0,1.0,1.0,0.1,Art,noise
0,Base Tree,350.5,696.0660173160175,0.9899891774891775,0.9452130325814536,0.0,0.010010822510822527,1.0,0.0,1.0,0.18998917748917746,0.044776144907723865,energy,1.0,1.0,1.0,0.2,Art,noise
1,Detector Tree,350.5,661.3194328781788,0.9800785715456981,0.9452130325814536,0.0,0.010010822510822527,1.0,0.0,1.0,0.18998917748917746,0.0348655389642445,energy,1.0,1.0,1.0,0.2,Art,noise
0,Base Tree,350.5,696.0660173160175,0.9899891774891775,0.9447619047619047,0.0,0.010010822510822527,1.0,0.0,1.0,0.2899891774891775,0.04522727272727274,energy,1.0,1.0,1.0,0.30000000000000004,Art,noise
1,Detector Tree,350.5,661.3194328781788,0.9800785715456981,0.9447619047619047,0.0,0.010010822510822527,1.0,0.0,1.0,0.2899891774891775,0.035316666783793374,energy,1.0,1.0,1.0,0.30000000000000004,Art,noise
0,Base Tree,350.5,696.0660173160175,0.9899891774891775,0.9249624060150377,0.0,0.010010822510822527,1.0,0.0,1.0,0.38998917748917744,0.06502677147413986,energy,1.0,1.0,1.0,0.4,Art,noise
1,Detector Tree,350.5,661.3194328781788,0.9800785715456981,0.9249624060150377,0.0,0.010010822510822527,1.0,0.0,1.0,0.38998917748917744,0.055116165530660496,energy,1.0,1.0,1.0,0.4,Art,noise
0,Base Tree,350.5,736.8099068694463,0.9833098513328777,0.8536340852130325,0.007518796992481203,0.016690148667122363,1.0,0.0,1.0,0.4833098513328776,0.12967576611984508,energy,1.0,1.0,1.0,0.5,Art,noise
1,Detector Tree,350.5,670.2169495164408,0.9734661109380409,0.8536340852130325,0.007518796992481203,0.016690148667122363,1.0,0.0,1.0,0.4833098513328776,0.11983202572500833,energy,1.0,1.0,1.0,0.5,Art,noise
0,Base Tree,350.5,816.4668702736278,0.9702513327420282,0.8211528822055137,0.022205513784461152,0.029748667257971775,1.0,0.0,1.0,0.5702513327420283,0.14909845053651444,energy,1.0,1.0,1.0,0.6000000000000001,Art,noise
1,Detector Tree,350.5,687.612175279379,0.9605383188590588,0.8211528822055137,0.022205513784461152,0.029748667257971775,1.0,0.0,1.0,0.5702513327420283,0.139385436653545,energy,1.0,1.0,1.0,0.6000000000000001,Art,noise
0,Base Tree,350.5,1835.022159158719,0.8032750558756198,0.7221804511278195,0.18325814536340854,0.19672494412438019,1.0,0.0,1.0,0.5032750558756199,0.08109460474780028,energy,1.0,1.0,1.0,0.7000000000000001,Art,noise
1,Detector Tree,350.5,910.0409303436347,0.7952336118638779,0.7221804511278195,0.18325814536340854,0.19672494412438019,1.0,0.0,1.0,0.5032750558756199,0.073145107504133,energy,1.0,1.0,1.0,0.7000000000000001,Art,noise
0,Base Tree,350.5,3347.0467030536297,0.5554021798272738,0.6570175438596491,0.4213784461152882,0.44459782017272614,1.0,0.0,1.0,0.3554021798272739,0.1016153640323753,energy,1.0,1.0,1.0,0.8,Art,noise
1,Detector Tree,350.5,1240.2318788323284,0.549842147182899,0.6570175438596491,0.4213784461152882,0.44459782017272614,1.0,0.0,1.0,0.3554021798272739,0.10717539667675006,energy,1.0,1.0,1.0,0.8,Art,noise
0,Base Tree,350.5,6592.7113871936335,0.02332600209940439,0.5160651629072681,0.986265664160401,0.9766739979005956,1.0,0.0,1.0,0.07667399790059558,0.4927391608078638,energy,1.0,1.0,1.0,0.9,Art,noise
