,Tree,t,Risk Estimate,E[f(x)=y],Accuracy,ood_pred,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,Rate Error,Accuracy Error,dsd,ba,tpr,tnr,rate,test_set,val_set
0,Base Tree,350.5,1432.955053225726,0.8691876961925039,0.978471177944862,0.012155388471177943,0.1308123038074961,1.0,0.0,0.0,0.1308123038074961,0.10928348175235825,knn,0.9975,0.9855,0.9915,0.0,OoD Val,noise
1,Detector Tree,350.5,1017.4075125576223,0.7638610356884616,0.978471177944862,0.012155388471177943,0.1308123038074961,1.0,0.0,0.0,0.1308123038074961,0.21461014225640046,knn,0.9975,0.9855,0.9915,0.0,OoD Val,noise
0,Base Tree,350.5,1432.955053225726,0.8691876961925039,0.978471177944862,0.012155388471177943,0.1308123038074961,1.0,0.0,0.0,0.030812303807496087,0.10928348175235825,knn,0.9975,0.9855,0.9915,0.1,OoD Val,noise
1,Detector Tree,350.5,1017.4075125576223,0.7638610356884616,0.978471177944862,0.012155388471177943,0.1308123038074961,1.0,0.0,0.0,0.030812303807496087,0.21461014225640046,knn,0.9975,0.9855,0.9915,0.1,OoD Val,noise
0,Base Tree,350.5,1601.7984241884105,0.8415084550510802,0.9116290726817042,0.04736842105263159,0.15849154494891976,1.0,0.0,0.0,0.04150845505108025,0.07012061763062404,knn,0.9975,0.9855,0.9915,0.2,OoD Val,noise
1,Detector Tree,350.5,1065.0670419086896,0.7395359170771695,0.9116290726817042,0.04736842105263159,0.15849154494891976,1.0,0.0,0.0,0.04150845505108025,0.1720931556045349,knn,0.9975,0.9855,0.9915,0.2,OoD Val,noise
0,Base Tree,350.5,2065.655531824033,0.7654663062583552,0.7793483709273182,0.14716791979949875,0.2345336937416448,1.0,0.0,0.0,0.06546630625835526,0.04649414926662849,knn,0.9975,0.9855,0.9915,0.30000000000000004,OoD Val,noise
1,Detector Tree,350.5,1196.0002927080168,0.6727084242499786,0.7793483709273182,0.14716791979949875,0.2345336937416448,1.0,0.0,0.0,0.06546630625835526,0.10663994667733971,knn,0.9975,0.9855,0.9915,0.30000000000000004,OoD Val,noise
0,Base Tree,350.5,2859.6495687242564,0.6353033493894662,0.5149874686716792,0.3242355889724311,0.3646966506105338,1.0,0.0,0.0,0.03530334938946622,0.12031588071778701,knn,0.9975,0.9855,0.9915,0.4,OoD Val,noise
1,Detector Tree,350.5,1420.1215116250546,0.558318389188873,0.5149874686716792,0.3242355889724311,0.3646966506105338,1.0,0.0,0.0,0.03530334938946622,0.04910636536117752,knn,0.9975,0.9855,0.9915,0.4,OoD Val,noise
0,Base Tree,350.5,4267.286540849419,0.40454319002468536,0.2962907268170426,0.6211278195488722,0.5954568099753147,1.0,0.0,0.0,0.09545680997531464,0.10825246320764276,knn,0.9975,0.9855,0.9915,0.5,OoD Val,noise
1,Detector Tree,350.5,1817.4561253924683,0.3555213465015859,0.2962907268170426,0.6211278195488722,0.5954568099753147,1.0,0.0,0.0,0.09545680997531464,0.05993363144033464,knn,0.9975,0.9855,0.9915,0.5,OoD Val,noise
0,Base Tree,350.5,4267.286540849419,0.40454319002468536,0.2962907268170426,0.6211278195488722,0.5954568099753147,1.0,0.0,0.0,0.019904283492126373,0.10825246320764276,knn,0.9975,0.9855,0.9915,0.6000000000000001,OoD Val,noise
1,Detector Tree,350.5,1817.4561253924683,0.3555213465015859,0.2962907268170426,0.6211278195488722,0.5954568099753147,1.0,0.0,0.0,0.019904283492126373,0.05993363144033464,knn,0.9975,0.9855,0.9915,0.6000000000000001,OoD Val,noise
0,Base Tree,350.5,5290.852566078296,0.23674548097077122,0.14771929824561403,0.8487719298245613,0.7632545190292288,1.0,0.0,0.0,0.06325451902922873,0.08902618272515717,knn,0.9975,0.9855,0.9915,0.7000000000000001,OoD Val,noise
1,Detector Tree,350.5,2106.378780418895,0.20805707338135687,0.14771929824561403,0.8487719298245613,0.7632545190292288,1.0,0.0,0.0,0.06325451902922873,0.06033777513574282,knn,0.9975,0.9855,0.9915,0.7000000000000001,OoD Val,noise
