,fold,feature_name,feature,loss
0,train,energy,4.804028511047363,0.0
1,train,energy,2.7628278732299805,1.0
2,train,energy,2.371960401535034,0.0
3,train,energy,2.852219581604004,0.0
4,train,energy,1.0122352838516235,1.0
5,train,energy,3.0886282920837402,1.0
6,train,energy,2.918365716934204,1.0
7,train,energy,2.7936434745788574,0.0
8,train,energy,2.2916407585144043,1.0
9,train,energy,2.7731194496154785,0.0
10,train,energy,2.219280242919922,0.0
11,train,energy,4.188748359680176,1.0
12,train,energy,3.4722652435302734,1.0
13,train,energy,3.724196672439575,1.0
14,train,energy,1.4405598640441895,1.0
15,train,energy,2.858412742614746,0.0
16,train,energy,4.337915420532227,1.0
17,train,energy,0.7265411615371704,0.0
18,train,energy,3.6892106533050537,1.0
19,train,energy,2.685805320739746,1.0
20,train,energy,2.97666597366333,0.0
21,train,energy,0.6994071006774902,0.0
22,train,energy,2.0523364543914795,1.0
23,train,energy,2.373971462249756,0.0
24,train,energy,5.801366329193115,1.0
25,train,energy,0.9247775673866272,1.0
26,train,energy,2.2926864624023438,1.0
27,train,energy,2.1238784790039062,1.0
28,train,energy,3.146280288696289,1.0
29,train,energy,3.292140007019043,0.0
30,train,energy,3.7549777030944824,1.0
31,train,energy,2.8236804008483887,0.0
32,train,energy,0.9207899570465088,1.0
33,train,energy,1.7468161582946777,1.0
34,train,energy,1.904855728149414,0.0
35,train,energy,4.787717342376709,1.0
36,train,energy,2.501373291015625,0.0
37,train,energy,3.453195810317993,1.0
38,train,energy,2.278090238571167,1.0
39,train,energy,2.595088481903076,0.0
40,train,energy,3.9064931869506836,0.0
41,train,energy,1.7049438953399658,1.0
42,train,energy,3.1059603691101074,0.0
43,train,energy,2.179594039916992,0.0
44,train,energy,4.148318767547607,1.0
45,train,energy,2.2044286727905273,1.0
46,train,energy,4.794407367706299,1.0
47,train,energy,4.9832963943481445,0.0
48,train,energy,3.119936227798462,1.0
49,train,energy,4.641092300415039,1.0
50,train,energy,2.9306678771972656,1.0
51,train,energy,1.7579054832458496,0.0
52,train,energy,3.60842227935791,1.0
53,train,energy,1.6995314359664917,0.0
54,train,energy,0.6349042654037476,1.0
55,train,energy,6.1616387367248535,1.0
56,train,energy,2.4123952388763428,0.0
57,train,energy,2.1437032222747803,0.0
58,train,energy,3.018326997756958,1.0
59,train,energy,1.8953474760055542,1.0
60,train,energy,1.3247050046920776,1.0
61,train,energy,2.0201950073242188,0.0
62,train,energy,1.0005712509155273,0.0
63,train,energy,2.8800549507141113,0.0
64,train,energy,5.048726558685303,1.0
65,train,energy,2.4160146713256836,0.0
66,train,energy,2.390347957611084,0.0
67,train,energy,1.7946057319641113,0.0
68,train,energy,1.8105237483978271,0.0
69,train,energy,2.760385513305664,1.0
70,train,energy,1.8539795875549316,1.0
71,train,energy,6.384383201599121,1.0
72,train,energy,3.5894570350646973,0.0
73,train,energy,2.873584747314453,0.0
74,train,energy,3.9060704708099365,1.0
75,train,energy,4.643524646759033,1.0
76,train,energy,2.300450086593628,0.0
77,train,energy,2.186486005783081,1.0
78,train,energy,4.764220237731934,1.0
79,train,energy,1.9673845767974854,0.0
80,train,energy,2.7607297897338867,1.0
81,train,energy,3.4723641872406006,1.0
82,train,energy,6.372774124145508,1.0
83,train,energy,3.8663978576660156,1.0
84,train,energy,2.9550137519836426,0.0
85,train,energy,3.133005142211914,1.0
86,train,energy,2.4386093616485596,1.0
87,train,energy,1.6687389612197876,0.0
88,train,energy,1.4634268283843994,1.0
89,train,energy,1.541348934173584,1.0
90,train,energy,2.3378987312316895,0.0
91,train,energy,3.5504958629608154,0.0
92,train,energy,1.1410356760025024,0.0
93,train,energy,2.387688159942627,0.0
94,train,energy,3.826087236404419,0.0
95,train,energy,3.0222623348236084,0.0
96,train,energy,4.281111240386963,1.0
97,train,energy,1.2932530641555786,1.0
98,train,energy,3.2086782455444336,0.0
99,train,energy,2.3732941150665283,1.0
100,train,energy,1.4530998468399048,0.0
101,train,energy,2.9402287006378174,1.0
102,train,energy,2.7694644927978516,1.0
103,train,energy,0.4800456762313843,0.0
104,train,energy,1.2767212390899658,0.0
105,train,energy,1.6243398189544678,0.0
106,train,energy,1.9670040607452393,0.0
107,train,energy,1.9951930046081543,1.0
108,train,energy,3.38324236869812,0.0
109,train,energy,4.326714515686035,0.0
110,train,energy,2.3220551013946533,1.0
111,train,energy,6.083603382110596,0.0
112,train,energy,2.3611044883728027,0.0
113,train,energy,1.512982964515686,0.0
114,train,energy,2.063185930252075,0.0
115,train,energy,1.7143080234527588,0.0
116,train,energy,4.578365802764893,1.0
117,train,energy,2.5054399967193604,0.0
118,train,energy,2.1033287048339844,1.0
119,train,energy,2.1584527492523193,0.0
120,train,energy,2.2548699378967285,0.0
121,train,energy,2.4444167613983154,1.0
122,train,energy,1.9935715198516846,0.0
123,train,energy,3.004669189453125,1.0
124,train,energy,2.2749977111816406,0.0
125,train,energy,3.4390435218811035,0.0
126,train,energy,3.338496685028076,1.0
127,train,energy,3.928776264190674,1.0
128,train,energy,1.374487280845642,0.0
129,train,energy,1.5107026100158691,1.0
130,train,energy,4.402061939239502,1.0
131,train,energy,1.870256781578064,0.0
132,train,energy,4.012002944946289,0.0
133,train,energy,2.274876832962036,1.0
134,train,energy,1.1115152835845947,0.0
135,train,energy,5.386124610900879,1.0
136,train,energy,2.470681667327881,0.0
137,train,energy,2.8928709030151367,1.0
138,train,energy,3.8476369380950928,0.0
139,train,energy,3.384103298187256,0.0
140,train,energy,3.1785881519317627,0.0
141,train,energy,3.1227505207061768,1.0
142,train,energy,1.915696382522583,0.0
143,train,energy,3.4856104850769043,1.0
144,train,energy,2.904292106628418,0.0
145,train,energy,4.0922346115112305,0.0
146,train,energy,2.3437294960021973,0.0
147,train,energy,1.8989133834838867,0.0
148,train,energy,2.773458480834961,1.0
149,train,energy,3.094496488571167,1.0
150,train,energy,2.2228593826293945,1.0
151,train,energy,4.022439956665039,1.0
152,train,energy,1.6505006551742554,0.0
153,train,energy,2.6886658668518066,0.0
154,train,energy,3.8525686264038086,1.0
155,train,energy,3.6916205883026123,1.0
156,train,energy,2.219914436340332,1.0
157,train,energy,1.9826990365982056,0.0
158,train,energy,3.735027551651001,0.0
159,train,energy,3.166719913482666,1.0
160,train,energy,2.9703383445739746,0.0
161,train,energy,2.0731356143951416,0.0
162,train,energy,2.9905648231506348,0.0
163,train,energy,1.4002296924591064,0.0
164,train,energy,4.236042022705078,1.0
165,train,energy,2.0612082481384277,0.0
166,train,energy,2.839277982711792,0.0
167,train,energy,3.580656051635742,0.0
168,train,energy,1.7632423639297485,1.0
169,train,energy,2.62982439994812,0.0
170,train,energy,3.9883270263671875,0.0
171,train,energy,3.1997973918914795,1.0
172,train,energy,2.1519620418548584,0.0
173,train,energy,6.94827127456665,1.0
174,train,energy,0.9544887542724609,1.0
175,train,energy,2.1211366653442383,0.0
176,train,energy,4.605382442474365,0.0
177,train,energy,2.736974000930786,0.0
178,train,energy,7.981328964233398,1.0
179,train,energy,1.5108109712600708,0.0
180,train,energy,1.6577587127685547,0.0
181,train,energy,2.070528268814087,1.0
182,train,energy,2.767275333404541,1.0
183,train,energy,3.770616292953491,1.0
184,train,energy,2.639187812805176,0.0
185,train,energy,4.684686183929443,1.0
186,train,energy,3.76212215423584,1.0
187,train,energy,2.8093926906585693,0.0
188,train,energy,2.9477574825286865,1.0
189,train,energy,2.069065570831299,0.0
190,train,energy,1.6921993494033813,1.0
191,train,energy,2.519432544708252,1.0
192,train,energy,2.5851221084594727,1.0
193,train,energy,2.7958385944366455,0.0
194,train,energy,1.4720929861068726,0.0
195,train,energy,1.4959990978240967,0.0
196,train,energy,2.3084118366241455,1.0
197,train,energy,3.127230644226074,1.0
198,train,energy,4.017271041870117,0.0
199,train,energy,3.819301128387451,1.0
200,train,energy,3.9238357543945312,1.0
201,train,energy,5.657622814178467,1.0
202,train,energy,1.550186276435852,0.0
203,train,energy,2.4731364250183105,0.0
204,train,energy,2.031148910522461,0.0
205,train,energy,2.015313148498535,0.0
206,train,energy,2.762176275253296,0.0
207,train,energy,2.2044219970703125,1.0
208,train,energy,3.1562070846557617,0.0
209,train,energy,1.171581745147705,0.0
210,train,energy,6.508838653564453,1.0
211,train,energy,3.75362491607666,1.0
212,train,energy,1.2734832763671875,0.0
213,train,energy,2.28999662399292,0.0
214,train,energy,2.5909130573272705,1.0
215,train,energy,3.414654493331909,1.0
216,train,energy,2.513193130493164,0.0
217,train,energy,5.156124591827393,0.0
218,train,energy,5.266380786895752,1.0
219,train,energy,2.016993999481201,0.0
220,train,energy,2.3703622817993164,0.0
221,train,energy,6.135117053985596,1.0
222,train,energy,2.231672763824463,0.0
223,train,energy,1.484411597251892,0.0
224,train,energy,2.1922361850738525,1.0
225,train,energy,3.84094500541687,1.0
226,train,energy,2.7351062297821045,0.0
227,train,energy,4.716623783111572,0.0
228,train,energy,2.8846726417541504,0.0
229,train,energy,2.0949501991271973,1.0
230,train,energy,2.686044692993164,0.0
231,train,energy,2.4477601051330566,1.0
232,train,energy,2.747872829437256,0.0
233,train,energy,2.657651424407959,0.0
234,train,energy,1.5436313152313232,0.0
235,train,energy,2.2780704498291016,1.0
236,train,energy,2.140486001968384,1.0
237,train,energy,2.249129295349121,0.0
238,train,energy,3.2817492485046387,1.0
239,train,energy,2.293816089630127,1.0
240,train,energy,3.5827865600585938,0.0
241,train,energy,1.8402546644210815,1.0
242,train,energy,3.370361328125,1.0
243,train,energy,1.0196202993392944,0.0
244,train,energy,1.2420499324798584,0.0
245,train,energy,2.4613826274871826,1.0
246,train,energy,6.096274375915527,1.0
247,train,energy,2.5079047679901123,1.0
248,train,energy,1.593327522277832,0.0
249,train,energy,2.104933500289917,1.0
250,train,energy,2.172501564025879,1.0
251,train,energy,1.8757778406143188,1.0
252,train,energy,3.9677608013153076,1.0
253,train,energy,2.641343116760254,1.0
254,train,energy,2.6961729526519775,1.0
255,train,energy,4.173563480377197,0.0
256,train,energy,3.3606910705566406,0.0
257,train,energy,2.944154739379883,1.0
258,train,energy,4.494680404663086,1.0
259,train,energy,0.5250810384750366,0.0
260,train,energy,3.6923298835754395,1.0
261,train,energy,2.3062918186187744,1.0
262,train,energy,2.341770887374878,0.0
263,train,energy,3.4866585731506348,1.0
264,train,energy,5.877390384674072,1.0
265,train,energy,4.997993469238281,1.0
266,train,energy,2.1129660606384277,1.0
267,train,energy,2.5328946113586426,1.0
268,train,energy,2.869699716567993,0.0
269,train,energy,2.395115375518799,0.0
270,train,energy,2.4675121307373047,1.0
271,train,energy,2.7812013626098633,0.0
272,train,energy,2.518376588821411,0.0
273,train,energy,2.718870162963867,1.0
274,train,energy,2.8525984287261963,1.0
275,train,energy,3.872945785522461,1.0
276,train,energy,1.9669387340545654,0.0
277,train,energy,1.8070851564407349,0.0
278,train,energy,1.5505616664886475,0.0
279,train,energy,4.134502410888672,1.0
280,train,energy,1.498938798904419,0.0
281,train,energy,2.3718676567077637,1.0
282,train,energy,2.143771171569824,1.0
283,train,energy,2.970184803009033,1.0
284,train,energy,2.0981051921844482,0.0
285,train,energy,3.015176773071289,0.0
286,train,energy,1.2901331186294556,0.0
287,train,energy,3.4670963287353516,1.0
288,train,energy,1.7439305782318115,0.0
289,train,energy,5.436604022979736,1.0
290,train,energy,2.382380247116089,1.0
291,train,energy,3.188349485397339,1.0
292,train,energy,3.4677109718322754,0.0
293,train,energy,2.9817965030670166,0.0
294,train,energy,1.667335033416748,1.0
295,train,energy,0.24052023887634277,0.0
296,train,energy,3.321199893951416,1.0
297,train,energy,1.7194349765777588,0.0
298,train,energy,2.5398941040039062,1.0
299,train,energy,3.0974225997924805,1.0
300,train,energy,3.7614455223083496,1.0
301,train,energy,2.5558571815490723,0.0
302,train,energy,4.152599811553955,1.0
303,train,energy,4.587416172027588,1.0
304,train,energy,5.413867473602295,0.0
305,train,energy,4.064151287078857,1.0
306,train,energy,3.9467573165893555,0.0
307,train,energy,4.066565036773682,1.0
308,train,energy,1.5992321968078613,1.0
309,train,energy,3.686041831970215,0.0
310,train,energy,2.491833209991455,0.0
311,train,energy,3.0545437335968018,1.0
312,train,energy,5.664224147796631,1.0
313,train,energy,1.61546790599823,1.0
314,train,energy,5.6132493019104,1.0
315,train,energy,2.251124858856201,0.0
316,train,energy,1.671783447265625,0.0
317,train,energy,3.3489503860473633,1.0
318,train,energy,3.14096736907959,0.0
319,train,energy,2.808612823486328,1.0
320,train,energy,1.6570088863372803,1.0
321,train,energy,1.740506887435913,1.0
322,train,energy,1.695755124092102,0.0
323,train,energy,2.4644172191619873,0.0
324,train,energy,2.2310521602630615,1.0
325,train,energy,0.3089035749435425,0.0
326,train,energy,3.2728147506713867,1.0
327,train,energy,1.742723822593689,1.0
328,train,energy,2.5576517581939697,1.0
329,train,energy,2.2362828254699707,0.0
330,train,energy,2.1343865394592285,1.0
331,train,energy,2.108124017715454,0.0
332,train,energy,2.7283220291137695,1.0
333,train,energy,2.6603355407714844,0.0
334,train,energy,3.4842495918273926,1.0
335,train,energy,1.3715753555297852,1.0
336,train,energy,2.737666130065918,0.0
337,train,energy,3.4161903858184814,1.0
338,train,energy,3.641876220703125,1.0
339,train,energy,3.425142526626587,1.0
340,train,energy,1.6379644870758057,1.0
341,train,energy,1.8007099628448486,0.0
342,train,energy,1.8830524682998657,1.0
343,train,energy,2.504547357559204,1.0
344,train,energy,4.194772243499756,1.0
345,train,energy,2.739382743835449,0.0
346,train,energy,3.628512382507324,1.0
347,train,energy,0.601736843585968,0.0
348,train,energy,1.5794618129730225,1.0
349,train,energy,5.928980350494385,1.0
350,train,energy,4.712209224700928,0.0
351,train,energy,3.4928762912750244,1.0
352,train,energy,4.531774997711182,0.0
353,train,energy,2.238551378250122,1.0
354,train,energy,0.920656681060791,0.0
355,train,energy,2.6397571563720703,1.0
356,train,energy,2.233201265335083,1.0
357,train,energy,1.4267996549606323,0.0
358,train,energy,2.9916391372680664,0.0
359,train,energy,3.0929696559906006,1.0
360,train,energy,4.490285873413086,1.0
361,train,energy,2.457137107849121,0.0
362,train,energy,2.947502374649048,1.0
363,train,energy,3.3186991214752197,0.0
364,train,energy,2.7010107040405273,0.0
365,train,energy,0.9928808212280273,1.0
366,train,energy,1.605346441268921,1.0
367,train,energy,4.842817783355713,0.0
368,train,energy,4.194578170776367,0.0
369,train,energy,2.089881658554077,0.0
370,train,energy,1.6960428953170776,0.0
371,train,energy,1.7634756565093994,0.0
372,train,energy,5.674357891082764,1.0
373,train,energy,4.107658863067627,0.0
374,train,energy,1.7971012592315674,0.0
