,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,test_set,val_set
0,Base Tree,350.5,1123.9961533923301,1482.2731829573934,0.9198366961651918,0.8611027568922306,0.1620551378446115,0.0,0.014138887040610362,0.9330000000000002,0.002,0.002,0.839,0.839,0.014138887040610362,0.05881454277286144,GradNorm,0.0,Art,Art
1,Detector Tree,350.5,1189.3826690514334,1535.5067669172931,0.9097281694767689,0.8611027568922306,0.1620551378446115,0.0,0.014138887040610362,0.9330000000000002,0.002,0.002,0.839,0.839,0.014138887040610362,0.04901744369501672,GradNorm,0.0,Art,Art
0,Base Tree,350.5,1622.6271878072757,2276.9548872180453,0.8380939036381514,0.7308270676691729,0.23353383458646618,0.148796992481203,0.10193995312765687,0.9330000000000002,0.002,0.002,0.839,0.839,0.04057104412949779,0.10962215494488438,GradNorm,0.1,Art,Art
1,Detector Tree,350.5,1318.0130801946018,1864.1117794486215,0.828809579441085,0.7308270676691729,0.23353383458646618,0.148796992481203,0.10193995312765687,0.9330000000000002,0.002,0.002,0.839,0.839,0.04057104412949779,0.10361583877559194,GradNorm,0.1,Art,Art
0,Base Tree,350.5,2002.3212979351028,2852.8621553884714,0.7758489675516225,0.6364160401002507,0.2751127819548872,0.24809523809523812,0.16879810144831103,0.9330000000000002,0.002,0.002,0.839,0.839,0.04689600106460844,0.13943292745137184,GradNorm,0.2,Art,Art
1,Detector Tree,350.5,1415.9616756960572,2142.785463659148,0.7671922513651321,0.6364160401002507,0.2751127819548872,0.24809523809523812,0.16879810144831103,0.9330000000000002,0.002,0.002,0.839,0.839,0.04689600106460844,0.1307762112648815,GradNorm,0.2,Art,Art
0,Base Tree,350.5,2545.3376597836773,3320.6817042606517,0.6868298918387414,0.5597243107769424,0.3417543859649123,0.3375689223057644,0.2644147241259491,0.9330000000000002,0.002,0.002,0.839,0.839,0.06176651067196017,0.1272168829152528,GradNorm,0.30000000000000004,Art,Art
1,Detector Tree,350.5,1556.0420418609992,2250.8426065162907,0.6790707440091986,0.5597243107769424,0.3417543859649123,0.3375689223057644,0.2644147241259491,0.9330000000000002,0.002,0.002,0.839,0.839,0.06176651067196017,0.11990278136436827,GradNorm,0.30000000000000004,Art,Art
0,Base Tree,350.5,3050.8288249754173,3890.62656641604,0.603962487708948,0.46629072681704264,0.4063408521303258,0.4443107769423559,0.3534237511182085,0.9330000000000002,0.002,0.002,0.839,0.839,0.06778561447867458,0.1381386219974716,GradNorm,0.4,Art,Art
1,Detector Tree,350.5,1686.4421411731971,2420.297243107769,0.5970388816907938,0.46629072681704264,0.4063408521303258,0.4443107769423559,0.3534237511182085,0.9330000000000002,0.002,0.002,0.839,0.839,0.06778561447867458,0.13174429055747514,GradNorm,0.4,Art,Art
0,Base Tree,350.5,3450.7078171091443,4308.606516290727,0.5384085545722714,0.3977694235588973,0.4579197994987469,0.523859649122807,0.42383613902011663,0.9330000000000002,0.002,0.002,0.839,0.839,0.08034910284560962,0.14069123028810968,GradNorm,0.5,Art,Art
1,Detector Tree,350.5,1789.5977725229957,2538.566917293233,0.5321459207736752,0.3977694235588973,0.4579197994987469,0.523859649122807,0.42383613902011663,0.9330000000000002,0.002,0.002,0.839,0.839,0.08034910284560962,0.1346474844348081,GradNorm,0.5,Art,Art
0,Base Tree,350.5,3425.597949852507,4302.491228070176,0.5425249262536874,0.39877192982456144,0.4467919799498747,0.5556892230576441,0.41941468716037883,0.9330000000000002,0.002,0.002,0.839,0.839,0.1805853128396213,0.14375299642912592,GradNorm,0.6000000000000001,Art,Art
1,Detector Tree,350.5,1783.12025242086,2477.7503759398496,0.5362207875873188,0.39877192982456144,0.4467919799498747,0.5556892230576441,0.41941468716037883,0.9330000000000002,0.002,0.002,0.839,0.839,0.1805853128396213,0.1374488577627574,GradNorm,0.6000000000000001,Art,Art
0,Base Tree,350.5,3931.0891150442476,4872.436090225564,0.4596575221238938,0.30533834586466163,0.5113784461152882,0.6624310776942356,0.5084237141526382,0.9330000000000002,0.002,0.002,0.839,0.839,0.19157628584736183,0.15431917625923217,GradNorm,0.7000000000000001,Art,Art
1,Detector Tree,350.5,1913.5203517330576,2647.2050125313285,0.4541889252689139,0.30533834586466163,0.5113784461152882,0.6624310776942356,0.5084237141526382,0.9330000000000002,0.002,0.002,0.839,0.839,0.19157628584736183,0.14885057940425228,GradNorm,0.7000000000000001,Art,Art
0,Base Tree,350.5,4474.105476892822,5340.255639097744,0.3706384464110128,0.2286466165413534,0.5780200501253133,0.7519047619047619,0.6040403368302762,0.9330000000000002,0.002,0.002,0.839,0.839,0.19595966316972374,0.14199182986965941,GradNorm,0.8,Art,Art
1,Detector Tree,350.5,2053.600717898,2755.2621553884715,0.3660674179129804,0.2286466165413534,0.5780200501253133,0.7519047619047619,0.6040403368302762,0.9330000000000002,0.002,0.002,0.839,0.839,0.19595966316972374,0.13742080137162707,GradNorm,0.8,Art,Art
0,Base Tree,350.5,4856.5076991150445,5916.162907268171,0.3079495575221239,0.1342355889724311,0.6195989974937344,0.851203007518797,0.6713753410073858,0.9330000000000002,0.002,0.002,0.839,0.839,0.2286246589926143,0.17371396854969282,GradNorm,0.9,Art,Art
1,Detector Tree,350.5,2152.247917273024,3033.935839598997,0.30401061335599755,0.1342355889724311,0.6195989974937344,0.851203007518797,0.6713753410073858,0.9330000000000002,0.002,0.002,0.839,0.839,0.2286246589926143,0.16977502438356648,GradNorm,0.9,Art,Art
0,Base Tree,350.5,5462.919075712882,6710.8446115288225,0.2085378564405113,0.003959899749373433,0.691077694235589,1.0,0.77815482659451,0.9330000000000002,0.002,0.002,0.839,0.839,0.22184517340549012,0.20457795669113785,GradNorm,1.0,Art,Art
1,Detector Tree,350.5,2308.6821127201583,3362.540852130326,0.2056012681906492,0.003959899749373433,0.691077694235589,1.0,0.77815482659451,0.9330000000000002,0.002,0.002,0.839,0.839,0.22184517340549012,0.20164136844127575,GradNorm,1.0,Art,Art
0,Base Tree,350.5,1123.9961533923301,1482.2731829573934,0.9198366961651918,0.8611027568922306,0.1620551378446115,0.0,0.014138887040610362,0.9330000000000002,0.002,0.0,0.839,0.839,0.014138887040610362,0.05881454277286144,GradNorm,0.0,Clipart,Art
1,Detector Tree,350.5,1189.3826690514334,1535.5067669172931,0.9097281694767689,0.8611027568922306,0.1620551378446115,0.0,0.014138887040610362,0.9330000000000002,0.002,0.0,0.839,0.839,0.014138887040610362,0.04901744369501672,GradNorm,0.0,Clipart,Art
0,Base Tree,350.5,1944.0213126843655,2276.9548872180453,0.785406342182891,0.7308270676691729,0.27882205513784464,0.148796992481203,0.1585323929292257,0.9330000000000002,0.002,0.0,0.839,0.839,0.05853239292922568,0.07656252984969801,GradNorm,0.1,Clipart,Art
1,Detector Tree,350.5,1400.9221964922767,1643.1052631578948,0.7766532601672138,0.7308270676691729,0.27882205513784464,0.148796992481203,0.1585323929292257,0.9330000000000002,0.002,0.0,0.839,0.839,0.05853239292922568,0.07333419960168283,GradNorm,0.1,Clipart,Art
0,Base Tree,350.5,2667.6855457227134,2852.8621553884714,0.6667728613569321,0.6364160401002507,0.36265664160401,0.24809523809523812,0.2859582584780535,0.9330000000000002,0.002,0.0,0.839,0.839,0.0859582584780535,0.05693952580566464,GradNorm,0.2,Clipart,Art
