,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,test_set,val_set
0,Base Tree,350.5,958.3000000000002,635.0,0.9469999999999998,1.0,0.0,0.0,0.0,0.9469999999999998,0.774,0.774,1.0,1.0,0.0,0.05300000000000016,kNN,0.0,OoD Test,OoD Test
1,Detector Tree,350.5,971.847389558233,635.0,0.9447791164658635,1.0,0.0,0.0,0.0,0.9469999999999998,0.774,0.774,1.0,1.0,0.0,0.05522088353413646,kNN,0.0,OoD Test,OoD Test
0,Base Tree,350.5,1071.6048367919802,783.6015037593985,0.9284254365914787,0.9756390977443609,0.11268170426065163,0.11268170426065163,0.10736741854636593,0.9469999999999998,0.774,0.774,1.0,1.0,0.01498095238095238,0.047213661152882225,kNN,0.1,OoD Test,OoD Test
1,Detector Tree,350.5,1066.66920552385,772.4716791979951,0.9259061664965627,0.9756390977443609,0.11268170426065163,0.11268170426065163,0.10736741854636593,0.9469999999999998,0.774,0.774,1.0,1.0,0.01498095238095238,0.04973293124779819,kNN,0.1,OoD Test,OoD Test
0,Base Tree,350.5,1150.1289427819552,889.2431077694235,0.9155526323308271,0.9583208020050126,0.18518796992481204,0.18518796992481204,0.18177669172932331,0.9469999999999998,0.774,0.774,1.0,1.0,0.018799248120300757,0.04276816967418548,kNN,0.2,OoD Test,OoD Test
1,Detector Tree,350.5,1132.3839493764533,860.9293233082707,0.9128265701995953,0.9583208020050126,0.18518796992481204,0.18518796992481204,0.18177669172932331,0.9469999999999998,0.774,0.774,1.0,1.0,0.018799248120300757,0.045494231805417146,kNN,0.2,OoD Test,OoD Test
0,Base Tree,350.5,1255.398688345865,1062.611528822055,0.8982952969924812,0.9298997493734336,0.2867919799498747,0.2867919799498747,0.2815300751879699,0.9469999999999998,0.774,0.774,1.0,1.0,0.023078947368421074,0.03615612255639101,kNN,0.30000000000000004,OoD Test,OoD Test
1,Detector Tree,350.5,1220.4814103783556,984.8862155388471,0.895292008590754,0.9298997493734336,0.2867919799498747,0.2867919799498747,0.2815300751879699,0.9469999999999998,0.774,0.774,1.0,1.0,0.023078947368421074,0.03822674259645101,kNN,0.30000000000000004,OoD Test,OoD Test
0,Base Tree,350.5,1378.5254852380954,1225.2781954887218,0.8781105761904762,0.9032330827067668,0.4041604010025062,0.4041604010025062,0.3982047619047619,0.9469999999999998,0.774,0.774,1.0,1.0,0.027902005012531327,0.03754170150375941,kNN,0.4,OoD Test,OoD Test
1,Detector Tree,350.5,1323.5229645247657,1128.0756892230577,0.8747830352457449,0.9032330827067668,0.4041604010025062,0.4041604010025062,0.3982047619047619,0.9469999999999998,0.774,0.774,1.0,1.0,0.027902005012531327,0.039247189134482816,kNN,0.4,OoD Test,OoD Test
0,Base Tree,350.5,1485.7632727318296,1396.812030075188,0.860530611027569,0.8751127819548873,0.5042105263157894,0.5042105263157894,0.49982305764411034,0.9469999999999998,0.774,0.774,1.0,1.0,0.021369924812030077,0.039036950375939856,kNN,0.5,OoD Test,OoD Test
1,Detector Tree,350.5,1413.2674276756147,1250.1368421052632,0.8569206610039154,0.8751127819548873,0.5042105263157894,0.5042105263157894,0.49982305764411034,0.9469999999999998,0.774,0.774,1.0,1.0,0.021369924812030077,0.04040445273021913,kNN,0.5,OoD Test,OoD Test
0,Base Tree,350.5,1593.374514761905,1446.8045112781954,0.8428894238095237,0.8669172932330826,0.5958395989974937,0.5958395989974937,0.601795238095238,0.9469999999999998,0.774,0.774,1.0,1.0,0.027902005012531324,0.032961553132832104,kNN,0.6000000000000001,OoD Test,OoD Test
1,Detector Tree,350.5,1503.3244250334674,1361.9243107769425,0.8389960812201186,0.8669172932330826,0.5958395989974937,0.5958395989974937,0.601795238095238,0.9469999999999998,0.774,0.774,1.0,1.0,0.027902005012531324,0.0348710902809232,kNN,0.6000000000000001,OoD Test,OoD Test
0,Base Tree,350.5,1716.5013116541354,1609.4711779448621,0.8227047030075189,0.840250626566416,0.7132080200501253,0.7132080200501253,0.71846992481203,0.9469999999999998,0.774,0.774,1.0,1.0,0.023078947368421015,0.02945016817042604,kNN,0.7000000000000001,OoD Test,OoD Test
1,Detector Tree,350.5,1606.3659791798773,1505.113784461153,0.8184871078751095,0.840250626566416,0.7132080200501253,0.7132080200501253,0.71846992481203,0.9469999999999998,0.774,0.774,1.0,1.0,0.023078947368421015,0.03140609810771907,kNN,0.7000000000000001,OoD Test,OoD Test
