,Tree,t,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc,tpr,tnr,Rate Error,Accuracy Error,dsd,rate,test_set,val_set
0,Base Tree,350.5,1533.19394829609,1076.6766917293232,0.8527550904432639,0.9275939849624061,0.18889724310776942,0.0,0.11825903655658576,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.11825903655658576,0.07505308109428072,Softmax,0.0,outdoor,outdoor
1,Detector Tree,350.5,1185.8647739012508,1200.113784461153,0.855184906911199,0.9275939849624061,0.18889724310776942,0.0,0.11825903655658576,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.11825903655658576,0.07304787454427474,Softmax,0.0,outdoor,outdoor
0,Base Tree,350.5,1633.879306412265,1424.1779448621553,0.8362492940307763,0.8706265664160401,0.20606516290726817,0.09516290726817042,0.14267769470500033,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.042677694705000324,0.03661684926164617,Softmax,0.1,outdoor,outdoor
1,Detector Tree,350.5,1210.828708584222,1313.552380952381,0.8380028447827016,0.8706265664160401,0.20606516290726817,0.09516290726817042,0.14267769470500033,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.042677694705000324,0.035373314734210605,Softmax,0.1,outdoor,outdoor
0,Base Tree,350.5,2086.5817355113068,1985.1027568922307,0.7620357810637202,0.778671679197995,0.2881203007518797,0.21097744360902257,0.2524690890641619,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.052605321638730794,0.026169969911066855,Softmax,0.2,outdoor,outdoor
1,Detector Tree,350.5,1323.0717802909453,1481.3864661654134,0.7607486997110184,0.778671679197995,0.2881203007518797,0.21097744360902257,0.2524690890641619,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.052605321638730794,0.02727944621555056,Softmax,0.2,outdoor,outdoor
0,Base Tree,350.5,2477.2358534359037,2240.5689223057643,0.6979941223875568,0.7367919799498748,0.36526315789473685,0.29639097744360904,0.34721225270136474,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.04739468624738053,0.04409536656890838,Softmax,0.30000000000000004,outdoor,outdoor
1,Detector Tree,350.5,1419.9305894164077,1434.0847117794488,0.6940831641205423,0.7367919799498748,0.36526315789473685,0.29639097744360904,0.34721225270136474,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.04739468624738053,0.046587155714295905,Softmax,0.30000000000000004,outdoor,outdoor
0,Base Tree,350.5,2843.188379078485,2693.558897243108,0.6380019050691008,0.6625313283208021,0.4499498746867168,0.38709273182957393,0.4359646769804173,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.03628243081560619,0.045031629240772544,Softmax,0.4,outdoor,outdoor
1,Detector Tree,350.5,1510.6648840361752,1478.2370927318295,0.631632981201034,0.6625313283208021,0.4499498746867168,0.38709273182957393,0.4359646769804173,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.03628243081560619,0.04767704030126343,Softmax,0.4,outdoor,outdoor
0,Base Tree,350.5,3169.70185332853,2965.5363408521303,0.5844751060117165,0.6179448621553885,0.5180701754385965,0.4826315789473684,0.5151521681681964,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.01876489043742494,0.044129260919363686,Softmax,0.5,outdoor,outdoor
1,Detector Tree,350.5,1591.6206575150072,1573.1157894736841,0.5759131138308202,0.6179448621553885,0.5180701754385965,0.4826315789473684,0.5151521681681964,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.01876489043742494,0.04820567927786149,Softmax,0.5,outdoor,outdoor
0,Base Tree,350.5,3688.7567149015304,3355.0802005012533,0.49938414509810986,0.5540852130325815,0.6167418546365915,0.6129072681704261,0.6410356477740317,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.04470436543989905,0.05477763417391857,Softmax,0.6000000000000001,outdoor,outdoor
1,Detector Tree,350.5,1720.3151559368737,1708.0190476190476,0.48733585645685956,0.5540852130325815,0.6167418546365915,0.6129072681704261,0.6410356477740317,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.04470436543989905,0.06674935657572195,Softmax,0.6000000000000001,outdoor,outdoor
0,Base Tree,350.5,4101.744234762228,3972.5714285714284,0.4316812729897985,0.45285714285714285,0.688295739348371,0.703609022556391,0.7411952067776747,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.060827050488715936,0.058349311503723515,Softmax,0.7000000000000001,outdoor,outdoor
1,Detector Tree,350.5,1822.711310289217,1910.2822055137844,0.4168591023656352,0.45285714285714285,0.688295739348371,0.703609022556391,0.7411952067776747,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.060827050488715936,0.06738639851483112,Softmax,0.7000000000000001,outdoor,outdoor
0,Base Tree,350.5,4329.818329339796,4333.832080200501,0.39429207715741055,0.3936340852130326,0.7527819548872181,0.7890225563909774,0.7965087444379639,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.008763588822219445,0.036215436137861406,Softmax,0.8,outdoor,outdoor
1,Detector Tree,350.5,1879.2600171363702,1925.3563909774434,0.3779380185431906,0.3936340852130326,0.7527819548872181,0.7890225563909774,0.7965087444379639,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.008763588822219445,0.04101840250195911,Softmax,0.8,outdoor,outdoor
0,Base Tree,350.5,4724.580758753713,4806.085213032581,0.3295769247944733,0.3162155388471178,0.838796992481203,0.9048370927318297,0.892248273939101,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.027348294820084378,0.043940228631087916,Softmax,0.9,outdoor,outdoor
1,Detector Tree,350.5,1977.1374412977777,1979.6907268170426,0.3105713952814436,0.3162155388471178,0.838796992481203,0.9048370927318297,0.892248273939101,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.027348294820084378,0.04244905804248435,Softmax,0.9,outdoor,outdoor
0,Base Tree,350.5,5126.535442617877,5067.972431077695,0.2636827143249381,0.27328320802005013,0.915513784461153,1.0,0.9897321007841909,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.010267899215809121,0.022710635055997252,Softmax,1.0,outdoor,outdoor
1,Detector Tree,350.5,2076.7981135270143,2056.468170426065,0.24197740624258415,0.27328320802005013,0.915513784461153,1.0,0.9897321007841909,0.9326923076923077,0.25674212598425195,0.25674212598425195,0.9195698868398994,0.9195698868398994,0.010267899215809121,0.034019510411356146,Softmax,1.0,outdoor,outdoor
