,tpr,tnr,rate,test_set,val_set,Tree,Risk Estimate,True Risk,Risk Error,E[f(x)=y],Accuracy,Accuracy Error,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc
0,0.0,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,3641.1072949535765,635.0,3006.1072949535765,0.4499346212344782,0.8689666666666667,0.4885160021857924,0.482,0.0,0.7578420467185761,0.9,0.30612244897959184,0.684640522875817
1,0.0,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,2244.5988918360654,1271.24,1189.3328672459013,0.38574192131147544,0.8689666666666667,0.4885160021857924,0.482,0.0,0.6812999999999999,0.9,0.30612244897959184,0.684640522875817
0,0.0,1.0,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,4427.04081632653,635.0,3792.04081632653,0.30612244897959184,0.8706,0.8706,0.0,0.0,1.0,0.9,0.30612244897959184,0.684640522875817
1,0.0,1.0,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1955.0,635.0,1320.0,0.0,0.8706,0.8706,0.0,0.0,0.899,0.9,0.30612244897959184,0.684640522875817
0,0.5,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,2804.270408163265,635.0,2169.270408163265,0.6030612244897959,0.8687,0.24573993943460842,0.52,0.0,0.5,0.9,0.30612244897959184,0.684640522875817
1,0.5,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1819.4639701875644,1321.4,655.3190576443526,0.6321935264316633,0.8687,0.24573993943460842,0.52,0.0,0.4495,0.9,0.30612244897959184,0.684640522875817
0,0.5,1.0,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,2804.270408163265,635.0,2169.270408163265,0.6030612244897959,0.8730333333333334,0.48246061163522014,0.0,0.0,0.5,0.9,0.30612244897959184,0.684640522875817
1,0.5,1.0,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1758.64077875,635.0,1123.64077875,0.39057272169811325,0.8730333333333334,0.48246061163522014,0.0,0.0,0.4495,0.9,0.30612244897959184,0.684640522875817
0,1.0,0.0,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,1181.5,635.0,546.5,0.9,0.8673000000000001,0.8673000000000001,1.0,0.0,0.0,0.9,0.30612244897959184,0.684640522875817
1,1.0,0.0,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,6100.0,1955.0,4145.0,0.0,0.8673000000000001,0.8673000000000001,1.0,0.0,0.0,0.9,0.30612244897959184,0.684640522875817
0,1.0,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,2034.4021333227395,635.0,1399.4021333227395,0.7439337358970285,0.8702333333333333,0.15005605512820513,0.519,0.0,0.2627919911012236,0.9,0.30612244897959184,0.684640522875817
1,1.0,0.5,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1821.760625,1320.08,637.367118076923,0.72986875,0.8702333333333333,0.15005605512820513,0.519,0.0,0.23625,0.9,0.30612244897959184,0.684640522875817
0,1.0,1.0,0.0,CVC-ClinicDB,EtisLaribDB,Base Tree,1181.5,635.0,546.5,0.9,0.8741,0.056592,0.0,0.0,0.0,0.9,0.30612244897959184,0.684640522875817
1,1.0,1.0,0.0,CVC-ClinicDB,EtisLaribDB,Detector Tree,1061.2699999999998,635.0,426.26999999999975,0.922,0.8741,0.056592,0.0,0.0,0.0,0.9,0.30612244897959184,0.684640522875817
0,0.0,0.5,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,4050.6808273364963,711.51,3398.958058840889,0.3749897845678872,0.7774666666666668,0.5124263271144278,0.229,0.49,0.8840378197997776,0.9,0.30612244897959184,0.684640522875817
1,0.0,0.5,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,2755.227351100746,1013.79,1849.1468221791044,0.26516442910447763,0.7774666666666668,0.5124263271144278,0.229,0.49,0.84525,0.9,0.30612244897959184,0.684640522875817
0,0.0,1.0,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,4427.04081632653,673.255,3775.5407368731694,0.30612244897959184,0.7739333333333334,0.7739333333333334,0.0,0.521,1.0,0.9,0.30612244897959184,0.684640522875817
1,0.0,1.0,0.5,CVC-ClinicDB,EtisLaribDB,Detector Tree,1955.0,673.255,1339.775,0.0,0.7739333333333334,0.7739333333333334,0.0,0.521,0.9495,0.9,0.30612244897959184,0.684640522875817
0,0.5,0.5,0.5,CVC-ClinicDB,EtisLaribDB,Base Tree,2804.270408163265,678.72,2178.041503030578,0.6030612244897959,0.7756333333333333,0.17744590383779416,0.527,0.506,0.5,0.9,0.30612244897959184,0.684640522875817
