tpr,tnr,ba,tl,rate,rate_estimate,error
0.04,1.0,0.52,10,0.0,0.0,0.0
0.04,1.0,0.52,10,0.04,5.9999999999999995e-05,0.039939999999999996
0.04,1.0,0.52,10,0.08,0.000116,0.079884
0.04,1.0,0.52,10,0.12,0.000248,0.119752
0.04,1.0,0.52,10,0.16,0.00028000000000000003,0.15972
0.04,1.0,0.52,10,0.2,0.000296,0.19970400000000002
0.04,1.0,0.52,10,0.24,0.000328,0.239672
0.04,1.0,0.52,10,0.28,0.000364,0.27963600000000005
0.04,1.0,0.52,10,0.32,0.00047200000000000003,0.31952800000000003
0.04,1.0,0.52,10,0.36,0.0005719999999999999,0.35942799999999997
0.04,1.0,0.52,10,0.4,0.0006360000000000001,0.39936400000000005
0.04,1.0,0.52,10,0.44,0.000688,0.43931200000000004
0.04,1.0,0.52,10,0.48,0.0008160000000000001,0.47918399999999994
0.04,1.0,0.52,10,0.52,0.000772,0.519228
0.04,1.0,0.52,10,0.56,0.00086,0.5591400000000001
0.04,1.0,0.52,10,0.6,0.00088,0.59912
0.04,1.0,0.52,10,0.64,0.001044,0.638956
0.04,1.0,0.52,10,0.68,0.000984,0.6790160000000001
0.04,1.0,0.52,10,0.72,0.001192,0.718808
0.04,1.0,0.52,10,0.76,0.0013360000000000002,0.758664
0.04,1.0,0.52,10,0.8,0.001296,0.7987040000000001
0.04,1.0,0.52,10,0.84,0.001192,0.838808
0.04,1.0,0.52,10,0.88,0.0014,0.8786
0.04,1.0,0.52,10,0.92,0.001508,0.9184920000000001
0.04,1.0,0.52,10,0.96,0.001432,0.958568
0.04,1.0,0.52,10,1.0,0.0016519999999999998,0.9983479999999999
0.04,1.0,0.52,20,0.0,0.0,0.0
0.04,1.0,0.52,20,0.04,8.8e-05,0.039911999999999996
0.04,1.0,0.52,20,0.08,0.00011999999999999999,0.07987999999999999
0.04,1.0,0.52,20,0.12,0.000188,0.119812
0.04,1.0,0.52,20,0.16,0.000244,0.159756
0.04,1.0,0.52,20,0.2,0.000328,0.199672
0.04,1.0,0.52,20,0.24,0.00034800000000000006,0.23965199999999998
0.04,1.0,0.52,20,0.28,0.00047999999999999996,0.27952000000000005
0.04,1.0,0.52,20,0.32,0.0005560000000000001,0.319444
0.04,1.0,0.52,20,0.36,0.0005560000000000001,0.359444
0.04,1.0,0.52,20,0.4,0.000708,0.39929200000000004
0.04,1.0,0.52,20,0.44,0.000648,0.43935199999999996
0.04,1.0,0.52,20,0.48,0.000796,0.479204
0.04,1.0,0.52,20,0.52,0.00086,0.5191399999999999
0.04,1.0,0.52,20,0.56,0.000912,0.559088
0.04,1.0,0.52,20,0.6,0.000992,0.5990079999999999
0.04,1.0,0.52,20,0.64,0.00106,0.6389400000000001
0.04,1.0,0.52,20,0.68,0.0010760000000000001,0.6789240000000001
0.04,1.0,0.52,20,0.72,0.0011799999999999998,0.7188199999999999
0.04,1.0,0.52,20,0.76,0.001232,0.758768
0.04,1.0,0.52,20,0.8,0.001256,0.798744
0.04,1.0,0.52,20,0.84,0.0014119999999999998,0.838588
