,tpr,tnr,rate,test_set,val_set,Tree,Risk Estimate,True Risk,E[f(x)=y],Accuracy,ood_pred,is_ood,Estimated Rate,ind_acc,ood_val_acc,ood_test_acc
0,"{0: 0.0, 1: 0.0}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4072.6547151029486, 1: 2286.997850882304}","{0: 635.0, 1: 1064.0}","{0: 0.3709689450863772, 1: 0.2562115795884774}","{0: 0.8715666666666667, 1: 0.8715666666666667}","{0: 0.325, 1: 0.325}","{0: 0.0, 1: 0.0}","{0: 0.8908083055246571, 1: 0.8008366666666668}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
1,"{0: 0.0, 1: 0.0}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 4427.04081632653, 1: 1955.0}","{0: 635.0, 1: 635.0}","{0: 0.30612244897959184, 1: 0.0}","{0: 0.8689333333333334, 1: 0.8689333333333334}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 1.0, 1: 0.899}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
2,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2632.0172704365395, 1: 1759.976809017228}","{0: 635.0, 1: 1495.64}","{0: 0.6345805543574494, 1: 0.6629062427824284}","{0: 0.8662000000000001, 1: 0.8662000000000001}","{0: 0.652, 1: 0.652}","{0: 0.0, 1: 0.0}","{0: 0.44692621431219876, 1: 0.4017866666666667}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
3,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3345.1938775510203, 1: 1835.2404441565939}","{0: 635.0, 1: 1102.28}","{0: 0.5040816326530613, 1: 0.5526390708999778}","{0: 0.8723000000000001, 1: 0.8723000000000001}","{0: 0.354, 1: 0.354}","{0: 0.0, 1: 0.0}","{0: 0.6666666666666667, 1: 0.5993333333333334}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
4,"{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 3345.1938775510207, 1: 1852.424658888889}","{0: 635.0, 1: 635.0}","{0: 0.5040816326530612, 1: 0.3012602428940568}","{0: 0.8670333333333334, 1: 0.8670333333333334}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.6666666666666667, 1: 0.5993333333333334}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
5,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2263.3469387755104, 1: 1752.9633223659328}","{0: 635.0, 1: 1500.92}","{0: 0.7020408163265307, 1: 0.7114919811063989}","{0: 0.8703333333333334, 1: 0.8703333333333334}","{0: 0.656, 1: 0.656}","{0: 0.0, 1: 0.0}","{0: 0.3333333333333333, 1: 0.29966666666666664}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
6,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2645.5313317518335, 1: 1681.5989750748718}","{0: 635.0, 1: 1114.16}","{0: 0.6321077160563892, 1: 0.652785063754345}","{0: 0.8721666666666668, 1: 0.8721666666666668}","{0: 0.363, 1: 0.363}","{0: 0.0, 1: 0.0}","{0: 0.45109010011123474, 1: 0.40553000000000006}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
7,"{0: 0.6666666666666666, 1: 0.6666666666666666}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 2263.3469387755104, 1: 1570.8975144444444}","{0: 635.0, 1: 635.0}","{0: 0.7020408163265305, 1: 0.5110029174311925}","{0: 0.8713333333333334, 1: 0.8713333333333334}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.3333333333333334, 1: 0.29966666666666675}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
8,"{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1181.5, 1: 6100.0}","{0: 635.0, 1: 1955.0}","{0: 0.9, 1: 0.0}","{0: 0.8709666666666667, 1: 0.8709666666666667}","{0: 1.0, 1: 1.0}","{0: 0.0, 1: 0.0}","{0: 0.0, 1: 0.0}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
9,"{0: 1.0, 1: 1.0}","{0: 0.3333333333333333, 1: 0.3333333333333333}","{0: 0.0, 1: 0.0}","{0: 'CVC-ClinicDB', 1: 'CVC-ClinicDB'}","{0: 'EtisLaribDB', 1: 'EtisLaribDB'}","{0: 'Base Tree', 1: 'Detector Tree'}","{0: 1894.1711836280672, 1: 1875.7429720720718}","{0: 635.0, 1: 1507.52}","{0: 0.769593562007673, 1: 0.7419422948348349}","{0: 0.8672333333333333, 1: 0.8672333333333333}","{0: 0.661, 1: 0.661}","{0: 0.0, 1: 0.0}","{0: 0.21958472376714863, 1: 0.19740666666666662}","{0: 0.9, 1: 0.9}","{0: 0.30612244897959184, 1: 0.30612244897959184}","{0: 0.684640522875817, 1: 0.684640522875817}"
